Step,BathTUB,PUCRS
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,50000
9,50000,50000
10,50000,50000
11,50000,50000
12,50000,50000
13,50000,50000
14,50000,50000
15,50000,50000
16,50000,50000
17,50000,50000
18,50000,50000
19,50000,50000
20,50000,50000
21,50000,50000
22,50000,50000
23,50000,50000
24,50000,50000
25,50000,50000
26,50000,50000
27,50000,50000
28,50000,50000
29,50000,50000
30,50000,50000
31,50000,50000
32,50000,50000
33,50000,50000
34,50000,50000
35,50000,50000
36,50000,50000
37,50000,50000
38,50000,50000
39,50000,50000
40,50000,50000
41,50000,50000
42,50000,50000
43,50000,50000
44,50000,50000
45,50000,50000
46,50000,50000
47,50000,50000
48,50000,50000
49,50000,50000
50,50000,50000
51,50000,50000
52,50000,50000
53,50000,50000
54,50000,47505
55,50000,47505
56,50000,47505
57,50000,47505
58,50000,47505
59,50000,47505
60,50000,47505
61,50000,47505
62,50000,47505
63,50000,47505
64,50000,47505
65,50000,47505
66,50000,47505
67,50000,47505
68,50000,47505
69,50000,47505
70,50000,47505
71,50000,47505
72,50000,47505
73,50000,47505
74,50000,47505
75,50000,47230
76,50000,47230
77,50000,47230
78,50000,47230
79,50000,47230
80,50000,47230
81,50000,47230
82,50000,47230
83,50000,47230
84,50000,47230
85,50000,47230
86,50000,47230
87,50000,47230
88,50000,47230
89,50000,47230
90,50000,47230
91,50000,47230
92,50000,47230
93,45897,47230
94,44083,47230
95,44083,47230
96,44083,47230
97,15026,47230
98,15026,47230
99,14223,47230
100,13948,47230
101,-12329,47230
102,-13119,47230
103,-13207,46730
104,-19731,46730
105,-22974,46730
106,-43014,46730
107,-43069,46730
108,-43069,45730
109,-43137,45730
110,-43205,45730
111,-43269,45730
112,-43337,45230
113,-43405,45230
114,-58642,45230
115,-63672,45230
116,-64168,45230
117,-64236,45230
118,-64282,43472
119,-64387,43472
120,-64580,43472
121,-64712,43472
122,-64808,43472
123,-64904,43472
124,-65000,40977
125,-69863,40977
126,-56122,39219
127,-56980,37593
128,-56980,37593
129,-73399,37318
130,-75327,37318
131,-75441,37318
132,-75527,37318
133,-75584,37318
134,-77420,37318
135,-77622,37318
136,-77829,37318
137,-77994,37318
138,-78193,33400
139,-30094,33400
140,-30162,33400
141,-30230,33400
142,-30258,33400
143,-30422,33400
144,18091,33400
145,18023,33400
146,17898,33400
147,17773,33400
148,17648,33400
149,14888,33400
150,14818,33400
151,14448,33400
152,14029,33400
153,13691,33400
154,13691,33400
155,13691,33400
156,13691,33400
157,13618,33400
158,13545,33400
159,13066,33400
160,10530,33400
161,10530,33400
162,6734,33400
163,6734,33400
164,6734,33400
165,6734,32900
166,6734,32400
167,6677,32400
168,6620,32400
169,3922,32400
170,1284,32400
171,1172,32400
172,971,32400
173,858,31900
174,858,31900
175,727,31900
176,596,31900
177,491,31900
178,378,31900
179,265,31900
180,152,31900
181,39,31900
182,-1688,31900
183,-1813,31900
184,-2034,31900
185,-2255,31900
186,-2476,31900
187,-2735,31900
188,-2976,31900
189,-3217,31900
190,-3458,31900
191,-3674,31900
192,-3954,31900
193,-4192,31900
194,-4280,31900
195,-4464,31900
196,-4576,31900
197,-4729,31900
198,-4870,31900
199,-5011,31812
200,-5148,31724
201,-5221,31636
202,21933,31570
203,21860,31570
204,45763,31570
205,44832,31570
206,44759,31570
207,44686,31570
208,44613,31570
209,44540,31570
210,77084,31570
211,50807,31570
212,50807,31570
213,56570,31570
214,56570,31570
215,56570,31570
216,56570,31570
217,56570,39134
218,89260,39134
219,88966,39134
220,88861,39134
221,88756,39134
222,88716,39134
223,88716,39134
224,88716,39134
225,88716,39134
226,88716,39134
227,88716,39134
228,88716,39134
229,88716,39134
230,88716,39134
231,88716,39134
232,88716,39134
233,88716,39134
234,88716,39134
235,88716,39134
236,88716,39003
237,88716,38872
238,144347,38741
239,144347,38674
240,144347,38674
241,142759,38674
242,142759,38674
243,142759,38674
244,142759,38674
245,142759,38674
246,142759,38674
247,142759,38674
248,142759,38674
249,142759,38674
250,142759,38674
251,142759,38674
252,142759,38674
253,142759,38674
254,142759,38674
255,142759,38674
256,142759,38674
257,142759,38674
258,142759,38174
259,142759,38174
260,142759,38174
261,142759,38174
262,142759,38174
263,142759,38174
264,142759,38174
265,142759,38174
266,142759,38104
267,142759,38104
268,142759,38104
269,142759,38104
270,142759,38104
271,142759,38104
272,142759,38104
273,142759,38104
274,142759,38104
275,142759,38104
276,142759,38104
277,142759,38104
278,142759,38104
279,142759,38104
280,142759,36146
281,142759,36146
282,142759,34332
283,142759,30366
284,142759,30366
285,147279,30366
286,147279,30366
287,147279,30366
288,147279,30366
289,147279,30366
290,147279,30309
291,147279,30184
292,147279,30059
293,147279,29996
294,147279,29996
295,147279,29996
296,147279,29996
297,147279,29996
298,147279,29996
299,147279,29996
300,147279,28244
301,146980,25640
302,146980,23882
303,146980,23882
304,146980,23382
305,144376,23382
306,144376,23382
307,144376,23382
308,144376,23382
309,144376,23382
310,144376,23382
311,144280,23382
312,144184,23382
313,144088,32907
314,143992,32907
315,143896,32907
316,143800,17457
317,143704,17457
318,143608,17457
319,143512,17457
320,143416,17457
321,143396,17457
322,143396,17457
323,143396,17457
324,143396,17457
325,143396,15911
326,143396,15911
327,143396,15823
328,143396,13921
329,143396,13867
330,143396,11396
331,143396,11339
332,143396,11282
333,143396,7720
334,143396,7663
335,143396,7651
336,143396,7651
337,143396,7651
338,143396,7651
339,143396,7651
340,143396,7651
341,143396,7651
342,143396,7651
343,143396,7651
344,143396,7651
345,143396,60854
346,143396,56751
347,143396,56751
348,143396,56751
349,143396,56751
350,143396,49280
351,143396,49280
352,143396,49280
353,143396,49280
354,143396,46809
355,143396,46809
356,143396,46534
357,143396,46534
358,143396,46534
359,143396,44988
360,143396,44892
361,143396,44796
362,143396,44768
363,143396,44672
364,143396,44598
365,143396,44598
366,143396,44598
367,143396,44598
368,143396,44598
369,143396,44493
370,143396,44388
371,143102,44328
372,143102,44328
373,143102,44328
374,143102,44328
375,143102,44328
376,143102,43828
377,143102,43828
378,143102,43828
379,143102,43828
380,143102,43828
381,143029,43828
382,142956,43529
383,142883,43529
384,142810,43529
385,142737,43529
386,142664,43529
387,142591,43529
388,142542,43529
389,142542,43529
390,142542,43529
391,142542,43529
392,142542,17252
393,142542,17252
394,142542,17252
395,142542,17252
396,142542,17252
397,142542,17252
398,142542,17252
399,142542,16679
400,142542,16606
401,142542,16533
402,142542,16532
403,142542,16475
404,142542,16418
405,142542,23814
406,142542,23757
407,142542,23745
408,142542,23745
409,142542,23745
410,142542,23745
411,142542,-2808
412,142542,-2808
413,142542,-2808
414,142542,-2808
415,142542,-2808
416,142542,-2808
417,142542,-2808
418,142542,-2876
419,142542,-2944
420,142542,-3008
421,142542,-3065
422,142542,-3122
423,142542,-3168
424,142542,-3168
425,142542,-3168
426,142542,-3168
427,142542,-4890
428,142542,-4986
429,142542,-5014
430,142542,-5014
431,142542,-5014
432,142542,-9845
433,142542,-9845
434,142542,-9845
435,142542,-9845
436,142542,-9845
437,142542,-9845
438,142542,-9845
439,142542,-9845
440,142542,-9845
441,142542,-9845
442,142542,-9845
443,142542,-9845
444,142542,-9845
445,142542,-9845
446,142542,-9933
447,142542,-10021
448,142542,-10045
449,142542,-10045
450,142542,-10045
451,142542,-10045
452,142542,-10045
453,142542,-14876
454,142542,-14876
455,142542,-19876
456,142542,-19876
457,142542,-19876
458,142542,-19876
459,142542,-19876
460,142542,-19876
461,142542,-22167
462,142542,-22263
463,142542,-22359
464,142542,-22447
465,142542,-22447
466,142542,-22447
467,142542,-22447
468,142542,-22543
469,142542,-22639
470,142542,-22677
471,142542,-22677
472,142542,29586
473,140864,29586
474,140864,29586
475,140864,29586
476,140864,29586
477,140864,29586
478,140864,29586
479,140864,29586
480,140864,29586
481,140864,29586
482,140864,29586
483,140864,29586
484,140864,29586
485,140864,29586
486,140733,29586
487,140602,29586
488,140471,29586
489,140340,3033
490,140209,3033
491,135247,2749
492,135116,2749
493,135103,2749
494,135103,2749
495,134819,924
496,134819,763
497,134819,602
498,134819,477
499,134819,477
500,134819,477
501,134819,477
502,134714,477
503,134609,477
504,134579,477
505,134579,477
506,134579,477
507,134579,4927
508,134579,4927
509,134579,4927
510,134579,4927
511,134579,3238
512,134579,3238
513,134579,2939
514,134579,2939
515,134579,2939
516,134579,2939
517,134579,69110
518,134579,69110
519,134579,69022
520,134579,68934
521,134579,68813
522,134579,68756
523,134579,68700
524,134483,68700
525,134387,67490
526,134238,67422
527,134089,67354
528,133940,67286
529,133803,66829
530,133707,66656
531,133611,66438
532,133515,66354
533,133193,66354
534,133193,66354
535,133193,76836
536,133193,76740
537,131435,76644
538,131435,76612
539,131435,76612
540,131435,76612
541,131435,76612
542,131435,76612
543,131435,76612
544,131435,76556
545,131435,76500
546,131382,76444
547,131329,76388
548,131295,76372
549,131295,76372
550,127851,50095
551,127851,50095
552,127851,50095
553,127851,45095
554,127851,45095
555,127851,45095
556,127851,45022
557,127851,44949
558,127851,44876
559,127851,44875
560,125357,44875
561,125357,44875
562,125357,44875
563,125357,44875
564,125357,44875
565,124554,44875
566,124554,43287
567,124554,23538
568,124554,23538
569,124554,23254
570,124554,23254
571,124466,23254
572,124378,23254
573,124290,23254
574,124202,23254
575,124018,23197
576,123834,23140
577,123708,23083
578,123620,23064
579,123594,67011
580,123594,66954
581,123594,66897
582,123594,66555
583,123594,66546
584,123594,64868
585,123594,64868
586,118594,64868
587,118594,64868
588,118594,64868
589,118594,63280
590,118594,63280
591,118594,99003
592,118594,95498
593,118594,95222
594,118594,95222
595,118594,95222
596,118594,95222
597,118594,95222
598,118594,95222
599,118594,95169
600,118594,95028
601,118594,94887
602,118594,94748
603,118594,94572
604,118594,92830
605,118594,92776
606,118594,92776
607,118594,92500
608,118594,92500
609,118594,92500
610,118594,92500
611,118594,92500
612,118594,92500
613,118594,90863
614,118594,90863
615,118594,89317
616,118594,89317
617,118594,100381
618,118594,100381
619,118594,100381
620,118594,100381
621,118594,100381
622,135819,100381
623,135819,110472
624,135819,106256
625,135819,106256
626,135819,101608
627,135819,98103
628,135819,82575
629,135819,82291
630,135819,82291
631,135819,80000
632,135819,80000
633,135819,80000
634,135819,80000
635,135819,75169
636,135819,75116
637,135819,75063
638,135819,119150
639,135819,119119
640,135819,119119
641,135819,119119
642,135819,119033
643,135819,118947
644,135819,118861
645,135819,118450
646,135819,118377
647,135819,117920
648,135819,117742
649,135819,117724
650,135819,117724
651,135819,117724
652,135819,117671
653,135819,117618
654,135819,117271
655,135819,117218
656,135819,116614
657,135819,116518
658,135819,116470
659,135819,116470
660,135819,116470
661,135819,116470
662,135819,113829
663,135819,113829
664,133215,113829
665,133215,113733
666,133215,113637
667,133215,113541
668,133215,113499
669,133215,98049
670,133215,98049
671,133215,98049
672,133215,98049
673,133215,98049
674,133215,98049
675,133215,98049
676,133215,98049
677,133215,98049
678,133215,98049
679,133215,98049
680,133127,98049
681,133039,98049
682,132951,98049
683,132863,98049
684,132775,97944
685,132687,97839
686,132599,97829
687,132511,97829
688,132423,97829
689,132335,97829
690,132255,97829
691,132255,97829
692,132255,97829
693,132255,97829
694,132255,126288
695,132255,126288
696,132255,126288
697,132255,144864
698,132255,144864
699,132255,144864
700,132255,144574
701,132255,144574
702,132255,144574
703,132255,144574
704,132255,144283
705,132255,144210
706,132255,144137
707,132255,144083
708,132255,124988
709,132255,124988
710,132255,124988
711,132255,124988
712,132255,124988
713,132255,124915
714,132255,124842
715,132255,124788
716,132255,124788
717,132255,124788
718,132255,124788
719,132255,124788
720,132255,124788
721,132255,124788
722,132255,124788
723,132255,124096
724,132255,123893
725,132255,123744
726,132255,123595
727,132255,123401
728,132255,123278
729,132255,123228
730,132255,123228
731,132255,123228
732,132255,123228
733,132255,123228
734,132255,123228
735,132255,123228
736,132255,123228
737,132255,119125
738,132255,119125
739,132255,119125
740,132255,118826
741,132255,118826
742,132255,118826
743,132255,118826
744,132255,118826
745,132255,118826
746,132255,118826
747,132255,118826
748,132255,118826
749,131395,118826
750,131395,147694
751,129104,155463
752,124104,155463
753,124104,155463
754,124104,155463
755,124104,155463
756,124031,155463
757,123958,155463
758,123583,155463
759,123510,155463
760,123452,139935
761,123452,133677
762,119486,133582
763,119486,131005
764,119486,131005
765,119486,131005
766,119486,130917
767,119486,130829
768,119486,130741
769,119355,130596
770,119224,130451
771,119166,130385
772,117477,130273
773,117477,130161
774,117477,125218
775,112477,125154
776,112477,125154
777,112477,125154
778,112477,125154
779,112477,125154
780,112477,125066
781,112477,124978
782,112477,124890
783,109982,124802
784,109982,124714
785,109982,124626
786,109982,124538
787,109982,158859
788,109982,158771
789,109982,158683
790,109982,158535
791,109982,158447
792,109982,158443
793,109982,158443
794,109982,132166
795,109982,129558
796,109926,127063
797,109870,127063
798,109814,127063
799,109758,127063
800,109597,126975
801,109436,126887
802,109259,126823
803,109086,126823
804,108913,126823
805,108740,126770
806,108567,126717
807,108394,126664
808,108221,126611
809,108098,126583
810,108030,126583
811,107962,126583
812,107894,126583
813,107826,126583
814,107758,126583
815,107690,140866
816,107652,140866
817,107652,140866
818,107652,140866
819,107652,140866
820,107652,140866
821,107652,140866
822,107652,140866
823,107652,140866
824,107652,140866
825,107652,140866
826,107652,140866
827,107652,140866
828,107652,140866
829,107652,140866
830,107652,140866
831,107652,140866
832,107652,140866
833,107652,140866
834,107652,140866
835,107652,140866
836,107652,140866
837,102711,140866
838,102711,140366
839,102415,140366
840,102415,140366
841,86887,140366
842,86887,140366
843,86887,140366
844,86887,140366
845,86887,140366
846,86887,140366
847,86887,140366
848,86887,140366
849,86887,139267
850,86887,139267
851,86887,139267
852,86887,136772
853,86887,136772
854,86887,131096
855,86887,131096
856,86887,131096
857,86887,131096
858,86603,131096
859,86507,131096
860,86411,131096
861,86315,131096
862,86219,131096
863,86123,131043
864,86027,182651
865,85931,182545
866,85835,182461
867,85739,182408
868,85643,182355
869,85613,182327
870,85613,182327
871,85613,182327
872,85613,182327
873,85613,182327
874,85613,182327
875,85613,182327
876,85613,182327
877,85613,182327
878,85613,197692
879,85613,197692
880,70163,197692
881,70163,197692
882,70163,197692
883,70163,197692
884,70163,197692
885,70163,197692
886,68480,197639
887,68480,197586
888,68480,195934
889,68480,191862
890,68480,191781
891,68480,191728
892,68480,191720
893,68480,191720
894,68480,191720
895,68480,176192
896,68480,172687
897,68384,167856
898,68288,166654
899,68192,161586
900,68096,161532
901,68000,161464
902,67904,161396
903,67808,156328
904,67712,156312
905,67700,156312
906,67700,156312
907,67408,156312
908,67408,156312
909,67408,156255
910,51870,156198
911,51782,156084
912,51694,155902
913,51606,155720
914,51558,155574
915,51558,155517
916,51558,155502
917,51558,155502
918,51558,155502
919,51558,155502
920,51558,180919
921,51558,180919
922,51558,180919
923,51558,180919
924,51558,180919
925,51558,180919
926,51558,180919
927,51462,180919
928,51366,180919
929,51270,180919
930,48874,180919
931,48778,180419
932,48748,180419
933,44100,180419
934,44100,180419
935,44100,180419
936,44100,180419
937,44100,180419
938,44100,180419
939,44100,180419
940,44100,180419
941,44100,180419
942,44100,180419
943,44100,180419
944,44100,180419
945,44100,180419
946,44100,180419
947,44100,180419
948,44100,180419
949,44100,180419
950,44100,180419
951,44100,180419
952,44100,180419
953,44100,180419
954,44100,180419
955,44100,180419
956,44100,227144
957,44100,227144
958,44100,227144
959,44100,227144
960,44100,227144
961,44100,227144
962,44100,227144
963,44100,227144
964,44100,227144
965,42417,227144
966,42417,227144
967,42417,227144
968,42417,227144
969,42417,227144
970,42417,227144
971,42417,227144
972,42417,227144
973,42417,227144
974,42417,227144
975,42417,227144
976,42417,227144
977,42417,227144
978,42417,227144
979,42417,227144
980,42417,227144
981,42417,227144
982,42321,227144
983,42225,227144
984,42129,227144
985,42033,227144
986,41937,227144
987,41841,227144
988,41745,227144
989,41677,227144
990,41677,227144
991,41677,227144
992,41677,227144
993,41677,227144
994,41677,227144
995,41677,227144
