Step,Flisvos-2016,Python-DTU
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,49960,49960
6,49960,49960
7,49681,49900
8,47246,49900
9,47246,49900
10,35620,49900
11,22199,49900
12,22199,49900
13,22199,49900
14,22199,49900
15,22128,49900
16,-301541,49900
17,-391751,49900
18,-391751,49900
19,-391751,49900
20,-391751,49900
21,-391751,49900
22,-391887,49900
23,-392077,49900
24,-392151,49900
25,-395473,49900
26,-395473,49900
27,-395609,49900
28,-395794,49900
29,-395865,49900
30,-396083,49900
31,-396233,49900
32,-396233,49900
33,-396369,49900
34,-396784,49900
35,-396812,49900
36,-396948,49900
37,-396982,49900
38,-722766,49900
39,-722766,49900
40,-676786,49900
41,-682837,49900
42,-683412,49900
43,-696930,49900
44,-696930,49900
45,-696930,49900
46,-696930,49900
47,-696930,49900
48,-696930,49900
49,-696930,49900
50,-696930,49900
51,-696930,49900
52,-697026,49900
53,-697237,49900
54,-697448,49900
55,-697659,49900
56,-697800,49900
57,-697987,37424
58,-698134,37424
59,-698160,37424
60,-698307,37424
61,-698426,37424
62,-699022,37424
63,-699530,37424
64,-699530,37424
65,-699530,37424
66,-699530,37424
67,-699530,37424
68,-699530,37424
69,-699666,37424
70,-699802,37424
71,-699938,37424
72,-700164,37309
73,-700190,37194
74,-700190,37079
75,-700190,36964
76,-700190,36849
77,-700190,36764
78,-700690,36764
79,-700786,36764
80,-700840,36764
81,-700911,36764
82,-700982,36764
83,-701553,36764
84,-701624,36764
85,-701695,36764
86,-702266,36764
87,-702337,36764
88,-702380,36764
89,-702380,36764
90,-702380,36764
91,-702380,36764
92,-702380,36764
93,-702516,36764
94,-702620,36764
95,-702620,36764
96,-702620,36764
97,-702620,36764
98,-702735,36764
99,-702760,36764
100,-702760,36764
101,-702760,36764
102,-702760,36764
103,-702896,36764
104,-703032,36764
105,-703168,36764
106,-703200,36764
107,-703200,36764
108,-703315,36764
109,-703430,36764
110,-703490,36764
111,-703490,36764
112,-703490,36764
113,-703490,36764
114,-703571,36764
115,-704152,36764
116,-704233,36764
117,-704260,36764
118,-704760,36764
119,-704760,36764
120,-704760,36764
121,-704760,36764
122,-704760,36764
123,-704760,36764
124,-704760,36764
125,191890,36764
126,182517,36764
127,180084,36764
128,180084,36764
129,180084,36764
130,180084,36764
131,180084,36764
132,180084,36764
133,180084,36764
134,179584,36764
135,179488,36764
136,179392,36764
137,179364,36764
138,179217,36764
139,179093,36764
140,179012,36764
141,178335,36764
142,178232,36764
143,178057,36764
144,177910,36764
145,177784,36764
146,-143922,36764
147,-143922,36764
148,-144058,36764
149,-144194,36764
150,-144232,36764
151,-144232,36764
152,-144303,36764
153,-144508,36764
154,-144552,36764
155,-144552,36764
156,-144648,36764
157,-144891,36764
158,-144990,36764
159,-145086,36764
160,-145182,36764
161,-145278,36764
162,-145374,36764
163,-145470,36764
164,-145492,36764
165,-145492,36764
166,-145492,36764
167,-145492,36764
168,-145492,36764
169,-145492,36764
170,-145492,36764
171,-145492,36764
172,-145992,36764
173,-145992,36764
174,-145992,36764
175,-145992,36764
176,-145992,36764
177,-145992,36764
178,-145992,36764
179,-146128,36764
180,-146264,36764
181,-146400,36764
182,-146536,36764
183,-146672,36764
184,-146808,36764
185,-146872,36764
186,-147372,36764
187,-147372,36764
188,-147372,36764
189,-147519,36764
190,-147532,36764
191,-147532,36764
192,-147532,36764
193,-147532,36764
194,-147532,36764
195,-147532,36764
196,-147532,36764
197,-147532,36764
198,-147532,36764
199,-148032,36764
200,-148032,36764
201,-148032,36764
202,-148032,36764
203,-148532,36764
204,-148532,36764
205,-148582,36764
206,-148582,36764
207,-148582,36764
208,-128824,36764
209,-438357,36764
210,-438658,36764
211,-438658,36764
212,-438658,36764
213,-438658,36764
214,-438909,36764
215,-439108,36764
216,-439108,36764
217,-439108,36764
218,-439108,36764
219,-439108,36764
220,-439108,36764
221,-439108,36764
222,-439108,36764
223,105260,36764
224,103443,36764
225,100098,36764
226,54585,36764
227,-271366,36764
228,-271533,36764
229,-271656,36764
230,-271663,36764
231,-271799,36764
232,-271803,36764
233,-271803,36764
234,-271803,36764
235,-271803,36764
236,-271803,36764
237,-271899,36764
238,-271995,36764
239,-272227,36764
240,-272387,36764
241,-272483,36764
242,-272754,36764
243,-272963,36764
244,-273078,36764
245,-273193,36764
246,-273308,36764
247,-273383,36764
248,-273383,36764
249,-273383,36764
250,-273383,36764
251,-273383,36764
252,-273883,36764
253,-273883,36764
254,-274383,36764
255,-274383,36764
256,-275383,36764
257,-275383,36764
258,-275383,36764
259,-275383,36764
260,-275433,36764
261,-275453,36764
262,-275503,36764
263,-276003,36764
264,-276003,36764
265,-276003,36764
266,-276003,36764
267,-276003,36764
268,-276003,36764
269,-276003,36764
270,-276139,36764
271,-276275,36764
272,-276383,36764
273,-276383,36764
274,-276383,36764
275,-276383,36764
276,-276383,36764
277,-276383,36764
278,-276383,36764
279,-276383,36764
280,-276383,36764
281,-283294,36764
282,-300236,36764
283,-300236,36764
284,-300372,36764
285,161359,36764
286,76014,36764
287,-184802,36764
288,-184802,36764
289,421461,36764
290,403845,36764
291,391850,36764
292,391714,36764
293,391578,36764
294,391556,36764
295,391556,36764
296,391420,36764
297,391416,36764
298,391345,36764
299,391274,36764
300,391203,36764
301,391036,36764
302,390758,36764
303,390552,36764
304,390224,36764
305,389732,36764
306,389416,36764
307,389224,36764
308,389156,36764
309,389156,36764
310,389156,36764
311,389096,36764
312,389096,36764
313,389096,36764
314,388949,36764
315,388802,36764
316,388655,36764
317,388596,36764
318,388596,36764
319,388096,36764
320,388096,36764
321,388086,36764
322,922346,36764
323,920366,36764
324,664361,36764
325,664361,36764
326,663810,36764
327,663631,36764
328,663528,36764
329,663477,36764
330,663426,36764
331,663320,36764
332,663261,36764
333,663261,36764
334,663261,36764
335,662761,36764
336,662761,36764
337,662761,36764
338,662761,36764
339,662761,36764
340,662614,36764
341,662540,36764
342,1004577,36764
343,912635,36764
344,912635,36764
345,912488,36764
346,912344,36764
347,912315,36764
348,912315,36764
349,912315,36764
350,912315,36764
351,912315,36764
352,912315,36764
353,912315,36764
354,912179,36764
355,912115,36764
356,912115,36764
357,911979,36764
358,911834,36764
359,1042162,36764
360,1040257,36764
361,1059795,36764
362,1001013,36764
363,998509,36764
364,998445,36764
365,998309,36764
366,998173,36764
367,998135,36764
368,998135,36764
369,998135,36764
370,998135,36764
371,998135,36764
372,998135,36764
373,998135,36764
374,998020,36764
375,997905,36764
376,997604,36764
377,1039042,36764
378,703223,36764
379,702901,36764
380,702613,36764
381,702408,36764
382,702408,36764
383,702408,36764
384,702408,36764
385,702408,36764
386,702408,36764
387,702408,36764
388,702408,36764
389,702408,36764
390,702408,36764
391,702272,36764
392,702168,36764
393,702168,36764
394,702168,36764
395,702168,36764
396,702168,36764
397,702168,36764
398,702168,36764
399,702168,36764
400,702168,36764
401,702168,36764
402,702168,36764
403,702168,36764
404,702168,36764
405,702032,36764
406,701896,36764
407,701689,36764
408,700482,36764
409,700315,36764
410,700244,36764
411,700178,36764
412,700178,36764
413,700178,36764
414,700178,36764
415,700178,36764
416,700042,36764
417,699958,36764
418,699958,36764
419,699822,36764
420,699686,36764
421,699550,36764
422,699488,36764
423,699488,36764
424,699488,36764
425,699488,36764
426,699488,36764
427,699488,36764
428,699488,36764
429,699488,36764
430,699407,36764
431,699326,36764
432,699278,36764
433,699278,36764
434,699278,36764
435,699278,36764
436,699182,36764
437,1161592,36764
438,889162,36764
439,889066,36764
440,888970,36764
441,888930,36764
442,888430,36764
443,888430,36764
444,888430,36764
445,888430,36764
446,888430,36764
447,888430,36764
448,888430,36764
449,888320,36764
450,888184,36764
451,888170,36764
452,888034,36764
453,908905,36764
454,908197,36764
455,647664,36764
456,647664,36764
457,647528,36764
458,647392,36764
459,647314,36764
460,647314,36764
461,647314,36764
462,647178,36764
463,647042,36764
464,647014,36764
465,647014,36764
466,647014,36764
467,646878,36764
468,646742,36764
469,646694,36764
470,646558,36764
471,646544,36764
472,646429,36764
473,646314,36764
474,646254,36764
475,646254,36764
476,646254,36764
477,646254,36764
478,646254,36764
479,646254,36764
480,646254,36764
481,646254,36764
482,646254,36764
483,646254,36764
484,646183,36764
485,1369181,36764
486,1000992,36764
487,1000620,36764
488,1000469,36764
489,1000398,36764
490,1000327,36764
491,1000256,36764
492,1000185,36764
493,1000114,36764
494,1098064,36764
495,1077877,36764
496,1077336,36764
497,1073666,36764
498,1073455,36764
499,1073308,36764
500,1073118,36764
501,1073036,36764
502,1073036,36764
503,1072900,36764
504,1072628,36764
505,1072466,36764
506,1072466,36764
507,1072466,36764
508,1072385,36764
509,1072304,36764
510,1072223,36764
511,1072142,36764
512,1072061,36764
513,1072016,36764
514,1072016,36764
515,1072016,36764
516,1072016,36764
517,1072016,36764
518,1072016,36764
519,1072016,36764
520,1071516,36764
521,1504217,36764
522,1412548,36764
523,1352483,36764
524,1352347,36764
525,1352343,36764
526,1352247,36764
527,1352151,36764
528,1352093,36764
529,1352093,36764
530,1352093,36764
531,1352093,36764
532,1352093,36764
533,1352093,36764
534,1351957,36764
535,1351893,36764
536,1351621,36764
537,1351245,36764
538,1351091,36764
539,1351073,36764
540,1351073,36764
541,1351073,36764
542,1350937,36764
543,1350801,36764
544,1350665,36764
545,1350529,36764
546,1350393,36764
547,1350257,36764
548,1350006,36764
549,1560306,36764
550,1480343,36764
551,1214739,36764
552,1214729,36764
553,1214729,36764
554,1214729,36764
555,1214729,36764
556,1214729,36764
557,1214729,36764
558,1214729,36764
559,1214729,36764
560,1214729,36764
561,1214478,36764
562,1214279,36764
563,1297886,36764
564,1282466,36764
565,1268948,36764
566,1268812,36764
567,1268808,36764
568,1268808,36764
569,1268808,36764
570,1268808,36764
571,1268808,36764
572,1268808,36764
573,1268693,36764
574,1268598,36764
575,1268598,36764
576,1268517,36764
577,1268436,36764
578,1268355,36764
579,1268348,36764
580,1268348,36764
581,1268348,36764
582,1268348,36764
583,1268348,36764
584,1268348,36764
585,1268348,36764
586,1268348,36764
587,1268348,36764
588,1268348,36764
589,1268201,36764
590,1268148,36764
591,1268148,36764
592,1268148,36764
593,1268001,36764
594,1267854,36764
595,1267708,36764
596,1267708,36764
597,1267208,36764
598,1267072,36764
599,1266538,36764
600,1266538,36764
601,1266538,36764
602,1266538,36764
603,1266508,36764
604,1302495,36764
605,1282719,36764
606,1233980,36764
607,1233980,36764
608,1233980,36764
609,1233980,36764
610,1233980,36764
611,1233980,36764
612,1233980,36764
613,1233480,36764
614,1233480,36764
615,1233480,36764
616,1232865,36764
617,1232780,36764
618,1232780,36764
619,1279691,36764
620,1015407,36764
621,1015407,36764
622,1015407,36764
623,1015271,36764
624,1015227,36764
625,1015227,36764
626,1015227,36764
627,1015227,36764
628,1015112,36764
629,1014977,36764
630,1014977,36764
631,1014977,36764
632,1014977,36764
633,1014977,36764
634,1014977,36764
635,1014977,36764
636,1014977,36764
637,1014977,36764
638,1014896,36764
639,1014734,36764
640,1014439,36764
641,1014222,36764
642,1013505,36764
643,1013288,36764
644,1013147,36764
645,1013011,36764
646,1012907,36764
647,1012907,36764
648,1012907,36764
649,1012907,36764
650,1012407,36764
651,1012260,36764
652,1012113,36764
653,1012087,36764
654,1012087,36764
655,1012087,36764
656,1012087,36764
657,1011087,36764
658,1011087,36764
659,1011087,36764
660,1011087,36764
661,1011087,36764
662,1010587,36764
663,1010587,36764
664,1010577,36764
665,1010577,36764
666,1010577,36764
667,1010577,36764
668,1010577,36764
669,1010496,36764
670,1010467,36764
671,1010467,36764
672,1010467,36764
673,1010467,36764
674,1456791,36764
675,1093840,36764
676,1092291,36764
677,1092291,36764
678,1092291,36764
679,1092155,36764
680,1092019,36764
681,1091981,36764
682,1091866,36764
683,1091751,36764
684,1091600,36764
685,1091519,36764
686,1206479,36764
687,1160751,36764
688,839045,36764
689,839045,36764
690,839045,36764
691,839045,36764
692,838964,36764
693,838883,36764
694,838802,36764
695,838721,36764
696,838640,36764
697,838559,36764
698,838478,36764
699,838397,36764
700,838316,36764
701,838235,36764
702,838215,36764
703,838215,36764
704,838215,36764
705,838079,36764
706,838025,36764
707,838025,36764
708,838025,36764
709,838025,36764
710,837793,36764
711,837561,36764
712,837248,36764
713,837059,36764
714,836735,36764
715,835965,36764
716,835673,36764
717,835445,36764
718,835294,36764
719,835235,36764
720,835088,36764
721,834941,36764
722,834794,36764
723,834647,36764
724,834585,36764
725,834438,36764
726,833791,36764
727,833644,36764
728,833497,36764
729,833350,36764
730,833345,36764
731,1184318,36764
732,1180702,36764
733,1180415,36764
734,1180415,36764
735,1180415,36764
736,1180415,36764
737,1180415,36764
738,1180415,36764
739,1180415,36764
740,1180300,36764
741,1180119,36764
742,1180005,36764
743,1180005,36764
744,1180005,36764
745,1179869,36764
746,1179733,36764
747,1179715,36764
748,1179715,36764
749,1179715,36764
750,1179715,36764
751,1179587,36764
752,1179475,36764
753,1179475,36764
754,1179475,36764
755,1179475,36764
756,1179475,36764
757,1178860,36764
758,1178745,36764
759,1178675,36764
760,1178675,36764
761,1178675,36764
762,1727267,36764
763,1647087,36764
764,1849301,36764
765,1847351,36764
766,1847236,36764
767,1847141,36764
768,1847005,36764
769,1846869,36764
770,1853568,36764
771,1853139,36764
772,1852805,36764
773,1841179,36764
774,1841179,36764
775,1795762,36764
776,1795762,36764
777,1795762,36764
778,1795626,36764
779,1795602,36764
780,1795319,36764
781,1795036,36764
782,1788685,36764
783,1788307,36764
784,1787910,36764
785,1787821,36764
786,1787821,36764
787,1787821,36764
788,1787821,36764
789,1787821,36764
790,1787821,36764
791,1787821,36764
792,1787821,36764
793,1787821,36764
794,1787821,36764
795,1787821,36764
796,1787321,36764
797,1787321,36764
798,1787311,36764
799,1787175,36764
800,1787039,36764
801,1787011,36764
802,1787011,36764
803,1787011,36764
804,1787011,36764
805,1787011,36764
806,1897948,36764
807,1810037,36764
808,1763071,36764
809,1763071,36764
810,1763071,36764
811,1763071,36764
812,1763071,36764
813,1763071,36764
814,1762435,36764
815,1762299,36764
816,1762163,36764
817,1761651,36764
818,1761651,36764
819,1761651,36764
820,1761515,36764
821,1761379,36764
822,1761243,36764
823,1760971,36764
824,1760675,36764
825,1760296,36764
826,1759963,36764
827,1759867,36764
828,1759771,36764
829,1759675,36764
830,1759579,36764
831,1759483,36764
832,1759251,36764
833,1759069,36764
834,1759041,36764
835,1759041,36764
836,1759041,36764
837,1759041,36764
838,1759041,36764
839,1759041,36764
840,1759041,36764
841,1759041,36764
842,1759041,36764
843,1759041,36764
844,1759041,36764
845,1759041,36764
846,1759041,36764
847,1759041,36764
848,1759041,36764
849,1759041,36764
850,1759041,36764
851,1758970,36764
852,1758899,36764
853,1758828,36764
854,1758757,36764
855,1762729,36764
856,1658581,36764
857,1658581,36764
858,1658581,36764
859,1658445,36764
860,1658341,36764
861,1658341,36764
862,1658341,36764
863,1658341,36764
864,1658341,36764
865,1658341,36764
866,1658341,36764
867,1658341,36764
868,1658341,36764
869,1658341,36764
870,1658341,36764
871,1658341,36764
872,1658341,36764
873,1658341,36764
874,1658205,36764
875,1658069,36764
876,1657991,36764
877,1657991,36764
878,1657991,36764
879,1657991,36764
880,1657991,36764
881,1657991,36764
882,1657855,36764
883,1657719,36764
884,1657583,36764
885,1657531,36764
886,1657531,36764
887,1657531,36764
888,1657531,36764
889,1657531,36764
890,1657531,36764
891,1657531,36764
892,1657531,36764
893,1657531,36764
894,1657531,36764
895,2235436,36764
896,2235436,36764
897,2235436,36764
898,2235436,36764
899,2235436,36764
900,2234936,36764
901,2234936,36764
902,2234936,36764
903,2234865,36764
904,2234794,36764
905,2234723,36764
906,2234652,36764
907,2404673,36764
908,2404466,36764
909,2404259,36764
910,2404170,36764
911,2404099,36764
912,2404058,36764
913,2404058,36764
914,2404058,36764
915,2404058,36764
916,2404058,36764
917,2404058,36764
918,2404058,36764
919,2404058,36764
920,2404058,36764
921,2404058,36764
922,2404058,36764
923,2404058,36764
924,2404058,36764
925,2404058,36764
