Step,Flisvos-2016,PUCRS
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,49960,50000
7,49960,50000
8,49960,50000
9,49960,50000
10,49898,50000
11,49809,50000
12,49800,50000
13,48481,50000
14,43887,50000
15,43887,50000
16,43694,50000
17,43639,50000
18,43597,50000
19,43597,50000
20,43597,50000
21,43597,50000
22,43597,50000
23,43597,50000
24,43597,50000
25,43597,50000
26,43531,50000
27,40577,50000
28,40511,47395
29,40469,47395
30,40412,47395
31,26891,31747
32,24490,31747
33,24371,31474
34,24307,31474
35,24245,31474
36,24126,31171
37,24069,31171
38,23879,31105
39,23689,31039
40,23534,30973
41,23445,30941
42,23383,30941
43,23276,30941
44,23219,30941
45,23162,30875
46,23123,30743
47,23123,30611
48,23052,30543
49,22981,30511
50,22910,30511
51,22839,28829
52,22813,28829
53,22813,28829
54,22747,28829
55,22681,28829
56,22615,28829
57,22549,28705
58,22483,28619
59,22417,28619
60,22227,27819
61,22037,32293
62,17931,52944
63,8040,52944
64,6305,49893
65,5805,49893
66,5805,49893
67,5805,49893
68,5805,49827
69,5805,49761
70,5805,49133
71,5805,48839
72,5805,48839
73,5751,48768
74,5697,48697
75,5643,48626
76,5558,48557
77,5501,48495
78,5444,48469
79,5435,48469
80,5373,35302
81,5311,35302
82,4749,35236
83,4630,35170
84,4511,34312
85,4338,34310
86,4215,29440
87,4105,25033
88,4055,25033
89,3989,24759
90,3923,24759
91,3857,24705
92,3791,24651
93,3725,24597
94,3659,24183
95,3095,24072
96,3095,24005
97,3095,23877
98,3029,23749
99,2933,23673
100,2895,23602
101,2895,23531
102,2895,23389
103,2895,23264
104,2895,23193
105,2895,23079
106,2895,23022
107,1895,22965
108,1895,22926
109,1895,22926
110,1895,22926
111,1895,22926
112,1895,26532
113,1895,26532
114,1895,26532
115,1895,26466
116,1895,26331
117,1895,26260
118,1895,40708
119,-11972,40708
120,-11972,40708
121,-11972,40708
122,-11972,40708
123,-11972,40708
124,-12472,40208
125,-12972,40208
126,-12972,40208
127,-12972,40208
128,-13104,40208
129,-4416,40208
130,-9691,40208
131,-10098,40208
132,-10169,40208
133,-10240,40208
134,-10257,40151
135,-10257,40094
136,-10323,39997
137,-10357,39855
138,-10357,39713
139,-10357,39278
140,-10357,39150
141,-10357,39128
142,274,39128
143,-8817,39128
144,-8874,30645
145,-9002,30645
146,-9130,29797
147,-9255,29043
148,-9312,28972
149,-9369,28901
150,-9423,28843
151,-9480,24249
152,-9537,24249
153,-9660,24183
154,-9775,24119
155,-9841,19525
156,-9900,19525
157,-10457,19459
158,-10585,19131
159,-10784,19131
160,-10941,19131
161,-11069,19131
162,-11197,19131
163,-11319,19131
164,-11376,19131
165,-11413,19131
166,-11413,19131
167,-11479,19131
168,-11545,19131
169,-11611,38371
170,-12739,38371
171,-12837,38371
172,-12899,38371
173,-12961,38314
174,-13023,38257
175,-13085,38231
176,-13147,38174
177,-13259,38117
178,-13321,38091
179,-13383,38091
180,-13445,38033
181,-13483,37711
182,-13483,37591
183,-13483,36729
184,-13483,36667
185,-13483,36605
186,-13483,36543
187,-13483,36523
188,-13483,36523
189,-13483,36523
190,-13537,36523
191,-13591,36457
192,-13645,36393
193,-13699,36393
194,-13753,34571
195,-13807,34453
196,-13861,34108
197,-13915,34054
198,-13969,43338
199,-14023,43338
200,-14077,43338
201,-14131,43338
202,-14183,43338
203,-14745,43338
204,-14807,43338
205,-15369,43338
206,-15431,43338
207,-15493,43338
208,-15553,48696
209,-15615,48568
210,-15677,46738
211,-15739,46641
212,-15858,46577
213,-15943,46520
214,-15993,46494
215,-15993,46494
216,-15993,46494
217,-15993,46494
218,-15993,46494
219,-15993,46432
220,-15993,46052
221,-1486,45936
222,-2057,45605
223,-8189,32242
224,-8235,32242
225,19831,32242
226,14756,32242
227,13737,31903
228,1638,24821
229,1638,24821
230,1638,24755
231,1638,24691
232,1138,24691
233,638,23914
234,638,23914
235,638,23843
236,638,23772
237,638,23701
238,572,16612
239,435,16566
240,326,16566
241,193,16566
242,60,16566
243,-188,16566
244,-370,16566
245,-502,16201
246,-618,16144
247,-672,16118
248,-726,15999
249,-818,15880
250,-884,15792
251,-902,15730
252,-902,15668
253,-902,15606
254,-902,15544
255,-902,15538
256,-973,15538
257,13737,15472
258,442,15406
259,-6709,14840
260,-6780,14708
261,-6845,14510
262,-6899,14312
263,-6953,14118
264,-8007,14008
265,-8045,14008
266,-8045,13942
267,-8111,13878
268,-8177,13878
269,-8705,13878
270,-8705,13878
271,-8705,13878
272,6282,13878
273,5206,13878
274,-7440,13878
275,-7571,28161
276,-7571,28161
277,-7571,28161
278,-8071,28161
279,-8071,61676
280,-8404,61676
281,-11474,61619
282,-11785,61562
283,-12010,61536
284,-12394,56700
285,-12402,56643
286,-12402,56617
287,-12402,56617
288,-12402,55866
289,-12603,55866
290,-12777,55795
291,-13410,53243
292,-13952,53106
293,-14014,52969
294,-14076,52847
295,-14138,52845
296,-14310,52845
297,2848,52845
298,1668,52845
299,1606,51979
300,1478,51602
301,1273,51544
302,1120,51420
303,1058,51330
304,876,51330
305,820,51330
306,820,50960
307,820,50898
308,820,50836
309,820,50782
310,820,50782
311,820,50720
312,820,46064
313,754,46002
314,688,45940
315,622,45837
316,556,45766
317,490,45638
318,480,45510
319,12225,44913
320,10716,44785
321,9023,44724
322,8332,44698
323,8141,44698
324,7970,44698
325,7888,44559
326,7822,44468
327,7756,44414
328,7690,44360
329,7624,44306
330,7532,44252
331,7331,44208
332,7130,44208
333,6976,44208
334,6914,44208
335,6852,44142
336,6778,44078
337,6650,51837
338,6522,51771
339,6398,51707
340,6336,51707
341,6203,51707
342,6018,51707
343,5902,51707
344,5786,51707
345,5696,51707
346,5634,51707
347,5572,51707
348,5510,51707
349,5494,51707
350,5355,51707
351,5254,51707
352,5254,51707
353,5254,51707
354,5254,51650
355,5254,51593
356,5254,51510
357,5254,51453
358,5254,51140
359,5254,51140
360,5254,65071
361,12002,64990
362,10335,64990
363,6857,64990
364,6855,60396
365,6855,60396
366,26572,60396
367,14470,60272
368,14470,60186
369,14470,60186
370,14470,60186
371,14399,59935
372,14257,59869
373,14115,52297
374,14060,52243
375,13921,49642
376,13920,49524
377,13657,49207
378,13452,49207
379,13380,49207
380,13380,49207
381,13380,49207
382,13380,49207
383,13380,49207
384,13380,49207
385,13380,49207
386,13380,49207
387,13318,49207
388,13256,49083
389,13194,48997
390,13132,48874
391,13064,48694
392,12998,48545
393,12932,48409
394,12910,48295
395,12910,48212
396,12771,55811
397,12730,55754
398,12730,55697
399,12730,55663
400,12730,55663
401,12606,55663
402,12520,55663
403,12520,55663
404,12020,55663
405,11520,55663
406,11520,55663
407,11449,55663
408,11378,55597
409,11307,55533
410,11236,55189
411,11165,55066
412,11036,54088
413,10907,54088
414,10712,54088
415,10449,54088
416,10310,54088
417,10252,54088
418,10194,54088
419,10065,54022
420,9936,53428
421,9807,53390
422,9686,53390
423,9615,53390
424,9544,53390
425,9473,53390
426,9402,53333
427,9331,53137
428,9290,52964
429,9290,52843
430,9290,52786
431,9290,52760
432,9224,52760
433,9158,52760
434,8592,52760
435,8526,52760
436,8520,52760
437,8520,52760
438,8520,52760
439,8520,52760
440,8520,52760
441,8520,52760
442,8520,52760
443,8520,52760
444,8520,52694
445,8520,52630
446,8520,52573
447,8520,52450
448,27295,52360
449,27295,52360
450,27295,55970
451,27295,55970
452,27295,55970
453,27295,55970
454,27295,55970
455,27295,55970
456,27295,55970
457,27295,55970
458,35484,55970
459,35484,55970
460,35484,55970
461,35484,55775
462,35484,55591
463,32179,55466
464,32179,55374
465,32179,55253
466,32179,55196
467,32179,55170
468,32179,55170
469,32179,55170
470,32179,54606
471,32108,52296
472,32037,50716
473,31842,50716
474,31647,50443
475,31472,50443
476,31405,50443
477,31343,50443
478,31227,50443
479,31151,50304
480,31097,50233
481,30989,50233
482,30881,50110
483,30817,49923
484,30763,49833
485,30709,49833
486,30655,49833
487,30601,49833
488,30559,49833
489,30559,49833
490,30497,49694
491,30435,49623
492,30373,49623
493,30311,49623
494,30249,49623
495,30187,49623
496,30125,49623
497,30063,49623
498,30001,49623
499,29939,49623
500,29899,49500
501,29899,49379
502,29899,49296
503,29899,57024
504,29899,56998
505,29899,56998
506,29899,56998
507,29760,56998
508,29689,56998
509,29689,56998
510,29689,56998
511,35080,56998
512,35080,56998
513,35080,56998
514,35080,56998
515,60246,56998
516,60246,56998
517,60246,56998
518,59607,56875
519,59414,56754
520,59268,56662
521,59214,56598
522,59160,56459
523,59106,56328
524,59052,56328
525,58998,56328
526,58956,56328
527,58956,56266
528,58956,56204
529,58956,56142
530,58956,43434
531,58956,43434
532,58956,43434
533,58894,43434
534,58832,43434
535,58816,43434
536,58816,43311
537,58816,43190
538,58816,43107
539,58816,43050
540,58816,43024
541,58816,43024
542,58816,41355
543,58816,41355
544,58816,38347
545,58816,36065
546,58816,35655
547,58816,35516
548,58816,35377
549,58816,35344
550,58816,35344
551,58816,35344
552,58316,35344
553,58316,35344
554,58316,35167
555,58316,34992
556,58316,34846
557,58254,34764
558,58192,34764
559,58130,34764
560,58068,34764
561,58006,34764
562,57944,34764
563,57882,34764
564,57820,34764
565,57758,34764
566,57696,34764
567,57646,34764
568,57646,65382
569,57646,65382
570,57646,65382
571,57646,65382
572,57646,65259
573,57646,65138
574,57646,65055
575,57646,64998
576,57646,64972
577,57646,64972
578,57646,64972
579,57646,64972
580,57646,64972
581,57646,64972
582,57646,64972
583,57646,64972
584,57646,64972
585,57646,64972
586,57646,64972
587,57646,64972
588,57646,64972
589,57646,64972
590,57646,64849
591,57646,64728
592,57646,64636
593,57646,64572
594,57646,64572
595,57646,64572
596,57646,64572
597,57646,64572
598,57646,64572
599,57646,64572
600,57646,64572
601,57646,64572
602,57646,64572
603,57646,64572
604,57646,64572
605,57646,63984
606,57646,63984
607,57646,63984
608,57646,62772
609,57646,62651
610,57646,62568
611,57646,62511
612,57646,62485
613,57646,62485
614,57646,62485
615,57646,62346
616,57646,62047
617,57646,61845
618,52969,61845
619,50687,61845
620,50687,61845
621,50687,61845
622,50687,61845
623,50687,61845
624,50687,61845
625,50687,61845
626,50687,61722
627,50687,61601
628,50687,61509
629,50687,61445
630,48532,61445
631,48264,61445
632,48264,61445
633,48264,61445
634,48193,60945
635,48122,60945
636,48051,60945
637,48004,60945
638,47938,60945
639,47872,60945
640,47806,60361
641,47740,60361
642,47674,60361
643,34248,60361
644,34248,60238
645,34248,60117
646,34248,60034
647,34186,59977
648,34124,59951
649,34062,59951
650,34018,59951
651,33894,59951
652,33631,59951
653,33628,59951
654,33562,59951
655,33496,64940
656,33430,64940
657,33364,64940
658,33298,64940
659,33278,64940
660,33278,64940
661,33278,64940
662,33212,64817
663,33146,64696
664,33080,64328
665,33014,64264
666,32948,56201
667,32882,56201
668,32792,55933
669,32726,55933
670,32698,55660
671,32698,55660
672,44558,55660
673,43978,55660
674,38969,55536
675,38830,55450
676,38691,55450
677,38668,55450
678,38668,55450
679,43641,55450
680,31450,55327
681,28379,55206
682,28379,55123
683,28379,55066
684,28379,55040
685,28379,55040
686,28379,55040
687,28313,55040
688,28247,55040
689,28181,55040
690,28115,55040
691,28049,55040
692,27983,55040
693,27917,54978
694,27909,54916
695,27838,54890
696,27767,54890
697,27638,54890
698,27509,54767
699,27425,54646
700,27399,54554
701,27399,54490
702,27399,54490
703,27399,54490
704,27399,54490
705,26899,54490
706,26837,54490
707,26775,54490
708,26655,54490
709,26535,54490
710,26415,54490
711,26237,54490
712,26059,54490
713,25881,54490
714,25739,54490
715,25119,54490
716,24999,54367
717,24879,66504
718,24805,66421
719,24678,66364
720,24619,66338
721,24561,66338
722,24003,66338
723,23945,66338
724,23887,66338
725,23763,66338
726,23639,66338
727,23444,66338
728,22723,66338
729,22594,66065
730,22465,66065
731,22391,65231
732,22333,58053
733,22319,58053
734,22319,57930
735,22319,57809
736,22261,57717
737,22203,57653
738,22145,57653
739,22119,57653
740,22119,57587
741,22119,57521
742,22119,57455
743,22119,57389
744,22119,57323
745,22053,57257
746,21987,57052
747,21959,56943
748,21959,56943
749,21959,56943
750,21959,56943
751,21459,56943
752,21459,56320
753,21459,56199
754,20959,56116
755,20959,56059
756,43286,56033
757,29711,56033
758,26703,55730
759,49163,55730
760,36735,55668
761,36735,55630
762,36735,55630
763,36735,55630
764,36735,55630
765,36664,55630
766,36534,55630
767,36463,55630
768,36405,55630
769,45270,55630
770,31212,55507
771,30883,55386
772,29246,55360
773,29237,55360
774,29237,55294
775,29166,67913
776,29029,67913
777,28835,67913
778,28703,67913
779,28646,67913
780,28589,67789
781,28537,67733
782,28537,67667
783,28537,67601
784,28537,67573
785,28537,67434
786,28537,67295
787,28398,67253
788,28197,67253
789,28103,67253
790,28041,67253
791,27840,67253
792,27707,67005
793,27574,66951
794,27441,66897
795,27341,66859
796,27279,66859
797,27217,66859
798,27177,66712
799,27177,66609
800,27115,66406
801,27053,66335
802,26991,66264
803,26429,66193
804,25867,66139
805,25751,66139
806,25635,66139
807,25519,66139
808,24403,66139
809,24317,66139
810,24255,66139
811,24193,66139
812,24157,66139
813,24095,66139
814,24033,66139
815,23971,66139
816,23909,66139
817,23776,66139
818,23665,66139
819,23603,66139
820,23541,66139
821,23479,66139
822,23417,66139
823,23377,66139
824,23377,66139
825,23377,66139
826,23306,63829
827,23235,63029
828,23164,62755
829,23093,62755
830,23022,62755
831,22951,60753
832,22927,60753
833,22927,60753
834,22927,47854
835,22927,47854
836,22927,47282
837,22927,47282
838,22927,45736
839,22927,45736
840,22927,43426
841,22927,43426
842,22927,43426
843,22861,48225
844,22729,48225
845,49086,48225
846,45242,48225
847,32603,48225
848,32537,48225
849,32477,48225
850,32477,47890
851,32477,47757
852,32477,45314
853,32477,45181
854,32477,45073
855,32477,45011
856,56950,44961
857,52181,44899
858,51910,44837
859,51853,44704
860,51730,44599
861,51607,44466
862,51570,44377
863,51570,44315
864,51570,44271
865,51570,44209
866,51570,44147
867,51504,44085
868,51438,49730
869,51306,49678
870,51174,49678
871,51070,49678
872,51004,44808
873,50938,44808
874,50880,44808
875,50880,44808
876,50880,44808
877,50880,44808
878,50814,44808
879,50748,44808
880,69790,44808
881,68864,44808
882,56159,44808
883,55961,44808
884,55779,44808
885,55659,44808
886,55595,44808
887,55557,70041
888,55557,70041
889,55557,57534
890,55486,57534
891,55415,57534
892,55344,57534
893,55273,57534
894,55202,57534
895,55167,57534
896,55167,57534
897,55167,57534
898,55167,57534
899,55167,57534
900,55167,57534
901,55167,57468
902,55167,57402
903,55167,57336
904,55167,57270
905,55167,57264
906,55167,57264
907,55167,57264
908,55167,57264
909,55167,57264
910,55167,57264
911,55167,57264
912,55028,57264
913,54889,57264
914,54750,57264
915,54588,57264
916,54449,86775
917,81406,86775
918,81267,86775
919,81128,86775
920,81053,86775
921,81053,86775
922,81053,86775
923,81053,86775
924,80553,86775
925,80553,86775
926,80553,86775
927,80553,86775
928,80553,86775
929,80553,86775
930,80553,86775
931,80553,86775
932,80553,86775
933,80553,86775
934,80553,86775
935,80553,86775
936,80553,86775
937,80553,86775
938,80553,86775
939,80553,86775
940,80553,86775
941,80553,86775
942,80553,86775
943,80553,86775
944,80553,86775
945,80553,86775
946,80553,86775
947,80487,86775
948,80421,86775
949,79855,86775
950,79833,86775
951,79833,86775
952,79833,86775
953,79833,86775
954,79833,86775
955,79833,86775
956,79833,86775
957,79833,86775
958,79833,86775
959,79833,86775
960,79833,86775
961,88398,86775
962,88259,86775
963,88120,86775
964,87981,86775
965,87958,86775
966,87958,86775
967,87958,86775
968,87958,86775
969,87958,86775
970,87958,86775
971,87958,86775
972,87958,86775
973,87958,86775
974,87958,86775
975,87958,86775
976,87958,86775
977,87958,86775
978,109887,86775
979,109887,86775
980,109887,86775
981,109825,86775
982,109763,86775
983,109701,86775
984,109515,86775
985,109387,86775
986,109387,86775
987,109387,86775
988,109387,86775
989,109387,86775
990,109387,86775
991,109387,86775
992,109387,86775
993,109387,86775
