Step,Flisvos-2016,PUCRS
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,50000
9,30263,50000
10,30263,50000
11,30204,50000
12,30203,50000
13,30203,50000
14,30203,50000
15,30203,50000
16,30203,50000
17,30203,50000
18,30058,39709
19,30043,39709
20,29905,30029
21,29853,30029
22,29853,30029
23,29853,30029
24,7664,22295
25,1983,20798
26,1813,20511
27,1643,20511
28,1566,20511
29,1423,20367
30,1303,20341
31,1119,20341
32,862,20341
33,520,20341
34,259,20197
35,115,20131
36,93,20131
37,93,-491
38,93,-585
39,93,-585
40,93,-585
41,-52,-585
42,-197,-585
43,-307,-2228
44,-307,-2228
45,-307,-2228
46,-452,-2228
47,-557,33062
48,-13086,33062
49,-13202,33062
50,-13316,33062
51,-13316,32946
52,-13316,32830
53,-13316,32762
54,18527,32762
55,5961,32762
56,-5816,32646
57,-5954,32530
58,-6092,22231
59,-6230,22231
60,-6374,11275
61,-6446,11148
62,-6446,10883
63,-6446,10805
64,-6446,10805
65,-6590,10805
66,-6734,24378
67,-8660,24286
68,-14565,24286
69,-14565,21010
70,-14565,21010
71,-14565,21010
72,-14565,21010
73,-14565,21010
74,-14565,21010
75,-14565,19495
76,-14565,19495
77,-14565,19213
78,-14565,19213
79,-14565,19213
80,-14854,19213
81,-15045,19213
82,-15085,19213
83,-15196,19213
84,-15510,19213
85,-15781,19213
86,-16041,19213
87,23855,19213
88,21972,19213
89,12587,19213
90,12587,19068
91,27119,55673
92,27119,55562
93,27119,55307
94,20014,55143
95,16687,55143
96,15113,55143
97,15111,55143
98,14611,54643
99,14611,54599
100,14611,54599
101,14611,44308
102,-30158,42811
103,-36650,42811
104,-36795,42811
105,-36979,42811
106,-37156,42757
107,-37267,42757
108,-37378,42757
109,-37623,42757
110,-37665,24694
111,-37665,24694
112,-37665,24694
113,-37809,24694
114,-38000,24694
115,-38290,24694
116,-38405,23094
117,-38516,23094
118,-38729,23094
119,-38873,22950
120,-38875,22854
121,-38875,22734
122,-38875,22624
123,-39375,22485
124,44742,52002
125,29150,51960
126,29150,51960
127,29150,36063
128,29150,35808
129,29150,35808
130,28590,35808
131,28590,35808
132,28590,35808
133,28450,57585
134,37108,57585
135,-20411,57585
136,-29690,57585
137,-29749,57474
138,-29808,57363
139,-29841,57121
140,-29841,57065
141,-29841,57065
142,-29841,57065
143,-29841,55568
144,-29841,55299
145,-29961,35788
146,-30011,35788
147,-30011,35788
148,-30011,35501
149,-30155,35501
150,-30336,35390
151,-30481,35180
152,-30571,35069
153,-30571,34981
154,-30701,34981
155,-30701,34727
156,-30701,34727
157,-30701,34589
158,-30701,34313
159,-31484,34161
160,-31767,34057
161,-31921,34057
162,-32059,34057
163,-32197,34057
164,-32335,32431
165,-32473,29066
166,-32611,29066
167,-32819,29066
168,-32861,29066
169,-33006,28955
170,-33289,28844
171,81507,6445
172,60768,6334
173,60485,6318
174,60302,6318
175,60164,6318
176,60072,6318
177,60072,6198
178,59961,6078
179,59892,6068
180,59754,6068
181,86809,6068
182,44103,29950
183,44051,19659
184,44051,19659
185,44051,19159
186,44051,19159
187,44051,19159
188,43940,19159
189,43871,19159
190,43727,19159
191,43590,19159
192,43479,19159
193,43451,19159
194,43451,19022
195,43451,18774
196,43451,18526
197,43451,5820
198,43451,5820
199,43451,-30773
200,43451,-30773
201,43451,-34049
202,43451,4519
203,104342,4519
204,64465,4519
205,52072,-1309
206,42438,-1309
207,42189,-1447
208,41872,-1607
209,41807,-1639
210,41696,-1639
211,40999,-1639
212,40937,-1750
213,40937,-1839
214,40857,-1839
215,40857,-1839
216,40857,-1839
217,40857,-3463
218,40712,-3601
219,40617,54338
220,40617,54338
221,40517,54338
222,40517,54338
223,40517,54338
224,40517,54338
225,40517,142728
226,40517,142728
227,40517,142728
228,40379,141231
229,87322,141231
230,74931,141231
231,74787,141231
232,74755,99723
233,74755,99723
234,74617,85648
235,74397,85648
236,74345,85351
237,74091,85351
238,73641,85351
239,73367,85351
240,73220,85351
241,73075,81853
242,72930,71404
243,72785,71404
244,72755,65208
245,72611,65097
246,72467,64986
247,72323,64898
248,72035,64787
249,71877,64718
250,71733,64718
251,175947,64718
252,173967,64607
253,138998,64496
254,138998,64458
255,138998,156404
256,138998,156404
257,138998,156404
258,138998,156404
259,138998,156404
260,138998,156404
261,138998,156404
262,138998,156404
263,138998,156404
264,138998,155904
265,138998,155904
266,138998,155904
267,138998,155904
268,138710,155759
269,138538,155674
270,138538,149769
271,152487,149769
272,145698,177991
273,139655,184197
274,139517,183335
275,139339,183335
276,139195,177344
277,139193,177344
278,139193,177344
279,139193,177344
280,139193,177344
281,139048,177344
282,197631,168124
283,180408,157689
284,200414,135335
285,161642,135335
286,161380,135335
287,151938,135335
288,151749,135335
289,151717,135335
290,151717,135335
291,151573,135335
292,151429,156272
293,113290,156161
294,101513,155939
295,101513,155802
296,101513,155802
297,101375,155664
298,101149,155526
299,100894,155388
300,100693,155342
301,100555,113648
302,100473,113648
303,100473,104025
304,100473,104025
305,100473,81737
306,100335,81737
307,100197,81737
308,100183,81737
309,100183,81599
310,100183,81323
311,100183,81151
312,100183,80308
313,100039,80308
314,99963,80308
315,99963,80308
316,99963,80308
317,99963,80308
318,99847,80308
319,99803,150501
320,99803,150363
321,99803,141041
322,99803,141041
323,99803,141041
324,127003,141041
325,98810,141041
326,92681,141041
327,92543,199915
328,79968,199915
329,79968,199915
330,79968,199915
331,79968,199771
332,79968,199627
333,79968,199615
334,79464,199477
335,79024,199385
336,78834,199385
337,78552,186934
338,78298,186934
339,78248,186115
340,78248,184364
341,78248,165566
342,78248,165566
343,78248,165566
344,78137,159666
345,78048,159666
346,78048,159666
347,78048,159666
348,78048,159666
349,77904,159522
350,77760,159436
351,77477,159436
352,77320,159436
353,152985,240946
354,68917,240946
355,68747,240946
356,68747,240665
357,68747,240492
358,68747,230906
359,68747,230906
360,68609,230906
361,68456,230906
362,68345,230710
363,68327,230548
364,68327,230489
365,68327,230430
366,68216,230371
367,68107,228575
368,68107,228443
369,67969,226819
370,67831,226319
371,67693,226319
372,67273,226319
373,66827,226319
374,66737,226319
375,66737,226319
376,66737,226319
377,66737,279638
378,66599,279527
379,66461,266965
380,66323,290412
381,66185,289526
382,66047,289526
383,65967,286250
384,65967,286250
385,65967,286250
386,65740,286250
387,65513,286250
388,65329,286250
389,65277,286250
390,65277,286250
391,65277,286250
392,65277,286250
393,65277,279964
394,65277,279964
395,65277,273973
396,65277,272373
397,65277,272373
398,65277,303542
399,65166,303542
400,65055,303542
401,146006,303542
402,132599,297126
403,97630,297126
404,91434,296988
405,91296,296681
406,205478,296681
407,196068,290853
408,196068,290853
409,196068,289896
410,196068,289804
411,196068,254835
412,196068,219866
413,224775,219866
414,224275,219866
415,224275,184897
416,224275,184897
417,224275,251569
418,224136,251569
419,187337,251458
420,187337,251347
421,187337,251236
422,187337,251091
423,187226,250953
424,187115,250889
425,186991,250889
426,186875,250889
427,186807,250745
428,186691,250490
429,186464,244452
430,186237,244341
431,186010,244284
432,185783,244284
433,185470,244284
434,185345,244284
435,185317,244284
436,185206,244284
437,185095,244284
438,184997,244284
439,184997,244284
440,149759,244284
441,149759,244284
442,143657,244284
443,143657,244284
444,143657,244284
445,143657,244284
446,143657,244284
447,143657,318933
448,134293,318933
449,122516,318933
450,122016,318933
451,121516,307977
452,121516,301630
453,121516,301519
454,121516,298144
455,121516,298144
456,121516,297868
457,121516,297664
458,121516,291562
459,121516,291562
460,121516,291275
461,121278,291275
462,121156,291275
463,121156,291275
464,121156,291275
465,121156,290034
466,121156,289895
467,121156,254914
468,121017,254914
469,120906,353647
470,120767,353647
471,120656,353531
472,120656,353415
473,120656,353407
474,120656,353407
475,153410,353407
476,148410,353407
477,146913,353407
478,146913,417249
479,146913,417249
480,146413,417249
481,146413,417249
482,146403,417249
483,146403,417249
484,146333,417249
485,146333,417249
486,146333,417249
487,146333,417249
488,145722,407699
489,145613,407441
490,145613,395512
491,145613,395512
492,145613,395236
493,145468,389408
494,145413,389364
495,145413,389268
496,145413,389214
497,145413,389214
498,145413,354245
499,204438,354245
500,169412,354245
501,169412,354245
502,185251,347807
503,183608,347807
504,170959,347524
505,165054,347261
506,165054,336970
507,165054,336970
508,165054,336970
509,165054,336843
510,164943,336730
511,164832,336730
512,163814,336730
513,163559,336730
514,163304,336592
515,163049,336205
516,162878,335872
517,162596,334223
518,162458,311935
519,162276,311791
520,162027,311570
521,161748,311475
522,161493,311475
523,161342,310975
524,161198,310975
525,161074,310975
526,257608,310975
527,244878,310975
528,243110,310975
529,236770,310975
530,236510,310156
531,236280,310156
532,235664,310156
533,235632,310156
534,235521,310156
535,235422,310156
536,235422,309656
537,235278,404305
538,235097,404305
539,234858,404305
540,234852,404305
541,234708,404305
542,234622,381513
543,234622,381513
544,234622,371432
545,268237,371432
546,238715,371432
547,238715,371432
548,238715,371432
549,238715,371432
550,238715,371432
551,238715,371432
552,238715,371432
553,264816,371432
554,262773,371288
555,240641,369735
556,240641,369735
557,240641,369735
558,240141,369735
559,240141,369619
560,240141,369505
561,240030,369005
562,239808,369005
563,239630,369005
564,239541,369005
565,239541,369005
566,239541,368866
567,239541,368785
568,239402,368785
569,239231,368785
570,239231,368785
571,239120,368785
572,239009,368785
573,238898,368785
574,238891,368636
575,238752,368487
576,238701,424574
577,236406,424574
578,230501,424574
579,230501,424574
580,230442,424574
581,230383,424574
582,230324,424574
583,230265,424574
584,230206,424574
585,230147,424574
586,230088,424574
587,229897,424574
588,229753,424574
589,229609,424574
590,229465,424574
591,229391,424429
592,229246,464915
593,229191,464865
594,229191,503936
595,229191,503936
596,303016,503798
597,252626,503706
598,252626,494323
599,252626,494323
600,252388,494323
601,252214,494212
602,252103,494163
603,251992,494163
604,251881,487624
605,251770,487624
606,251555,487225
607,251506,487109
608,251506,487101
609,251362,486818
610,251218,451849
611,251126,449924
612,251126,449924
613,251126,439513
614,251126,429102
615,251126,428982
616,251015,428962
617,250904,428824
618,250793,428732
619,250726,428732
620,250726,428732
621,250726,427235
622,250726,427235
623,250581,523675
624,225736,523675
625,216287,514455
626,215642,514455
627,215359,492023
628,215232,491927
629,215232,491927
630,215232,491927
631,266818,491927
632,266182,491927
633,248534,490284
634,248414,490173
635,248414,479773
636,248270,479773
637,248040,479476
638,247896,479476
639,247752,479476
640,247560,479476
641,247416,479476
642,247414,479476
643,247414,444507
644,246914,444244
645,246914,516040
646,261250,515902
647,261250,515810
648,261250,515810
649,261250,515810
650,261105,515810
651,261080,515810
652,261080,515310
653,261080,515310
654,260935,514661
655,260790,514512
656,260740,514490
657,249812,514490
658,249812,514490
659,249812,514490
660,249812,514490
661,249812,514490
662,249701,512577
663,249590,512577
664,249479,502777
665,249472,502777
666,249472,502640
667,249472,502547
668,218633,502547
669,218516,502547
670,218267,502547
671,218018,576519
672,217863,576519
673,217566,576519
674,217372,576519
675,216768,576519
676,216768,576519
677,205149,576519
678,205149,594844
679,205149,594844
680,205109,594706
681,205109,588552
682,205109,588298
683,204965,588174
684,204821,588174
685,204566,588174
686,204403,588174
687,204259,588174
688,204259,588174
689,204259,588030
690,204259,587984
691,204259,587984
692,251849,587984
693,251622,587984
694,251488,586352
695,251375,585533
696,270606,585533
697,270300,543778
698,270073,543778
699,270055,540759
700,270055,540472
701,233914,540472
702,227903,540472
703,227792,540472
704,227647,540472
705,227575,540472
706,227575,556778
707,227464,556778
708,227284,556778
709,227215,556725
710,227215,556696
711,227215,556696
712,227215,556696
713,227215,556196
714,227215,556196
715,227215,556085
716,227215,555974
717,227215,550225
718,197225,548625
719,186508,548370
720,186508,546873
721,238338,546611
722,238338,546611
723,238189,546611
724,237785,546611
725,237461,546473
726,237458,546077
727,237347,545795
728,237236,545611
729,236890,545591
730,195363,545591
731,189016,545447
732,189016,545401
733,189016,616144
734,189016,616006
735,189016,615904
736,189016,615904
737,180761,615904
738,180761,600253
739,180681,600253
740,180681,600253
741,180681,600253
742,180537,599642
743,180248,599531
744,180080,599513
745,179971,599513
746,179971,593531
747,179971,593432
748,179827,593432
749,247830,593432
750,247686,593432
751,247542,593432
752,247398,593432
753,247398,593432
754,247398,618432
755,247308,618432
756,247308,616789
757,247308,615216
758,247308,602304
759,247308,602304
760,246808,602304
761,246808,602304
762,267364,602304
763,266864,602160
764,266719,602016
765,266430,601994
766,266141,601994
767,265904,601883
768,265844,601772
769,265344,600164
770,265344,600053
771,265099,600007
772,264954,600007
773,264665,577719
774,264376,577719
775,264084,577719
776,264084,577719
777,264084,577719
778,264084,577719
779,264084,577719
780,262307,577660
781,227338,577601
782,227338,577431
783,227338,576980
784,227200,576893
785,227062,576834
786,226968,576775
787,240833,576738
788,240833,576738
789,322346,576738
790,321709,576738
791,321576,576738
792,321576,575223
793,321576,575223
794,321576,540254
795,321576,540254
796,321576,540254
797,321576,540254
798,321576,540254
799,321576,540254
800,312686,540254
801,311086,540254
802,311086,539754
803,310942,539754
804,310687,539754
805,310656,539754
806,301072,539754
807,289295,539754
808,287663,539754
809,287663,539754
810,287663,567837
811,287663,567801
812,287663,567801
813,287663,567801
814,287525,567801
815,287463,567801
816,287463,567801
817,287463,567801
818,287463,567301
819,287463,567301
820,287463,632204
821,287463,632204
822,287463,632204
823,287463,632204
824,287463,632204
825,287463,632204
826,287463,632204
827,287463,632204
828,287463,632204
829,287463,631949
830,287463,631949
831,287463,603375
832,287463,603092
833,287463,603092
834,287319,603092
835,287175,603092
836,287015,603092
837,286963,603092
838,286963,603092
839,286463,603092
840,286463,603092
841,286463,602129
842,286463,601985
843,286463,591116
844,286463,590898
845,286463,589176
846,286463,589176
847,286463,589176
848,286352,589117
849,286241,589058
850,286130,588999
851,286019,653557
852,285908,653448
853,285797,653448
854,285619,653448
855,285475,653448
856,285331,653193
857,285187,653193
858,284932,653193
859,284803,653193
860,284803,653193
861,284803,653193
862,284692,673845
863,284581,673729
864,284470,673721
865,284359,673221
866,284248,673221
867,284137,673221
868,284026,673221
869,283973,673221
870,283973,673221
871,323977,673221
872,323977,673221
873,323977,673221
874,323977,671461
875,323977,660598
876,323977,710645
877,323977,694449
878,323977,694449
879,323977,694449
880,323977,694449
881,323977,694449
882,323977,694449
883,323977,694449
884,323977,694305
885,323866,694209
886,323755,694209
887,323737,694209
888,323737,694209
889,323737,694209
890,323737,694209
891,323599,693928
892,323461,693601
893,352016,693368
894,351900,693339
895,351900,693339
896,351900,693339
897,351900,691707
898,351900,691707
899,351900,691707
900,351900,691707
901,351900,691707
902,351900,682822
903,351900,708022
904,351900,707768
905,351900,707768
906,351900,707492
907,351900,707492
908,351900,713603
909,351900,707732
910,351900,707451
911,351900,707451
912,351900,706633
913,351900,706633
914,351900,706371
915,351900,706371
916,351900,706371
917,351900,706371
918,351900,736273
919,351900,736273
920,351900,736273
921,351900,726723
922,351900,726723
923,351900,723738
924,351900,723738
925,351900,723738
926,351900,717542
927,351900,717542
928,351900,717542
929,351756,717542
930,351612,717542
931,351468,717542
932,351324,717542
933,351180,717398
934,351180,717352
935,351180,717241
936,351180,717130
937,351180,717102
938,351180,717102
939,351180,717102
940,351180,717102
941,351180,716602
942,351180,716602
943,351180,716602
944,351180,716602
945,351036,716602
946,350892,716602
947,350748,716602
948,350604,716602
949,350460,716602
950,350460,716602
951,350460,744295
952,350460,744295
953,350460,744295
954,350460,744295
955,350460,744295
956,350460,744295
957,350460,744295
958,350460,761920
959,350460,761920
960,350316,761920
961,350240,761920
962,350240,761920
963,350240,761920
964,350240,761920
965,350240,761920
966,350240,761920
967,350240,761920
968,350240,761920
969,350240,761920
970,350240,761920
971,350240,761920
972,350240,761920
973,350240,761920
974,350240,761920
975,350240,761920
976,350240,761920
977,350240,761920
978,350240,761920
979,350240,761920
980,350240,761920
981,350240,761920
982,350240,761920
983,350240,761920
984,350240,761920
985,350240,761920
986,350240,761920
987,350240,761920
988,350240,761920
989,350240,761920
990,350240,761920
991,350240,761920
992,350240,761920
993,350240,761920
994,350240,761920
