Step,BathTUB,Flisvos-2016
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,5962
6,50000,3305
7,50000,-10809
8,50000,-10809
9,50000,-10809
10,50000,-10809
11,50000,-10809
12,50000,-10809
13,50000,-10809
14,50000,-10809
15,50000,-10809
16,50000,-10809
17,50000,-10809
18,50000,-10809
19,50000,-10809
20,50000,-10809
21,50000,-10809
22,50000,-11121
23,50000,-11524
24,49721,-11589
25,49721,-11686
26,49721,-11783
27,49721,-18084
28,49721,-19566
29,42555,-19690
30,42271,-19911
31,42271,-20167
32,42271,-20504
33,29745,-20622
34,29745,-20696
35,29745,-20696
36,29627,-20696
37,29555,62643
38,29555,62643
39,29361,62643
40,29167,62643
41,28998,62643
42,15647,62643
43,15550,62643
44,15514,14061
45,15514,-1237
46,13033,-1237
47,12817,-1237
48,12537,-1237
49,12375,-1237
50,12047,-1482
51,12047,-1637
52,12047,-1637
53,11947,-1637
54,11947,-1637
55,11947,-85244
56,11947,-85515
57,11947,-85515
58,11947,-85515
59,11947,-85515
60,11947,-85515
61,11947,-85515
62,11839,-85515
63,11757,-85515
64,11757,-85515
65,11757,-85515
66,11757,-85515
67,11757,-85515
68,11757,-85612
69,11757,-85836
70,11757,-86126
71,11757,-86477
72,11757,-86887
73,11757,-87066
74,11757,-87163
75,10149,-87175
76,10149,-87175
77,10149,-87175
78,10149,-87175
79,10149,-87175
80,10149,-87175
81,10149,-87175
82,10041,-87175
83,9933,-87175
84,9721,-87175
85,9613,-87675
86,9509,-87772
87,9509,-87869
88,9509,-87966
89,9509,-88063
90,9509,-88075
91,9509,-88575
92,9509,-88575
93,9509,-88575
94,9509,-88575
95,9509,-88575
96,9509,-88575
97,9238,-88575
98,9238,-88575
99,9130,-88575
100,9022,-88672
101,8914,-88866
102,8806,-89005
103,8698,-89005
104,8590,-89005
105,8488,-89005
106,8488,-89132
107,8488,-89145
108,8488,-89145
109,8488,47168
110,8188,11131
111,8080,-296
112,7972,-296
113,7948,-296
114,7948,-296
115,7948,-296
116,7948,-296
117,7948,-296
118,7948,-296
119,7824,-296
120,7700,-296
121,7638,10870
122,7638,-38325
123,7638,-38325
124,7638,-38325
125,7638,-38325
126,7638,-38325
127,7638,-38325
128,7638,-38519
129,7638,-38639
130,7638,-38736
131,7638,-38805
132,7638,-38902
133,7638,-39626
134,7638,-39789
135,7638,60527
136,7638,10369
137,7638,7849
138,7638,7783
139,7638,7783
140,7638,7783
141,7638,7783
142,7638,7783
143,7638,7783
144,7638,7783
145,7638,7656
146,7638,7529
147,7638,7415
148,7638,7393
149,7638,7393
150,7638,7393
151,7638,7393
152,7638,7393
153,7638,7266
154,7530,7012
155,7422,6758
156,7318,6504
157,7318,6258
158,7318,6143
159,7318,6143
160,7318,6143
161,7318,5643
162,7318,5643
163,7318,5643
164,7318,5643
165,7318,5535
166,7318,5427
167,7318,5319
168,7318,5211
169,7318,5103
170,7318,4995
171,7318,4887
172,7210,4873
173,7102,4873
174,51984,4873
175,51876,4873
176,51768,4873
177,51668,4873
178,51668,4873
179,51668,4873
180,51668,4265
181,51668,4157
182,51668,4049
183,51668,3844
184,51668,3609
185,51668,2985
186,51668,2883
187,51668,2883
188,51668,2883
189,51668,2883
190,51668,2883
191,51668,2883
192,51668,2883
193,51668,2883
194,51668,2883
195,51668,2883
196,51668,2883
197,51668,2883
198,51668,73456
199,51668,67207
200,51668,67089
201,51668,66971
202,51668,66853
203,51668,66835
204,51668,66335
205,51668,66335
206,51668,66335
207,51668,132534
208,51668,116138
209,51668,100743
210,51668,100519
211,51668,100370
212,51668,100370
213,51668,100370
214,51668,100370
215,51668,100370
216,51668,100370
217,51668,100370
218,51668,100370
219,51668,100370
220,51668,100370
221,51668,100243
222,51668,100210
223,51668,100210
224,41641,100210
225,41641,100102
226,41641,99994
227,41641,99930
228,41641,99930
229,41641,99930
230,41641,176666
231,41641,119620
232,41641,94742
233,41641,94742
234,41641,94742
235,41641,94742
236,41641,94242
237,41641,94242
238,41641,94242
239,41641,94242
240,41641,94048
241,41641,93761
242,41641,93628
243,28500,93504
244,28500,93396
245,28500,93111
246,28500,92906
247,28500,92624
248,28382,92408
249,28264,92258
250,28260,91650
251,28260,91042
252,28260,90934
253,28260,90826
254,28260,90718
255,28260,204623
256,28260,168564
257,28260,166080
258,28260,166080
259,28260,165983
260,28260,165920
261,28260,165920
262,28260,165920
263,28152,165420
264,28044,165420
265,27940,165420
266,27940,165420
267,27940,165420
268,27940,165420
269,27940,165420
270,27810,165293
271,27760,165122
272,27652,165004
273,27544,164886
274,27436,164820
275,19943,164582
276,19835,164354
277,19727,164310
278,-25563,164310
279,-25671,164310
280,-25727,164310
281,-25727,164310
282,-25727,164310
283,-25727,164310
284,-25727,164310
285,-25727,164202
286,-25727,164100
287,-25727,164100
288,-25727,164100
289,-25727,164100
290,-41546,164100
291,-41654,164100
292,-41762,164100
293,-41786,164100
294,-41786,163600
295,-41786,163600
296,-41786,162982
297,-41786,162767
298,-41883,162566
299,-41980,172330
300,-42026,133937
301,-42026,133437
302,-42026,133437
303,-42026,133437
304,-42026,133437
305,-42026,133437
306,-42026,133437
307,-42026,133437
308,-42026,133243
309,-42026,133167
310,-42026,133167
311,-42026,133167
312,-42026,133167
313,-42026,133167
314,-42026,133167
315,-12967,133167
316,-12967,182648
317,-60337,141314
318,-60337,131734
319,-60337,131734
320,-60337,131734
321,-60337,131734
322,-60464,131678
323,-60527,131622
324,-60527,131566
325,-60527,131454
326,-60527,131357
327,-60527,131260
328,-60527,131163
329,-60527,131066
330,-60527,130851
331,-60527,130636
332,-60527,129950
333,-60527,129776
334,-60527,129668
335,-64140,129664
336,-64140,129664
337,-64140,129664
338,-64140,129664
339,-64140,129664
340,-64140,129459
341,-64140,129254
342,-64140,129060
343,-64140,128952
344,-64140,128844
345,-64140,128736
346,-64248,181696
347,-64356,144982
348,-64591,135593
349,-64792,135464
350,-64900,135270
351,-65000,135148
352,-65000,134985
353,-65000,134765
354,-65000,134762
355,-65000,134262
356,-65000,134262
357,-65000,134165
358,-65000,134082
359,-65000,134082
360,-65000,133985
361,-65000,133888
362,-65000,133852
363,-65000,133852
364,-65000,133352
365,-65000,133352
366,-65000,133352
367,-65000,133352
368,-89878,133352
369,-89878,133352
370,-89878,133255
371,-89878,133212
372,-89878,133212
373,-89878,133212
374,-89878,133115
375,-89878,133072
376,-89986,132964
377,-90094,132962
378,-90118,132962
379,-90118,132962
380,-90118,132462
381,-90118,132462
382,-90118,132462
383,-90118,132462
384,-92516,132462
385,-92516,132462
386,-92516,132462
387,23722,132462
388,23722,132462
389,23722,132462
390,23595,132462
391,23468,132462
392,23382,132462
393,23382,132462
394,23255,132354
395,23128,132246
396,23001,132138
397,22874,132082
398,22747,132082
399,22620,132082
400,-24828,132082
401,-28441,210976
402,-28441,195347
403,-28441,195347
404,-28441,195347
405,-28441,195347
406,-28559,195347
407,-28677,195347
408,-28691,195347
409,-28691,195347
410,-28691,195250
411,-28691,195060
412,-28691,194933
413,-28691,194806
414,-66179,194679
415,-66179,194552
416,-66179,194437
417,-66179,194437
418,-66179,194437
419,-66179,194437
420,-66179,194437
421,-66179,194437
422,-66179,194437
423,-66276,194437
424,-66373,194381
425,-66469,194325
426,-66469,194269
427,-66469,194213
428,-66599,248525
429,-66649,210433
430,-66649,206434
431,-66649,202485
432,-66649,202485
433,-66776,202485
434,-66903,202485
435,-67030,202485
436,-67157,201985
437,-67284,201985
438,-67411,201985
439,-67419,201888
440,-67419,201805
441,-67419,201805
442,-69817,201805
443,-69817,201805
444,-69817,201805
445,-69817,201805
446,-69817,201805
447,-69817,201805
448,-69817,201805
449,-69817,201675
450,-69817,265353
451,-69817,214563
452,-69817,198004
453,-69817,197504
454,-69817,197504
455,-69817,197504
456,-69817,197407
457,-69817,197310
458,-69817,197213
459,-69817,197116
460,-69817,197019
461,-69817,196844
462,-69817,196844
463,-69817,196844
464,-69817,196844
465,-69817,196844
466,-69817,196714
467,-69817,196584
468,-69817,195954
469,-69817,195694
470,-69817,195454
471,-69817,195324
472,-72253,195234
473,-72253,195234
474,-72253,195234
475,-72253,195234
476,-72253,195234
477,-72253,195234
478,-72253,195234
479,-72253,195107
480,-72253,194924
481,-72253,194782
482,-72253,194726
483,-72253,194670
484,-72350,194487
485,-72447,194304
486,-72544,194121
487,-72641,193956
488,-72738,193707
489,-72835,193483
490,-72932,193334
491,-73029,192834
492,-73043,192834
493,-73043,192834
494,-73043,192834
495,-73043,192834
496,-73043,192834
497,-73043,192834
498,-73043,192834
499,-73043,192834
500,-73043,192778
501,-73043,300579
502,-73043,260926
503,-73043,252801
504,-73043,252732
505,-73043,252702
506,-73043,252702
507,-73043,252202
508,-73043,252008
509,-73043,251982
510,27853,251982
511,27853,251982
512,27853,251982
513,27853,251982
514,27853,251982
515,27853,251982
516,27853,251982
517,27853,275006
518,27853,265832
519,27853,262219
520,27853,246921
521,27853,246921
522,27853,246921
523,27853,246921
524,27853,246921
525,27853,318077
526,27853,268925
527,26245,268925
528,26245,268751
529,26245,268613
530,26245,268557
531,23913,268501
532,23913,268445
533,23913,268389
534,23913,268333
535,23913,268180
536,23913,268051
537,23913,267995
538,23913,267939
539,23913,267775
540,23786,267665
541,23659,267557
542,23532,266949
543,23405,266841
544,23278,266825
545,23151,266825
546,23024,266825
547,22953,266825
548,22953,266825
549,22953,266325
550,22953,266255
551,22953,266255
552,22953,266255
553,22953,266158
554,22953,265964
555,22953,265770
556,22953,265576
557,22953,265382
558,22953,265260
559,22953,265036
560,22953,264818
561,22953,264627
562,22953,264495
563,22953,264365
564,22953,264235
565,22953,263605
566,22953,263475
567,22953,263345
568,22953,263325
569,22953,263325
570,22953,263325
571,22953,263325
572,22953,263325
573,22953,263325
574,22953,263325
575,22953,263325
576,22953,263325
577,22953,329303
578,22953,299871
579,22953,299871
580,22953,299871
581,22953,299871
582,22953,299871
583,22953,366427
584,22953,305769
585,22953,296595
586,22953,296498
587,22953,296405
588,22953,296405
589,22953,296405
590,22953,296308
591,22953,296305
592,22953,296208
593,22953,296111
594,22953,295948
595,22953,295851
596,22953,295754
597,22953,295705
598,22953,295705
599,22953,295705
600,22953,295705
601,22953,295705
602,22953,295705
603,22953,295705
604,22953,295705
605,22953,295608
606,22953,295545
607,22953,295448
608,22953,295405
609,22953,295405
610,22953,295405
611,22953,295405
612,22953,295405
613,22953,295405
614,22953,295405
615,22674,295405
616,22674,295405
617,22674,295405
618,22674,295405
619,22674,335373
620,22674,310951
621,22674,308652
622,22674,308652
623,22674,308652
624,22674,308152
625,22674,308152
626,140155,308152
627,140155,308022
628,140155,307795
629,140155,307692
630,140155,307692
631,140155,307692
632,140155,307692
633,140155,307692
634,140155,307692
635,140155,307692
636,140155,307692
637,140155,307692
638,140155,306692
639,140155,306692
640,140155,306682
641,140155,306682
642,140155,306682
643,140155,306682
644,140155,306682
645,140155,306682
646,140155,306682
647,140155,306682
648,140058,306682
649,139961,306682
650,139864,306682
651,139767,306682
652,139670,306682
653,139573,306682
654,139476,306585
655,139379,306391
656,139282,306197
657,139205,306054
658,139205,305860
659,139205,305666
660,139205,304972
661,139205,407074
662,139205,366745
663,139205,354078
664,139205,354022
665,139205,353839
666,139205,353656
667,139205,353594
668,139205,353560
669,139205,353560
670,139205,353560
671,139205,353560
672,139205,353463
673,139205,353450
674,139205,353450
675,139205,353450
676,139205,353450
677,139205,353450
678,139205,353320
679,139205,353260
680,136721,353163
681,136721,353066
682,136721,352969
683,136721,352880
684,136721,352880
685,136721,352880
686,136721,395555
687,136721,346969
688,136721,340868
689,136721,340868
690,136721,340868
691,136721,340768
692,136721,340768
693,136721,340768
694,136721,340768
695,136721,340768
696,136721,340671
697,136721,340628
698,136721,382536
699,136721,344238
700,136721,338247
701,136721,322949
702,136721,322255
703,136721,322061
704,136721,321898
705,132873,321869
706,132873,321869
707,132873,321869
708,132873,321869
709,132873,321869
710,132873,321772
711,132873,321675
712,132873,321578
713,132873,321481
714,132873,321479
715,132873,321479
716,132873,321479
717,132873,321349
718,132873,321239
719,132873,321239
720,132873,320739
721,132873,320739
722,132873,320739
723,132873,320739
724,132873,320515
725,132873,320291
726,130620,320148
727,130620,320099
728,130620,320099
729,130620,320099
730,130620,399629
731,130620,372378
732,130620,366694
733,130620,366437
734,130620,366437
735,130620,366437
736,130620,366437
737,130620,365937
738,130620,365840
739,130620,365757
740,130620,365649
741,130620,365444
742,130620,365239
743,130620,365115
744,130620,365007
745,130620,364399
746,130620,364199
747,130620,364091
748,130620,364077
749,130620,364077
750,130620,364077
751,130620,364077
752,130620,363980
753,130620,363883
754,130620,443532
755,130620,433942
756,130620,433679
757,130620,433571
758,130620,433463
759,130620,433312
760,130620,433215
761,130620,433199
762,130620,433199
763,130620,433199
764,130620,433081
765,130620,433019
766,130620,433019
767,130620,433019
768,130620,432411
769,130620,432303
770,130523,432299
771,130426,431799
772,130329,431799
773,130232,431691
774,130135,431583
775,130038,431579
776,129941,431579
777,129844,431579
778,129747,431579
779,129660,431489
780,129660,431489
781,129660,431489
782,129660,431489
783,129660,431489
784,129660,431489
785,129660,431489
786,129660,431489
787,129660,431392
788,129660,430849
789,129660,524608
790,129660,509721
791,129660,507842
792,129660,492067
793,129660,491332
794,129660,491145
795,129660,491037
796,129660,490975
797,129660,490975
798,128036,490975
799,128036,490975
800,128036,490751
801,128036,490565
802,128036,490468
803,128036,490371
804,128036,490315
805,128036,490315
806,128036,490315
807,128036,490207
808,128036,490195
809,115510,490195
810,115510,490195
811,115510,490195
812,115510,490195
813,115510,490195
814,115510,490195
815,115510,490195
816,115510,490195
817,115510,490195
818,115510,490195
819,115510,490195
820,115510,534848
821,115510,482785
822,115510,479172
823,115510,479172
824,115510,524351
825,115510,498907
826,115510,498907
827,115510,489733
828,115510,486120
829,115510,486023
830,115510,485930
831,115510,499083
832,115510,445142
833,115510,441197
834,115510,441100
835,115510,441003
836,115510,440904
837,115510,440807
838,115510,440741
839,115510,440741
840,115510,440741
841,115510,440741
842,115510,440741
843,115510,440644
844,115510,440547
845,115510,440450
846,115510,440381
847,115510,440381
848,115510,440381
849,115510,439881
850,115510,439881
851,115510,439881
852,115510,439881
853,115510,439784
854,115510,439590
855,115510,439467
856,114028,439370
857,114028,439146
858,114028,438946
859,114028,438849
860,114028,438696
861,114028,438639
862,114028,437975
863,114028,437811
864,114028,437647
865,114028,437483
866,114028,437319
867,114028,437201
868,114028,437201
869,114028,437104
870,114028,436881
871,114028,436671
872,114028,436541
873,114028,436411
874,114028,436281
875,114028,435651
876,114028,435601
877,114028,435601
878,114028,435601
879,114028,435601
880,113972,435601
881,113916,435601
882,113860,435601
883,113804,435601
884,113748,435601
885,113692,435601
886,113636,435601
887,113580,435601
888,113524,435601
889,113468,435601
890,113412,435601
891,113356,435601
892,113300,435601
893,113244,435601
894,113188,513473
895,113132,513473
896,113078,513376
897,113078,513279
898,113078,513273
899,113078,513273
900,113078,513273
901,113078,513273
902,113078,513273
903,113078,513273
904,113078,513273
905,113078,513273
906,113078,513273
907,113078,513273
908,113078,513273
909,113078,513273
910,113078,513273
911,113078,513273
912,113078,513273
913,113078,513273
914,113078,513273
915,113078,597812
916,113078,597812
917,113078,597812
918,113078,597812
919,113078,597812
920,113078,597812
921,113078,597812
922,113078,597812
923,113078,597812
924,113078,597812
925,113078,657500
926,113078,657500
927,113078,657500
928,113078,657500
929,113078,657500
930,113078,657500
931,113078,657500
932,113078,657500
933,113078,657500
934,113078,657500
935,113078,657500
936,113078,657500
937,113078,657500
938,113078,657500
939,113078,657500
940,113078,657500
941,113078,657500
942,113078,657500
943,113078,657500
944,113078,657500
945,113078,657500
946,113078,657500
947,113078,657500
948,113078,657500
949,113078,657500
950,113078,657500
951,113078,657500
952,113078,657500
953,113078,657500
954,113078,657500
955,113078,657500
956,113078,657500
957,88200,657500
958,88200,657500
959,88200,657500
960,88200,657500
961,88200,657500
962,88200,657500
963,186330,657500
964,186330,657500
965,186330,657500
966,186330,657500
