Step,BathTUB,Flisvos-2016
877,-490075,877849
878,-490075,877849
879,-490075,877849
880,-490075,877849
881,-490075,877849
882,-490075,877849
883,-490075,877849
884,-490075,877705
885,-490185,877679
886,-490235,900832
887,-490235,891754
888,-490235,887956
889,-490235,885429
890,-490235,885429
891,-490235,885429
892,-490235,885429
893,-490235,885429
894,-490235,885429
895,-490235,885429
896,-490235,885429
897,-490235,955336
898,-490235,955290
899,-490235,955290
900,-490235,955290
901,-490235,955290
902,-490235,955290
903,-490235,955290
904,-490235,955290
905,-490235,979170
906,-490235,979170
907,-490235,979051
908,-490235,978990
909,-490235,978990
910,-490235,978846
911,-490235,978702
912,-490235,978558
913,-490339,978414
914,-490443,978320
915,-490547,978320
916,-490651,978320
917,-490755,978320
918,-490859,978320
919,-490963,978320
920,-491067,978320
921,-491171,978320
922,-491235,978320
923,-491235,978320
924,-491235,978320
925,-491235,978320
926,-491235,978176
927,-491235,978032
928,-491235,977888
929,-491235,977744
930,-491235,977600
931,-491235,977580
932,-491235,977580
933,-491235,977580
934,-491235,977580
935,-491235,977580
936,-491235,977580
937,-491235,977580
938,-491235,977580
939,-491235,977580
940,-491235,977580
941,-491235,977580
942,-491235,977580
943,-491235,977580
944,-491235,977580
945,-491235,977580
946,-491235,977580
947,-491235,977580
948,-491235,977580
949,-491235,977580
950,-491235,977580
951,-491235,977580
952,-491235,977580
953,-491235,977580
954,-491235,977580
955,-491235,977580
956,-491235,977580
957,-491235,977580
958,-491235,977580
959,-491235,977580
960,-505250,977580
961,-505250,977580
962,-505250,977580
963,-505250,977580
964,-505250,977580
965,-505250,977580
966,-505250,977580
967,-505250,977580
968,-505250,977580
969,-505250,977580
970,-505384,977580
971,-505518,977580
972,-505600,977580
973,-505600,977580
974,-505600,977580
975,-505600,977580
976,-505600,977580
977,-505600,977580
978,-505600,977580
979,-505600,977580
980,-505600,977580
981,-505600,977580
982,-505600,977580
983,-505600,977580
984,-505600,977580
985,-505600,977580
986,-505600,977580
987,-505600,977580
988,-505600,977580
989,-505600,977580
990,-505600,977580
991,-505600,977580
992,-508096,977580
993,-508096,977580
994,-508096,977580
995,-508096,977580
996,-508096,977580
997,-508096,977580
998,-508096,977580
999,-508096,977580
1000,-508096,977580
