Step,BathTUB,Flisvos-2016
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,50000
9,50000,50000
10,50000,840
11,50000,556
12,50000,-13559
13,50000,-13559
14,50000,-13559
15,50000,-13559
16,13053,-50506
17,13053,-50790
18,13053,-50790
19,13053,-53980
20,13053,-66453
21,-22877,-70664
22,-22877,-70808
23,-22877,-70954
24,-22877,-89954
25,-22877,-89954
26,-22877,-89954
27,-36892,-89954
28,-36892,-90088
29,-36892,-90228
30,-39519,-128418
31,-57626,-128552
32,-57917,-128692
33,-57917,-128960
34,-94131,-129106
35,-94131,-129128
36,-94265,-129128
37,-94331,-129248
38,-94331,-129248
39,-94331,-129248
40,-94331,-129248
41,-97693,-129248
42,-134884,-129352
43,-135030,-34372
44,-135164,-124268
45,-135298,-124356
46,-135410,-124356
47,-53857,-124356
48,-53867,-124923
49,-53867,-124923
50,-53867,-124923
51,-53867,-125033
52,-60796,-125263
53,-60796,-125373
54,-60796,-125483
55,-60796,-125523
56,-77048,-125523
57,-77152,-125523
58,-77256,-125523
59,-79227,-125523
60,-79361,-125657
61,-79443,-125763
62,-79443,-126007
63,-79733,-126490
64,-79837,-126851
65,-79941,-127015
66,-79983,-127149
67,-79983,-127223
68,-79983,-127223
69,-79983,-127223
70,-80117,-127223
71,-80213,-127223
72,-80213,-127223
73,-80213,-127223
74,-80213,-127223
75,-80213,-127223
76,-66141,-127223
77,-66141,-127223
78,-66424,-127223
79,-66424,-127723
80,-66424,-127723
81,-66424,-127723
82,-66424,-127723
83,-66424,-127723
84,-66558,-127723
85,-78887,-127723
86,-78969,-127723
87,-78969,-127723
88,-78969,-127867
89,-78969,-127973
90,-78969,-127973
91,-78969,-127973
92,-78969,-127973
93,-82767,-128473
94,-82767,-128473
95,-82767,-128473
96,-82767,-128607
97,-82767,-128741
98,-82767,-128875
99,-82767,-129009
100,-83021,-129643
101,-83237,-129777
102,-83347,-129988
103,-78107,-130103
104,-78217,-130218
105,-78327,-130223
106,-78437,-130223
107,-78547,-130223
108,-78577,-130223
109,-78577,-130223
110,-78577,-130223
111,-78577,-130223
112,-78577,-130223
113,-78577,-130223
114,-78577,-130223
115,-78577,-130223
116,-78577,-130223
117,-78577,-130223
118,-81163,-130223
119,-81273,-130223
120,-81353,-130223
121,-81353,-130223
122,-81353,-130338
123,-81353,-130453
124,-81353,-130568
125,-81353,-130633
126,-81353,-102193
127,-81353,-119769
128,-81353,-209882
129,-81353,-209882
130,-81353,-210016
131,-81353,-210150
132,-81353,-210172
133,-81353,-210172
134,-81353,-210172
135,-81353,-210172
136,-81353,-210172
137,-81353,-210172
138,-81353,-210172
139,-81353,-210172
140,-81353,-210172
141,-81353,-210172
142,-81353,-210172
143,-81353,-210172
144,-81353,-114796
145,-81353,-169008
146,-81353,-171535
147,-81353,-171535
148,-81353,-171535
149,-81353,-171535
150,-81353,-171535
151,-81353,-171635
152,-81353,-171635
153,-81353,-171635
154,-81353,-171635
155,-81353,-27512
156,-81353,-130367
157,-81353,-142562
158,-81353,-142562
159,-81353,-142562
160,-81353,-142562
161,-81353,-142696
162,-81353,-143440
163,-81353,-143818
164,-81353,-144196
165,-81353,-144669
166,-81353,-145138
167,-81353,-145487
168,-81353,-145662
169,-81353,-145772
170,-81353,-145926
171,-81353,-146022
172,-81353,-146022
173,-81353,-146022
174,-81353,-146522
175,-81353,-146522
176,-81353,-146522
177,-81353,-146522
178,-81353,-146522
179,-81353,-146800
180,-81353,-147062
181,-81353,-147062
182,-81353,-147062
183,-81353,-147062
184,-81353,-147062
185,-81353,-147062
186,-81353,-147062
187,-81353,-147062
188,-81353,-147062
189,-91627,-147062
190,-91627,-147062
191,-91627,-147196
192,-91627,-147330
193,-91627,-147464
194,-91627,-147598
195,-91731,-147732
196,-91835,-147752
197,-91847,-147752
198,-91847,-147752
199,-91847,-147752
200,-91847,-147752
201,-91847,-147752
202,-91847,-148252
203,-91847,-148252
204,-91847,-148386
205,-91847,25166
206,-91847,-13805
207,-91847,-22883
208,-91847,-25410
209,-91957,-25410
210,-92067,-25410
211,-92311,-25525
212,-92455,-25764
213,-92599,-26518
214,-101821,-26550
215,-101965,-26550
216,-102109,-26550
217,-102235,-26550
218,-102235,-26550
219,-102235,132541
220,-102235,102239
221,-102379,88224
222,-102445,88224
223,-102445,88224
224,-102445,88224
225,-102445,88224
226,-102445,88224
227,-102445,88104
228,-102445,87970
229,-121445,87964
230,-121445,87360
231,-121445,87256
232,-121445,87194
233,-121445,87194
234,-121445,86694
235,-121445,86694
236,-121579,86684
237,-121713,86550
238,-121847,85954
239,-126303,85954
240,-126437,85954
241,-126571,85954
242,-126705,85954
243,-126727,85954
244,-126727,85954
245,-126727,85954
246,-126727,85954
247,-126727,85954
248,-126935,85954
249,-127143,85954
250,862,85844
251,824,85774
252,824,85274
253,824,85274
254,824,176318
255,-1652,158107
256,-1652,157963
257,-1652,157779
258,-1652,157635
259,-1652,157491
260,-1652,157353
261,-1652,157219
262,-1652,156975
263,-1652,156841
264,-1652,156707
265,-1652,156657
266,-15163,156547
267,-15378,156343
268,-15523,156183
269,-15628,156087
270,-15733,155819
271,-15838,238824
272,-15943,190798
273,-16048,186732
274,-16153,186464
275,-16258,186312
276,-16303,186312
277,-16303,186312
278,-16303,186312
279,-16303,186312
280,-16303,186312
281,-28516,186312
282,-28516,186312
283,-28516,186312
284,-28516,186202
285,-28516,186142
286,-28516,186037
287,-28516,185822
288,-28516,185652
289,-33155,185542
290,-33155,185492
291,-33155,185492
292,-33155,185492
293,-33155,185388
294,-33270,185284
295,-33385,185262
296,-33385,262147
297,-33385,158887
298,-33645,148613
299,-33645,148613
300,-33645,148613
301,-33645,148613
302,-33645,148613
303,-52645,148479
304,-52645,148453
305,-52645,148453
306,-52645,148453
307,-52645,148453
308,-52645,148453
309,-52645,148453
310,-52645,148453
311,-52645,148453
312,-53051,225325
313,-53161,217392
314,-53231,203888
315,-1072,203708
316,-1072,203708
317,-1072,203708
318,-1072,203708
319,-1072,203708
320,-1072,203208
321,-1072,203098
322,-1072,202988
323,-1216,202928
324,-1216,202928
325,-1322,202928
326,-1322,202794
327,-1322,202660
328,-1322,202526
329,-1322,202392
330,-1456,202338
331,-1590,202338
332,-1724,202338
333,-1858,202338
334,-1992,202338
335,-2126,202228
336,-2142,202198
337,-2142,202198
338,-2142,202198
339,-2142,202198
340,-2142,372920
341,-2142,347759
342,-2142,245186
343,-2142,245186
344,-2142,245186
345,-2142,245082
346,-91620,244478
347,-91620,244416
348,-91620,244416
349,-91707,244416
350,-91794,244416
351,-91840,244416
352,-91840,244272
353,-91840,244128
354,-91840,243984
355,-91840,243840
356,-91840,243562
357,-91840,243408
358,-91840,275190
359,-91840,240115
360,-91840,237454
361,-91840,237344
362,-91940,237344
363,-91940,237344
364,-91940,237344
365,-91940,237234
366,-91940,237174
367,-91940,236674
368,-95738,236674
369,-95738,236674
370,-95738,236674
371,-95738,236674
372,-95738,236674
373,-95738,236674
374,-95738,236674
375,-95738,236674
376,-95738,236030
377,-95738,235934
378,-95738,235830
379,-95738,235616
380,-95738,235402
381,-98370,235258
382,-98370,235154
383,-98370,235050
384,-98370,234946
385,-98370,234944
386,-98485,234944
387,-98590,234444
388,-98590,234444
389,-98695,234444
390,-98800,234444
391,-98905,233325
392,-99010,233214
393,-99115,233214
394,-99220,265468
395,-99325,249572
396,-99540,235697
397,-99690,235697
398,-99800,235697
399,-99910,235697
400,-100020,235593
401,-100050,235577
402,-100050,235577
403,-102682,300033
404,-102682,280210
405,-102682,280106
406,-102682,279940
407,-102682,279840
408,-102682,279840
409,-102682,279840
410,-102682,279840
411,-102682,279696
412,-102682,279670
413,-102682,485718
414,-102682,485435
415,-102787,482795
416,-102892,470238
417,-102922,469878
418,-102922,469746
419,-102922,469642
420,-102922,469538
421,-102922,469434
422,-102922,469386
423,-102922,469386
424,-102922,469386
425,-102922,469386
426,-102922,469386
427,-102922,469267
428,-102922,469148
429,-102922,469029
430,-102922,469006
431,-103052,469006
432,-103052,469006
433,-103052,467101
434,-103052,467021
435,-103052,467021
436,-103052,467021
437,-103052,466911
438,-103052,466831
439,-103052,466727
440,-103052,466641
441,-103052,466641
442,-117067,466036
443,-117067,465931
444,-117067,465861
445,-117067,465861
446,-118862,465861
447,-118862,465861
448,-118862,465861
449,-118862,465861
450,-118862,499356
451,-118862,495991
452,-118862,488742
453,-118862,475097
454,-118862,474853
455,-118981,474719
456,-119186,474699
457,-119290,474699
458,-119394,523377
459,-119498,515548
460,-119602,502037
461,-119612,502037
462,-119612,501537
463,-119612,501537
464,-119612,501537
465,-119612,501537
466,-119612,501537
467,-119612,501037
468,-119612,501037
469,-119612,500977
470,-119612,500867
471,-119612,500757
472,-119612,500647
473,-119612,500537
474,-119612,500393
475,-119612,500289
476,-119612,499685
477,-119612,499466
478,-119612,499347
479,-119612,499232
480,-119612,499117
481,-119612,499002
482,-119612,495697
483,-119717,482136
484,-119822,482136
485,-119862,482136
486,-119862,482136
487,-119862,482136
488,-119862,482136
489,-119862,482136
490,-119862,482136
491,-119862,482136
492,-119862,482136
493,-119862,482136
494,-119862,482136
495,-119862,482136
496,-119862,482136
497,-119862,481492
498,-119862,480733
499,-119862,480492
500,-119992,480386
501,-119992,480386
502,-119992,480386
503,-122519,480386
504,-122519,480386
505,-122519,479886
506,-122519,479886
507,-122519,479806
508,-122519,479806
509,-122519,479806
510,-122519,479806
511,-122519,479806
512,-122519,479806
513,-122519,516807
514,-122519,513617
515,-129448,504256
516,-129448,504256
517,-129448,504256
518,-129448,504256
519,-129448,504256
520,-129448,504122
521,-129448,503942
522,-129448,503846
523,-129448,503846
524,-129448,503846
525,-129567,503846
526,-129668,503242
527,-129668,528409
528,-129668,489236
529,-129668,489236
530,-129668,489236
531,-129668,489126
532,-129668,489016
533,-129668,488986
534,-129668,488986
535,-129668,488856
536,-129668,488856
537,-129668,488856
538,-129668,488856
539,-129668,488856
540,-129668,488726
541,-129668,488726
542,-129668,488726
543,-129668,488592
544,-129668,488496
545,-129668,488496
546,-129668,488377
547,-129668,488153
548,-129802,487785
549,-129936,487523
550,-130070,487169
551,-130204,486840
552,-130338,486746
553,-130472,486612
554,-130498,486586
555,-130498,486586
556,-130498,525707
557,-130498,513367
558,-130498,508728
559,-130498,508728
560,-130498,508728
561,-130498,508728
562,-130498,508728
563,-130498,508728
564,-130498,508598
565,-130498,508598
566,-130498,508598
567,-130498,565965
568,-130498,551203
569,-130498,540929
570,-130498,540929
571,-130498,540929
572,-130498,540795
573,-130498,540699
574,-130498,540565
575,-130498,540359
576,-130498,540359
577,-130498,540359
578,-130498,560482
579,-130498,536843
580,-130498,534211
581,-130498,445149
582,-130498,445149
583,-130498,445015
584,-130498,444989
585,-130498,444989
586,-166135,444355
587,-166135,444221
588,-166135,444219
589,-166135,471572
590,-166135,451670
591,-166135,368602
592,-166135,368324
593,-166135,368116
594,-166135,368012
595,-201579,367908
596,-201579,367804
597,-201579,367700
598,-201579,367566
599,-201579,367566
600,-201579,367566
601,-201579,367566
602,-201579,367566
603,-201579,367066
604,-201579,367066
605,-201579,408525
606,-201579,370322
607,-201579,366208
608,-137633,366208
609,-137633,366208
610,-137633,530486
611,-137633,530219
612,-137633,523051
613,-137633,522640
614,-137633,522640
615,-137633,522640
616,-137633,522640
617,-137633,522536
618,-137633,522168
619,-137633,521920
620,-137633,521804
621,-137633,521585
622,-137633,591026
623,-137633,571768
624,-137633,533568
625,-137633,533141
626,-137633,520312
627,-137633,506163
628,-137633,506029
629,-137633,505963
630,-137633,505963
631,-137633,505963
632,-137633,505963
633,-137633,505963
634,-137633,505963
635,-137633,505963
636,-137633,505963
637,-137633,505963
638,-137633,505819
639,-137633,505675
640,-137633,505387
641,-137633,505099
642,-137633,504811
643,-137633,504523
644,-137633,504243
645,-137633,503979
646,-137633,503835
647,-137633,503773
648,-137633,503773
649,-137633,503273
650,-137633,503273
651,-137633,503273
652,-137633,503273
653,-137633,503035
654,-137633,502797
655,-137633,502631
656,-137633,502113
657,-137633,502113
658,-137633,502113
659,-137633,502113
660,-137633,502113
661,-137633,502113
662,-137633,502113
663,-137633,502113
664,-137633,502113
665,-137633,502113
666,-137633,502113
667,-137633,502113
668,-137633,502113
669,-137633,502113
670,-137633,502113
671,-137633,502113
672,-137633,638344
673,-137633,637973
674,-137633,607567
675,-137633,607463
676,-137633,617822
677,-137633,611332
678,-137633,597537
679,-137633,597537
680,-137633,597447
681,-137633,597447
682,-137633,597447
683,-137633,597447
684,-137633,597447
685,-137633,597447
686,-137633,597447
687,-137633,597447
688,-137633,597447
689,-137633,597447
690,-137633,597313
691,-137633,597179
692,-137633,597157
693,-137633,597023
694,-137633,596755
695,-137633,596489
696,-137633,596437
697,-137633,767889
698,-137633,748810
699,-137633,748810
700,-137633,748810
701,-137633,748810
702,-137633,748700
703,-137633,748590
704,-137633,748370
705,-137633,748240
706,-137633,748190
707,-137633,748190
708,-137633,748190
709,-137633,748046
710,-137633,747960
711,-137633,747960
712,-137633,747826
713,-137633,747730
714,-137633,747730
715,-137633,747730
716,-137633,747730
717,-137633,747730
718,-137633,747730
719,-137633,747730
720,-137633,747730
721,-137633,747626
722,-137633,747522
723,-137633,747418
724,-137633,747209
725,-137633,747000
726,-137633,746712
727,-137633,746562
728,-137633,746560
729,-137633,746560
730,-137633,746060
731,-137633,745450
732,-137633,744870
733,-137633,744870
734,-137633,744870
735,-137633,744870
736,-137633,744870
737,-137633,744870
738,-137633,791757
739,-137633,786724
740,-137633,786724
741,-137633,786724
742,-137633,786724
743,-137633,786724
744,-137633,786724
745,-137633,786724
746,-137633,786724
747,-137633,815596
748,-137633,809745
749,-137633,809419
750,-137633,795908
751,-137633,716069
752,-137633,716069
753,-137743,716069
754,-137763,716069
755,-137763,715965
756,-137763,715861
757,-137763,715757
758,-231286,715653
759,-320764,715549
760,-320764,715445
761,-320868,715341
762,-330050,715237
763,-330112,715133
764,-330216,715119
765,-332847,715119
766,-332951,715119
767,-333183,715009
768,-333427,714899
769,-333669,714789
770,-333769,714585
771,-334186,714441
772,-341375,714359
773,-341519,714359
774,-341561,714359
775,-341561,713740
776,-366278,713517
777,-366383,713411
778,-366488,713307
779,-366860,713203
780,-366965,713099
781,-367174,712995
782,-367335,712891
783,-367440,712879
784,-367545,712879
785,-367650,712879
786,-367695,712879
787,-367695,712879
788,-405759,712769
789,-405759,712769
790,-405759,720513
791,-405869,705087
792,-424136,702455
793,-424196,702455
794,-424311,702455
795,-424426,702455
796,-433729,702455
797,-433954,702385
798,-434089,702385
799,-434204,702385
800,-434319,702385
801,-434725,702385
802,-434725,857286
803,-434725,856743
804,-434830,847665
805,-434935,843867
806,-435040,843867
807,-435145,843763
808,-435250,843659
809,-435355,843555
810,-435460,843451
811,-435565,843347
812,-435635,843243
813,-435769,843139
814,-435805,842913
815,-435910,842779
816,-436305,842647
817,-436410,842647
818,-436515,842647
819,-436545,842647
820,-436545,842647
821,-436545,842537
822,-446819,842308
823,-446819,842087
824,-446819,841372
825,-446819,841217
826,-446819,840978
827,-446929,840769
828,-447039,840657
829,-447139,840657
830,-447139,840657
831,-447139,840657
832,-447139,840657
833,-447139,840657
834,-447139,840567
835,-447139,840567
836,-447139,840567
837,-447139,840567
838,-447273,840433
839,-447329,840299
840,-447329,840165
841,-447329,840031
842,-447329,839753
843,-447329,839569
844,-447329,839425
845,-447329,839281
846,-447329,839137
847,-465436,839037
848,-465436,839037
849,-465436,839037
850,-465436,839037
851,-465436,839037
852,-465436,839037
853,-465436,868617
854,-475710,861688
855,-475710,848177
856,-475710,768338
857,-475710,768338
858,-475710,768338
859,-475710,768338
860,-475710,768338
861,-475710,768338
862,-475710,768338
863,-475710,768338
864,-475710,768338
865,-475710,768338
866,-475854,768338
867,-475998,768338
868,-490075,768338
869,-490075,768338
870,-490075,768338
871,-490075,768194
872,-490075,768050
873,-490075,925091
874,-490075,925091
875,-490075,889454
876,-490075,880376
