Step,BathTUB,lampe
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,50000
9,50000,50000
10,50000,50000
11,49119,50000
12,49119,50000
13,46409,50000
14,46409,50000
15,46409,50000
16,46134,49705
17,46134,48871
18,45848,48781
19,45848,48781
20,45848,48493
21,45848,48493
22,45563,48111
23,44554,47763
24,44522,47710
25,44383,47710
26,37099,47710
27,37099,47710
28,36943,47638
29,36787,47566
30,36542,47530
31,36154,47530
32,34998,46768
33,34012,46640
34,33910,46538
35,33910,46538
36,32370,46538
37,32370,46538
38,32370,46538
39,31542,46538
40,31196,46538
41,31124,46449
42,31052,46310
43,30852,46252
44,23485,46194
45,23376,46148
46,23355,46148
47,23355,46148
48,23080,45486
49,23080,45444
50,23080,45444
51,23080,45153
52,23080,45153
53,23080,45153
54,23080,45153
55,23080,45153
56,23080,45153
57,23080,43917
58,22991,43869
59,22902,43869
60,22870,43869
61,22584,43741
62,22584,43600
63,22584,43539
64,22584,43539
65,22584,43450
66,22584,43233
67,22584,43016
68,21808,42855
69,21808,42799
70,21680,42741
71,21588,42392
72,25427,42334
73,25427,42278
74,25427,42278
75,39264,42278
76,39264,42150
77,39264,42108
78,39264,42108
79,39175,42108
80,39104,42108
81,39104,41941
82,39104,41414
83,39104,41247
84,39104,41167
85,39104,41139
86,39104,41139
87,39104,41139
88,39104,41139
89,39104,41139
90,39104,41139
91,38831,41139
92,38692,40852
93,38631,40852
94,38631,40852
95,38542,40724
96,38453,40662
97,38364,40662
98,38275,40662
99,38186,40662
100,37969,40573
101,44588,40305
102,44499,40164
103,44410,40075
104,44341,40032
105,44341,40032
106,44341,40032
107,44341,40032
108,44341,40032
109,44341,40032
110,44341,40032
111,44341,39502
112,44341,39502
113,44202,39502
114,44081,39502
115,44081,39502
116,52273,39502
117,52273,39502
118,52273,39374
119,52145,39342
120,52017,39214
121,51889,38891
122,51761,38891
123,51633,38891
124,51505,38891
125,51377,38891
126,51234,38891
127,49508,38891
128,49496,38891
129,49496,38891
130,49496,38891
131,49496,38891
132,49496,38891
133,49496,38891
134,49496,38891
135,49496,38891
136,49496,38802
137,49496,38713
138,49496,38624
139,49496,38591
140,49223,38463
141,49223,38283
142,49223,38231
143,49223,38231
144,48956,38231
145,48956,38231
146,48956,38231
147,48956,38231
148,48956,38103
149,48956,37975
150,48956,37847
151,42455,37711
152,42455,37711
153,42327,37711
154,42235,37711
155,42235,37711
156,42235,37711
157,42235,37711
158,42235,37711
159,42235,37711
160,42235,37711
161,42235,37621
162,42235,37493
163,42107,37401
164,41979,37401
165,41851,37401
166,41723,37401
167,41665,37401
168,41665,37401
169,41665,37401
170,41665,37401
171,41665,37311
172,41665,37311
173,41665,37311
174,41665,37311
175,41665,37311
176,41665,37311
177,41665,37311
178,41665,37311
179,41665,37311
180,41665,37311
181,41665,37311
182,41665,37311
183,41665,36444
184,41665,35902
185,41665,35902
186,41665,35902
187,41665,35902
188,41665,35541
189,41665,35469
190,41665,35443
191,41665,35443
192,41665,35315
193,41665,35263
194,41665,35135
195,41665,35083
196,41665,34955
197,41665,34827
198,41665,34675
199,41665,34547
200,41665,34419
201,41665,34373
202,41665,34373
203,41665,34373
204,41665,34373
205,41665,34373
206,41665,34373
207,41665,34373
208,41665,34245
209,41665,34203
210,41665,34203
211,41665,34203
212,41665,34203
213,41665,34203
214,41665,34203
215,41665,33932
216,41665,33932
217,41665,33932
218,41665,33932
219,41665,33932
220,41665,33804
221,41370,33676
222,41370,33548
223,41370,33532
224,41370,33532
225,41370,33532
226,41370,33532
227,41370,33532
228,41370,33532
229,41370,33532
230,41370,33532
231,41370,33404
232,41370,33352
233,41370,33352
234,41370,33352
235,41370,33352
236,41370,33352
237,41370,33352
238,34986,33352
239,34986,33352
240,34858,33352
241,34730,33352
242,34602,33352
243,34474,33352
244,34346,33352
245,34296,33352
246,34187,33352
247,34078,33352
248,34076,33224
249,34076,33096
250,34076,32968
251,34076,32902
252,34076,32902
253,34076,32902
254,34076,32902
255,34076,32902
256,34076,32902
257,34076,32902
258,34076,32902
259,33967,32902
260,33858,32902
261,33749,32902
262,33640,32902
263,33531,32902
264,33422,32902
265,33313,32902
266,30117,32902
267,30008,32902
268,29921,32902
269,29843,32902
270,29829,32902
271,29829,41463
272,29829,41463
273,29829,41463
274,68860,41463
275,68860,41463
276,68860,40885
277,68860,40885
278,68860,40885
279,68860,40757
280,68860,40705
281,68860,40705
282,68860,40705
283,68860,40705
284,68860,40705
285,68860,40416
286,68860,40416
287,68860,40416
288,68860,40416
289,68860,40416
290,68593,40416
291,68593,40416
292,68593,40416
293,68593,40416
294,68593,40416
295,68465,40416
296,68106,40416
297,68106,40416
298,68106,40416
299,67826,40288
300,67826,40160
301,67826,40156
302,67826,40156
303,67826,40156
304,67826,40028
305,67826,39976
306,67826,39976
307,67826,39976
308,67826,39976
309,67826,39976
310,67826,39976
311,67826,39976
312,67826,39976
313,67826,39976
314,67826,39976
315,67826,39976
316,60613,39976
317,60613,44968
318,60613,44968
319,60613,44968
320,60613,44968
321,60613,44679
322,60485,44679
323,60311,44679
324,60239,44679
325,60167,44551
326,60095,44499
327,60023,44499
328,59951,44499
329,59879,44499
330,59807,44371
331,59735,43741
332,59663,43741
333,59663,43669
334,59663,43597
335,59663,43571
336,59663,43499
337,59663,43427
338,59663,43401
339,59663,43401
340,59383,43401
341,59383,43401
342,59383,43401
343,59383,43401
344,59383,43401
345,59383,43401
346,59383,43401
347,59311,43401
348,52956,43401
349,52900,43401
350,52900,43401
351,52900,43401
352,52900,43401
353,52900,43273
354,52900,43231
355,52900,43231
356,52900,43231
357,52900,43231
358,52900,43231
359,52900,43231
360,52900,43231
361,46320,43231
362,46320,43231
363,46320,43231
364,46248,43231
365,46176,43231
366,46104,43231
367,46032,43231
368,45960,43231
369,45888,43111
370,45816,43111
371,45744,42983
372,45672,42971
373,45600,42971
374,44715,42971
375,44643,42971
376,44597,42971
377,44525,42971
378,44453,42971
379,44397,42881
380,44397,42881
381,44397,42881
382,44397,42791
383,44397,42791
384,44397,42791
385,44397,42791
386,44106,42791
387,44106,42791
388,44106,42791
389,44106,42701
390,44106,42701
391,44106,42701
392,44106,42611
393,44106,42611
394,44106,42611
395,44106,42611
396,44106,42611
397,44106,42611
398,44106,42611
399,44106,42521
400,44106,42521
401,44106,42521
402,72180,42431
403,72180,42431
404,72180,42431
405,72180,42431
406,72180,42431
407,72180,42431
408,72180,42431
409,72180,42341
410,72180,42341
411,72180,42341
412,72180,42251
413,72180,42251
414,72180,42251
415,72180,42251
416,72180,42251
417,72180,42251
418,72180,42251
419,72180,42161
420,72180,42161
421,72180,42161
422,72180,42071
423,72180,42071
424,72180,42071
425,72180,42071
426,72180,42071
427,72180,42071
428,72180,42071
429,72180,41981
430,72180,41981
431,72180,41981
432,72180,41891
433,72180,41891
434,72180,41891
435,72108,41891
436,72036,41891
437,72036,41891
438,71964,41891
439,71892,41801
440,71820,41801
441,71748,41801
442,71676,41711
443,71604,41711
444,71532,41711
445,71460,41711
446,71388,41711
447,71316,41711
448,71244,41711
449,71200,41621
450,71200,41621
451,71200,41621
452,70658,41531
453,70658,41531
454,70580,41531
455,70502,41531
456,68879,41531
457,68879,41531
458,68879,41531
459,68879,41531
460,68879,41531
461,68879,41531
462,68879,41531
463,68879,41531
464,68588,41531
465,68588,41531
466,68588,41453
467,68588,41154
468,68588,40842
469,68588,40842
470,68588,40733
471,68588,40662
472,68588,40590
473,68588,40518
474,68588,39645
475,68588,39601
476,68588,39601
477,68588,39243
478,62305,39243
479,62305,39243
480,62305,39165
481,62305,39133
482,62233,39133
483,62161,39133
484,62089,38877
485,62085,38667
486,62085,38505
487,62085,38319
488,62085,38033
489,62085,37865
490,62085,37737
491,62085,37633
492,62085,37633
493,62085,37575
494,62085,37517
495,62085,37463
496,62085,37463
497,62085,37463
498,62085,37463
499,62085,37391
500,62085,37319
501,58841,37303
502,58841,37303
503,58841,37175
504,58841,37047
505,58841,36993
506,58713,36993
507,58661,36993
508,58661,36993
509,58661,36993
510,58661,36993
511,58661,36886
512,57790,36653
513,57790,36453
514,57790,36309
515,57790,36221
516,57790,36149
517,57790,36077
518,57790,36033
519,57790,36033
520,57790,36033
521,57790,36033
522,57790,36033
523,57790,36033
524,57790,36033
525,57790,36033
526,57790,34869
527,57662,34869
528,57534,34869
529,57406,34869
530,57278,34741
531,57150,34511
532,57050,34401
533,57050,34343
534,57050,34289
535,57050,34289
536,57050,34289
537,57050,34289
538,57050,34289
539,57050,34231
540,57050,34173
541,57050,34115
542,57050,34099
543,57050,34099
544,57050,34099
545,57050,34099
546,57050,34099
547,57050,34099
548,57050,34099
549,57050,34099
550,57050,34099
551,57050,34027
552,57050,33955
553,57050,33939
554,57050,33939
555,57050,33939
556,57050,33939
557,57050,33439
558,57050,33439
559,57050,33439
560,57050,33439
561,57050,33409
562,57050,33281
563,57050,33219
564,57050,33219
565,57050,33219
566,57050,33219
567,57050,33219
568,57050,33219
569,57050,33219
570,57050,33219
571,57050,33219
572,57050,33219
573,57050,33219
574,57050,33219
575,57050,33219
576,57050,33091
577,57050,32780
578,57050,32708
579,57050,32508
580,57050,32460
581,57050,32460
582,57050,32460
583,57050,32460
584,57050,31593
585,57050,31286
586,57050,30971
587,57050,30821
588,57050,30675
589,57050,30663
590,57050,29796
591,57050,29696
592,57050,29696
593,57050,29696
594,57050,29696
595,57050,29568
596,57050,29440
597,57050,29396
598,57050,29396
599,57050,29396
600,57050,29396
601,57050,29268
602,57050,29140
603,57050,29012
604,56771,28986
605,56771,28986
606,56771,28986
607,56771,28986
608,56771,28986
609,56771,28858
610,56771,28672
611,56771,28486
612,56771,28392
613,56771,28304
614,56771,28232
615,56771,28160
616,56771,28116
617,56771,28116
618,56771,28116
619,56643,28116
620,56515,28116
621,56387,28116
622,56259,27988
623,56131,27886
624,56003,27886
625,55941,27886
626,55941,27886
627,55941,27886
628,55941,27886
629,55941,27886
630,55941,27886
631,55941,27886
632,55941,27886
633,55941,27886
634,55941,27758
635,55941,27696
636,55941,27696
637,55941,27696
638,55941,27696
639,55941,27696
640,55941,27696
641,55941,27696
642,55941,27696
643,55941,27696
644,55941,27696
645,55941,27696
646,55941,27696
647,55941,27696
648,55941,27696
649,55941,27696
650,55941,27696
651,55941,27696
652,55941,27557
653,55941,26918
654,55941,26806
655,55941,26806
656,55941,26806
657,55941,26776
658,55941,26776
659,55941,26776
660,55941,26776
661,55941,26776
662,55941,26776
663,55941,26776
664,55941,26776
665,55941,26776
666,55941,26696
667,55941,26696
668,55941,26696
669,55941,26696
670,55941,26696
671,55941,26696
672,55941,26696
673,55941,26696
674,55941,26696
675,55941,26696
676,55941,26696
677,55941,26696
678,55941,26696
679,55941,26696
680,55941,26618
681,55941,26566
682,55941,26566
683,55941,26566
684,55941,26566
685,55941,26494
686,55941,26422
687,55941,26350
688,55941,26278
689,55941,26206
690,55941,26134
691,55941,26062
692,55941,25990
693,55941,25918
694,55941,25846
695,55941,25774
696,55941,25756
697,55941,25756
698,55941,25756
699,55941,25756
700,55941,25756
701,55941,25756
702,55941,25756
703,55941,25756
704,55941,25756
705,55941,25756
706,55941,25756
707,55941,25756
708,55941,25756
709,55941,25756
710,55941,25756
711,55941,25756
712,55941,25756
713,55941,25756
714,49557,25756
715,49557,25756
716,49557,25756
717,49557,25756
718,49557,25756
719,49557,25756
720,49557,25756
721,49557,25756
722,49557,25756
723,49557,25756
724,49557,25756
725,49557,25756
726,49303,25756
727,49303,25756
728,49303,25756
729,49303,39925
730,49175,39925
731,49047,39925
732,42636,39925
733,42508,39925
734,42380,39636
735,42252,39636
736,42052,39547
737,41876,38639
738,41804,38500
739,41800,38469
740,41800,38397
741,41711,38349
742,41622,38082
743,41533,37899
744,41500,37899
745,41500,37821
746,41500,37743
747,41500,37665
748,41500,37619
749,41500,37619
750,41500,37619
751,41500,37619
752,41500,37619
753,41500,37491
754,41500,37233
755,41500,37069
756,41500,36845
757,41372,36721
758,41330,36659
759,41330,36531
760,41330,36489
761,41330,36489
762,39685,36489
763,39685,36489
764,39685,36489
765,39685,36431
766,39685,35843
767,39685,35785
768,39685,35639
769,39685,35359
770,39685,35359
771,39685,35359
772,39685,35359
773,39685,35359
774,39685,35359
775,39685,35231
776,39685,35199
777,39596,34913
778,39507,34913
779,39418,34913
780,39385,34913
781,39296,34913
782,39207,34913
783,39175,34913
784,31404,34913
785,28974,34913
786,28974,34855
787,28974,34669
788,28974,34441
789,28974,34321
790,28974,34194
791,28974,34183
792,28974,34183
793,28974,34183
794,28688,34183
795,28688,34183
796,28688,34183
797,28688,34183
798,28688,34183
799,28688,34183
800,28688,34103
801,28688,34103
802,28688,33531
803,28688,33531
804,28688,33531
805,28688,33531
806,28688,33531
807,28688,33531
808,28688,33531
809,28688,33531
810,28688,33531
811,28688,33531
812,28688,33531
813,67978,33531
814,67978,33531
815,67978,33403
816,67978,33301
817,67978,33194
818,67978,33087
819,67978,33041
820,67978,33041
821,67978,33041
822,67978,33041
823,67978,33041
824,67978,33041
825,67978,33041
826,67978,33041
827,67978,33041
828,67978,33041
829,67978,33041
830,67978,33041
831,67978,33041
832,67978,33041
833,67978,33041
834,67978,33041
835,67978,33041
836,67978,33041
837,67978,33041
838,67978,32913
839,67978,32785
840,67978,32657
841,67978,32631
842,67850,32631
843,67722,32631
844,67594,32631
845,67466,32631
846,67338,32631
847,67210,32631
848,67082,32631
849,66988,32631
850,66988,32631
851,66988,32631
852,66988,32631
853,66988,32631
854,66988,32631
855,66988,32631
856,66988,32631
857,66988,32631
858,66988,32631
859,66988,32631
860,66988,32631
861,66988,32631
862,66988,32631
863,66988,32631
864,66988,32631
865,66988,32631
866,66988,47238
867,66988,47238
868,66988,47238
869,66988,47238
870,66187,46407
871,66187,46407
872,66187,46407
873,66187,46407
874,66187,46407
875,66187,46167
876,66187,46167
877,66187,46167
878,66187,45840
879,66187,45597
880,66187,45597
881,66187,45597
882,66187,45597
883,66187,45597
884,66187,45597
885,66187,45597
886,66187,45597
887,66187,45597
888,66187,45597
889,66187,45597
890,66187,45597
891,66187,45597
892,66187,45477
893,66187,45237
894,66187,45237
895,66187,45237
896,66187,45237
897,66187,45237
898,66187,45237
899,66187,45237
900,66187,45237
901,66187,45237
902,66187,45237
903,66187,45237
904,66187,45237
905,66187,45237
906,66187,45237
907,66187,45237
908,66187,45237
909,66187,45237
910,66187,45237
911,66187,45237
912,66187,50710
913,66187,50710
914,66187,50710
915,66187,50710
916,66187,50710
917,66187,50710
918,66187,50710
919,66187,50710
920,66187,50710
921,66187,50710
922,66187,50710
923,66187,50710
924,66187,50710
925,66187,50710
926,66187,50710
927,66187,50710
928,66187,50710
929,66187,50710
930,66115,50710
931,66043,50710
932,65971,50710
933,65899,50710
934,65827,50710
935,65755,50710
936,65683,50710
937,65611,50710
938,65539,50710
939,65467,50710
940,65417,50710
941,65417,50710
942,65417,50710
943,65417,50710
944,65417,50710
945,65417,50710
946,65417,50710
947,65417,50710
948,65417,50710
949,65417,50710
950,65417,50710
951,65417,50710
952,65417,50710
953,65417,50710
954,65417,50710
955,65417,50710
956,65417,50710
957,65417,50710
958,65417,50710
959,65417,50710
960,65417,50710
961,65417,50710
962,65417,50710
963,65417,50710
964,65417,50710
965,65417,50710
966,65417,50710
967,65417,50710
968,65417,50710
969,65417,50710
970,65417,50710
971,65417,50710
972,65417,50710
973,65417,50710
974,65417,50710
975,65417,50710
976,65417,50710
977,65417,50710
978,65417,50710
979,65417,50710
980,65417,50710
981,65417,50710
982,65417,50710
983,64875,50710
984,64875,50710
985,64875,50710
986,64875,50710
987,64875,50710
988,64875,50710
989,64875,50710
990,64875,50710
991,64875,50710
992,64875,50710
993,64875,50710
994,64875,50710
995,64875,50710
996,64875,50710
997,64875,50710
998,64875,50710
999,64875,50710
1000,64875,50710
