Step,PUCRS,Python-DTU
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,49940
8,50000,49940
9,50000,49860
10,50000,49860
11,50000,49860
12,50000,49860
13,50000,49860
14,50000,49860
15,50000,49860
16,50000,49751
17,50000,48595
18,-10359,46600
19,-10359,46600
20,-13580,46600
21,-13580,46600
22,-13580,46600
23,-13580,46600
24,-13580,46600
25,-13580,46600
26,-13580,46600
27,-13580,46600
28,-13580,45745
29,-13580,45745
30,-13712,45745
31,-13730,45745
32,-13730,45745
33,-13730,45745
34,-14290,45745
35,-14290,45745
36,-14290,45745
37,70961,45745
38,70866,45680
39,70866,45615
40,70101,45555
41,70101,45555
42,66880,45555
43,66880,45555
44,66880,45555
45,66880,45555
46,66880,45555
47,66771,45555
48,66662,45555
49,66650,45555
50,66650,45555
51,66650,45555
52,65909,45555
53,65909,45555
54,51405,45555
55,51405,45490
56,51405,45425
57,51405,45360
58,51405,45295
59,51405,45230
60,51405,45165
61,51405,45105
62,57480,45105
63,57480,45105
64,57371,45105
65,57300,45105
66,57191,45105
67,54082,45105
68,54082,45105
69,52092,45105
70,51678,45105
71,51668,45105
72,51668,44322
73,51668,44322
74,51407,44322
75,51407,44322
76,51128,44322
77,51128,44322
78,51128,44322
79,50387,44322
80,50387,44322
81,-5724,44322
82,-5788,44322
83,-7504,44322
84,-7568,44322
85,-7632,44322
86,-7646,44322
87,-7646,44322
88,-7646,44322
89,-7646,44322
90,-7646,44322
91,-7755,44322
92,-7836,44322
93,-7836,44322
94,-7836,44322
95,-7836,44322
96,-7945,44322
97,-8046,44322
98,-8046,44197
99,-8046,44072
100,-8046,43947
101,-8046,43822
102,-8046,43697
103,-8046,43572
104,-8046,43447
105,14622,43362
106,14622,43362
107,14622,43362
108,103254,43362
109,103254,43362
110,103254,43362
111,103254,43362
112,103254,43362
113,103122,43362
114,103104,43362
115,102604,43362
116,102604,43362
117,102604,43362
118,102604,43362
119,102540,43362
120,102476,43362
121,102454,43362
122,102454,43362
123,102454,43362
124,102454,43362
125,100061,43362
126,99511,43362
127,99250,43362
128,99250,43362
129,99250,43362
130,99250,43362
131,99250,43362
132,98524,43362
133,98524,43362
134,96791,43362
135,96791,43362
136,96791,43362
137,96791,43362
138,96573,43362
139,96373,43362
140,96281,43362
141,96281,43362
142,96281,43362
143,96281,43362
144,96281,43362
145,96281,43362
146,95781,43362
147,95781,43362
148,95781,43362
149,95781,43362
150,95781,43362
151,95685,43362
152,99620,43362
153,99602,43362
154,99602,43362
155,94413,43362
156,94413,43362
157,94413,43362
158,94281,43362
159,94273,43362
160,99004,43362
161,98966,43362
162,98966,43362
163,98966,43362
164,98966,43362
165,98966,43362
166,98966,43362
167,98966,43362
168,98003,43362
169,97932,43362
170,97191,43362
171,97191,43362
172,96372,43362
173,96372,43362
174,95780,43362
175,95780,43362
176,95780,43362
177,95780,43362
178,95780,43362
179,95780,43362
180,95780,43362
181,95780,43362
182,104358,43362
183,104358,43362
184,104358,43362
185,104358,43237
186,104358,43112
187,104249,42987
188,104039,42882
189,103930,42882
190,103908,42882
191,103908,42882
192,103908,42882
193,103843,42882
194,103778,42882
195,103713,42882
196,103708,42882
197,103708,42882
198,103708,42882
199,109417,42882
200,109417,42882
201,104163,42882
202,104098,42882
203,103969,42882
204,103860,42882
205,103523,42882
206,103459,42882
207,103445,42882
208,103445,42882
209,103336,42882
210,103163,42882
211,103077,42882
212,103055,42882
213,102770,42882
214,102770,42882
215,97581,42882
216,97581,42882
217,97472,42882
218,97363,42882
219,92152,42882
220,89043,42882
221,87201,42882
222,87092,42882
223,87030,42882
224,87030,42882
225,87030,42882
226,86966,42882
227,86902,42882
228,86890,42882
229,86890,42882
230,86890,42882
231,86890,42882
232,86890,42882
233,86890,42882
234,86794,42882
235,86698,42882
236,86670,42882
237,85879,42882
238,85814,42882
239,82640,42882
240,82490,42882
241,82425,42882
242,82360,42882
243,82295,42882
244,82230,42882
245,82165,42882
246,82115,42882
247,82115,42882
248,82115,42882
249,82115,42882
250,94732,42882
251,94732,42882
252,94732,42882
253,94732,42882
254,94732,42882
255,93878,42882
256,93878,42882
257,93878,42882
258,93878,42882
259,93878,42882
260,93878,42882
261,93878,42882
262,93878,42882
263,93878,42882
264,93878,42882
265,93746,42882
266,93638,42882
267,93638,42882
268,93638,42882
269,93357,42882
270,93357,42882
271,93357,42882
272,93357,42882
273,93225,42882
274,106014,42882
275,105988,42882
276,105988,42882
277,105223,42882
278,105223,42882
279,100825,42882
280,100825,42882
281,100084,42882
282,100019,42882
283,99954,42882
284,99889,42882
285,99854,42882
286,99854,42882
287,99722,42882
288,99654,42882
289,99522,42882
290,99390,42882
291,99364,42882
292,99364,42882
293,99364,42882
294,99364,42882
295,99364,42882
296,99364,42882
297,99255,42882
298,99154,42882
299,109332,42882
300,109332,42882
301,109268,42882
302,109204,42882
303,108861,42882
304,108813,42882
305,108730,42882
306,108647,42882
307,108613,42882
308,108613,42882
309,107759,42882
310,106107,42882
311,60504,42882
312,60504,42882
313,60504,42882
314,60504,42882
315,60504,42882
316,60504,42882
317,53147,42882
318,53147,42882
319,50139,42882
320,50139,42882
321,50139,42882
322,50139,42882
323,49921,42882
324,49703,42882
325,49619,42882
326,49334,42882
327,49334,42882
328,49059,42882
329,49059,42882
330,43870,42882
331,43761,42882
332,43660,42882
333,43660,42882
334,43660,42882
335,43660,42882
336,43595,42882
337,43530,42882
338,43465,42882
339,43365,42882
340,43300,42882
341,43235,42882
342,43190,42882
343,43190,42882
344,43058,42882
345,43010,42882
346,43010,42882
347,135766,42882
348,135766,42882
349,135766,42882
350,135766,42882
351,135766,42882
352,135766,42882
353,135766,42882
354,135766,42882
355,135766,42882
356,135766,42882
357,135766,42882
358,135766,42882
359,148433,42882
360,148433,42882
361,148433,42882
362,148301,42882
363,148293,42882
364,133789,42882
365,133789,42882
366,133657,42882
367,133525,42882
368,133459,42882
369,133327,42882
370,133249,42882
371,133249,42882
372,130028,42882
373,130028,42882
374,129748,42882
375,129639,42882
376,129530,42882
377,129508,42882
378,129508,42882
379,128743,42882
380,159777,42882
381,159497,42882
382,159497,42882
383,144712,42882
384,144587,42882
385,144552,42882
386,144420,42882
387,144288,42882
388,144222,42882
389,144222,42882
390,144222,42882
391,139033,42882
392,139033,42882
393,138969,42882
394,138905,42882
395,138777,42882
396,138649,42882
397,138551,42882
398,138487,42882
399,138423,42882
400,138359,42882
401,138343,42882
402,138343,42882
403,138062,42882
404,138062,42882
405,137667,42882
406,137581,42882
407,137168,42882
408,137102,42882
409,137102,42882
410,136376,42882
411,136376,42882
412,136376,42882
413,136376,42882
414,136376,42882
415,136376,42882
416,149380,42882
417,148880,42882
418,148880,42882
419,148154,42882
420,148154,42882
421,148154,42882
422,148154,42882
423,148154,42882
424,148154,42882
425,148154,42882
426,148154,42882
427,148154,42882
428,148154,42882
429,148154,42882
430,148154,42882
431,148089,42882
432,147892,42882
433,142600,42882
434,142535,42882
435,142485,42882
436,142376,42882
437,142158,42882
438,142008,42882
439,142005,42882
440,142005,42882
441,142005,42882
442,141940,42882
443,141875,42882
444,141050,42882
445,141050,42882
446,79750,42882
447,79404,42882
448,79059,42882
449,78994,42882
450,78929,42882
451,78864,42882
452,78799,42882
453,78789,42882
454,78789,42882
455,78789,42882
456,78789,42882
457,78789,42882
458,78789,42882
459,78789,42882
460,78789,42882
461,78789,42882
462,104886,42882
463,104886,42882
464,104777,42882
465,104676,42882
466,104676,42882
467,115578,42882
468,115578,42882
469,115578,42882
470,115578,42882
471,115469,42882
472,202111,42882
473,202111,42882
474,202111,42882
475,202111,42882
476,201979,42882
477,201566,42882
478,196361,42882
479,196229,42882
480,196032,42882
481,195951,42882
482,195690,42882
483,195429,42882
484,195339,42882
485,195331,42882
486,195331,42882
487,190033,42882
488,189942,42882
489,189942,42882
490,189942,42882
491,189942,42882
492,189942,42882
493,189942,42882
494,189942,42882
495,189942,42882
496,186492,42882
497,186318,42882
498,178467,42882
499,177861,42882
500,121686,42882
501,118401,42882
502,103843,42882
503,103843,42882
504,103843,42882
505,103843,42882
506,103843,42882
507,103843,42882
508,103843,42882
509,103843,42882
510,103734,42882
511,103653,42882
512,103557,42882
513,103461,42882
514,103443,42882
515,103443,42882
516,103443,42882
517,103443,42882
518,103318,42882
519,103061,42882
520,102153,42882
521,112875,42882
522,112875,42882
523,112875,42882
524,112875,42882
525,112875,42882
526,112875,42882
527,112875,42882
528,112875,42882
529,112875,42882
530,112875,42882
531,112875,42882
532,112875,42882
533,112766,42882
534,112657,42882
535,112548,42882
536,112545,42882
537,112545,42882
538,112545,42882
539,112481,42882
540,112417,42882
541,112353,42882
542,112226,42882
543,112013,42882
544,111684,42882
545,111619,42882
546,111554,42882
547,111489,42882
548,111444,42882
549,111379,42882
550,111314,42882
551,110523,42882
552,110458,42882
553,110393,42882
554,110328,42882
555,107097,42882
556,107097,42882
557,104648,42882
558,210266,42882
559,210266,42882
560,210266,42882
561,210266,42882
562,210266,42882
563,210266,42882
564,210266,42882
565,210266,42882
566,210266,42882
567,210201,42882
568,210136,42882
569,223193,42882
570,223059,42882
571,222776,42882
572,222568,42882
573,222503,42882
574,222438,42882
575,222388,42882
576,222388,42882
577,222388,42882
578,222388,42882
579,230440,42882
580,230369,42882
581,230089,42882
582,230089,42882
583,230089,42882
584,230089,42882
585,229955,42882
586,229849,42882
587,229740,42882
588,229631,42882
589,229609,42882
590,229544,42882
591,229347,42882
592,227582,42882
593,227537,42882
594,227262,42882
595,227262,42882
596,219755,42882
597,219755,42882
598,217306,42882
599,217174,42882
600,217116,42882
601,217116,42882
602,212868,42882
603,212868,42882
604,212804,42882
605,212740,42882
606,212698,42882
607,212573,42882
608,212488,42882
609,212488,42882
610,212227,42882
611,211462,42882
612,211462,42882
613,211201,42882
614,211201,42882
615,196697,42882
616,196632,42882
617,196567,42882
618,196502,42882
619,196161,42882
620,195962,42882
621,195781,42882
622,195716,42882
623,195681,42882
624,195681,42882
625,195681,42882
626,195556,42882
627,195431,42882
628,195381,42882
629,195381,42882
630,195381,42882
631,195138,42882
632,194971,42882
633,194971,42882
634,194971,42882
635,194888,42882
636,194805,42882
637,194722,42882
638,194711,42882
639,194711,42882
640,194711,42882
641,194711,42882
642,194711,42882
643,194711,42882
644,194711,42882
645,220435,42882
646,220435,42882
647,220435,42882
648,220435,42882
649,220301,42882
650,220205,42882
651,220205,42882
652,220205,42882
653,220205,42882
654,220205,42882
655,220205,42882
656,220205,42882
657,220071,42882
658,219854,42882
659,219775,42882
660,219775,42882
661,219775,42882
662,219775,42882
663,219775,42882
664,219775,42882
665,219666,42882
666,219575,42882
667,219575,42882
668,219575,42882
669,219575,42882
670,219575,42882
671,219299,42882
672,219299,42882
673,219299,42882
674,219299,42882
675,219299,42882
676,219299,42882
677,219299,42882
678,219299,42882
679,219299,42882
680,245812,42882
681,245312,42882
682,243830,42882
683,243830,42882
684,243830,42882
685,243830,42882
686,243830,42882
687,243830,42882
688,243765,42882
689,243700,42882
690,243635,42882
691,243600,42882
692,243600,42882
693,243475,42882
694,243390,42882
695,243390,42882
696,243390,42882
697,243390,42882
698,243390,42882
699,243390,42882
700,242625,42882
701,242625,42882
702,242281,42882
703,242198,42882
704,242115,42882
705,242044,42882
706,241935,42882
707,241826,42882
708,241717,42882
709,241608,42882
710,241594,42882
711,241594,42882
712,241594,42882
713,241594,42882
714,241469,42882
715,241354,42882
716,241354,42882
717,241354,42882
718,241354,42882
719,241354,42882
720,240854,42882
721,237745,42882
722,237745,42882
723,237745,42882
724,237745,42882
725,237745,42882
726,237745,42882
727,237745,42882
728,237745,42882
729,237745,42882
730,237745,42882
731,237745,42882
732,237745,42882
733,242420,42882
734,241856,42882
735,241792,42882
736,241728,42882
737,241670,42882
738,241670,42882
739,241670,42882
740,241670,42882
741,241281,42882
742,241135,42882
743,236822,42882
744,235869,42882
745,235010,42882
746,235010,42882
747,230612,42882
748,230612,42882
749,229829,42882
750,229829,42882
751,225581,42882
752,225516,42882
753,225451,42882
754,225111,42882
755,225076,42882
756,225076,42882
757,225076,42882
758,225076,42882
759,225076,42882
760,225076,42882
761,237870,42882
762,237870,42882
763,237870,42882
764,237870,42882
765,237870,42882
766,237870,42882
767,237745,42882
768,237511,42882
769,237325,42882
770,237210,42882
771,237210,42882
772,237210,42882
773,236930,42882
774,236930,42882
775,236930,42882
776,236930,42882
777,236847,42882
778,236764,42882
779,236700,42882
780,236700,42882
781,236700,42882
782,236700,42882
783,236700,42882
784,241017,42882
785,241017,42882
786,241017,42882
787,240883,42882
788,240797,42882
789,240797,42882
790,240797,42882
791,240797,42882
792,240797,42882
793,240797,42882
794,240665,42882
795,240657,42882
796,239931,42882
797,239931,42882
798,236822,42882
799,236822,42882
800,236822,42882
801,236822,42882
802,236822,42882
803,236822,42882
804,236822,42882
805,236537,42882
806,236257,42882
807,236257,42882
808,236257,42882
809,251462,42882
810,251462,42882
811,251462,42882
812,251462,42882
813,251462,42882
814,251462,42882
815,251379,42882
816,251231,42882
817,251083,42882
818,250987,42882
819,250922,42882
820,250882,42882
821,250382,42882
822,250208,42882
823,250042,42882
824,249977,42882
825,249912,42882
826,249847,42882
827,249575,42882
828,249386,42882
829,248303,42882
830,248232,42882
831,248232,42882
832,254871,42882
833,254871,42882
834,254871,42882
835,254871,42882
836,254871,42882
837,254871,42882
838,254871,42882
839,245434,42882
840,245300,42882
841,245254,42882
842,243602,42882
843,243602,42882
844,243329,42882
845,242469,42882
846,242413,42882
847,239304,42882
848,239195,42882
849,239094,42882
850,239094,42882
851,239094,42882
852,239094,42882
853,238964,42882
854,238834,42882
855,238709,42882
856,238644,42882
857,238579,42882
858,238335,42882
859,238126,42882
860,238024,42882
861,238024,42882
862,237941,42882
863,237858,42882
864,237775,42882
865,237754,42882
866,237754,42882
867,237754,42882
868,237754,42882
869,237689,42882
870,237624,42882
871,237559,42882
872,237494,42882
873,237429,42882
874,237149,42882
875,237149,42882
876,236869,42882
877,233861,42882
878,233861,42882
879,248800,42882
880,248800,42882
881,248800,42882
882,248800,42882
883,248800,42882
884,248800,42882
885,257481,42882
886,257481,42882
887,257481,42882
888,257398,42882
889,257331,42882
890,257331,42882
891,257331,42882
892,257331,42882
893,257331,42882
894,257248,42882
895,251851,42882
896,251643,42882
897,251487,42882
898,251382,42882
899,251235,42882
900,250954,42882
901,250397,42882
902,250226,42882
903,250226,42882
904,250117,42882
905,250026,42882
906,250026,42882
907,250026,42882
908,250026,42882
909,250026,42882
910,250026,42882
911,250026,42882
912,250026,42882
913,249894,42882
914,249762,42882
915,249706,42882
916,249706,42882
917,246597,42882
918,190486,42882
919,190486,42882
920,190486,42882
921,190486,42882
922,189986,42882
923,189986,42882
924,189986,42882
925,189861,42882
926,189786,42882
927,189786,42882
928,189786,42882
929,189786,42882
930,189786,42882
931,189786,42882
932,189786,42882
933,189786,42882
934,189786,42882
935,189786,42882
936,189021,42882
937,188760,42882
938,187906,42882
939,187772,42882
940,187638,42882
941,187566,42882
942,187566,42882
943,187566,42882
944,187566,42882
945,187566,42882
946,187457,42882
947,187356,42882
948,187356,42882
949,187356,42882
950,187356,42882
951,187291,42882
952,187226,42882
953,187052,42882
954,186761,42882
955,186571,42882
956,186456,42882
957,186391,42882
958,186386,42882
959,186386,42882
960,186386,42882
961,186386,42882
962,186386,42882
963,186386,42882
964,130275,42882
965,130275,42882
966,130275,42882
967,130275,42882
968,130275,42882
969,130275,42882
970,130275,42882
971,130275,42882
972,130275,42882
973,130275,42882
974,130275,42882
975,130150,42882
976,129931,42882
977,129875,42882
978,129875,42882
979,129766,42882
980,129685,42882
981,129685,42882
982,129685,42882
983,129685,42882
984,129551,42882
985,129455,42882
986,129455,42882
987,129455,42882
988,129455,42882
989,129455,42882
990,129455,42882
991,129455,42882
992,129455,42882
993,129455,42882
994,129455,42882
995,136535,42882
996,136535,42882
997,136535,42882
998,136535,42882
999,136535,42882
1000,136401,42882
