Step,Flisvos-2016,lampe
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,49735,50000
8,45162,50000
9,45162,50000
10,45162,50000
11,45112,50000
12,44470,50000
13,44169,50000
14,39428,50000
15,39428,50000
16,39283,50000
17,39278,50000
18,39278,50000
19,39278,49940
20,39278,49867
21,39218,49804
22,39178,49535
23,39178,48441
24,39178,48441
25,38083,47676
26,38083,47676
27,37204,47676
28,37144,47486
29,37094,47142
30,37094,47092
31,37094,47042
32,37094,46992
33,37094,46942
34,37094,46892
35,37094,46842
36,37034,46399
37,36911,46377
38,36788,46377
39,36784,46377
40,36639,46377
41,36494,46377
42,36404,46377
43,36404,46377
44,36404,46377
45,36404,46317
46,36404,46194
47,36404,46071
48,36404,45948
49,36404,45825
50,36404,45752
51,36404,45747
52,36404,45747
53,36404,45747
54,36404,45747
55,36404,45697
56,35588,45647
57,34769,45607
58,34719,45607
59,34619,45607
60,34519,45607
61,34419,45607
62,34319,45557
63,34219,45507
64,34119,45457
65,33569,45347
66,33569,45237
67,33424,45127
68,32779,45017
69,32584,44907
70,32489,44797
71,32344,44767
72,32229,44767
73,32229,44767
74,32229,44767
75,31413,44717
76,31413,44617
77,31350,44517
78,31303,44417
79,31303,44264
80,31303,44161
81,31303,44098
82,31303,44097
83,31303,44097
84,31303,44097
85,31303,44097
86,31253,43813
87,31203,43813
88,31153,43813
89,31103,43813
90,31053,43763
91,31003,43713
92,30953,43663
93,30903,43613
94,30853,43573
95,30803,43573
96,30753,43573
97,30703,43573
98,30590,43573
99,30487,43573
100,30424,43573
101,30363,43573
102,29863,43510
103,29863,43447
104,29863,43384
105,29863,43271
106,29863,43173
107,29863,43123
108,29863,43073
109,40715,43023
110,40151,42973
111,40151,42953
112,39886,42953
113,29095,42903
114,24522,42853
115,24522,42185
116,24522,42007
117,24522,41863
118,24522,41853
119,24522,41793
120,24522,41733
121,24522,41673
122,24522,41623
123,34856,41573
124,27305,41523
125,27018,41503
126,27018,41503
127,26968,40953
128,26918,40953
129,26868,40953
130,26818,40953
131,26798,40953
132,26798,40953
133,26738,40953
134,26628,40835
135,26518,40813
136,26408,40750
137,26298,40687
138,26228,40624
139,26118,40331
140,25998,40331
141,25388,40331
142,25278,40047
143,25198,40047
144,25138,40047
145,25078,40047
146,24978,40047
147,24928,40047
148,24878,40047
149,24828,40047
150,24778,40047
151,24738,40047
152,24738,40047
153,24238,39929
154,24238,39811
155,24238,39224
156,24238,39161
157,24238,39147
158,24238,39127
159,24238,39127
160,27904,39127
161,20669,39127
162,20105,39127
163,20045,39127
164,19985,39127
165,19925,39127
166,19865,39127
167,19805,39127
168,19745,39127
169,19625,39127
170,19387,39127
171,19149,39127
172,19025,39127
173,18905,39127
174,18785,39127
175,18665,39127
176,18545,39077
177,18445,39027
178,18385,38977
179,18325,38937
180,18215,38937
181,18105,38937
182,17952,38937
183,17839,38937
184,17726,38937
185,17613,38937
186,17500,38937
187,17407,38937
188,17395,38437
189,17395,38374
190,17395,38311
191,28828,38248
192,28288,38185
193,19747,38177
194,19747,38147
195,19747,38147
196,19747,38147
197,19747,38147
198,19747,38147
199,19747,38147
200,19747,38147
201,19747,38147
202,19747,38147
203,19747,38147
204,19697,37286
205,19647,37286
206,19597,37286
207,19587,37286
208,19587,37286
209,19587,37286
210,19587,37286
211,19587,37236
212,19587,37186
213,19587,37136
214,19087,37056
215,19087,37006
216,19087,36956
217,19087,36926
218,19087,36926
219,19087,36426
220,19087,36426
221,19087,36426
222,19087,36406
223,18587,36406
224,18537,36145
225,18487,35878
226,18437,35878
227,18387,35828
228,18337,35778
229,18287,35728
230,18237,35678
231,18187,35628
232,18137,35578
233,18087,35558
234,41302,35558
235,32994,35558
236,32581,35558
237,27780,35508
238,27622,35458
239,27522,35408
240,27432,35368
241,27412,35368
242,27267,35368
243,27122,34868
244,26977,34868
245,26832,34858
246,26687,34858
247,26542,34858
248,26522,34858
249,26522,34858
250,40186,34858
251,36343,34858
252,36051,34858
253,51771,34858
254,46861,34858
255,46593,34858
256,41802,34858
257,41752,34858
258,41702,34858
259,41513,34858
260,41364,34858
261,41322,34858
262,40612,34858
263,40612,34858
264,40612,34858
265,40612,34858
266,40112,34858
267,40112,34858
268,40112,34858
269,40112,34858
270,40112,34858
271,40112,34858
272,40112,34858
273,40112,34858
274,40049,34858
275,39986,34858
276,39863,34858
277,39740,34858
278,39617,34858
279,39494,34858
280,39431,34858
281,39368,34858
282,39305,34858
283,39242,34858
284,39179,34858
285,39116,34858
286,39003,34858
287,38922,34858
288,38872,34858
289,38332,34858
290,38332,34858
291,38332,34858
292,38183,34858
293,38034,34858
294,37885,34858
295,37736,34858
296,37587,34858
297,37512,34358
298,37512,34358
299,37512,34348
300,37512,34348
301,37512,34348
302,37342,34348
303,37292,34348
304,37242,34348
305,37192,34348
306,37182,34348
307,36682,34348
308,36682,34348
309,36682,34348
310,36682,72706
311,36682,72706
312,36642,72706
313,36642,72706
314,36642,72706
315,36642,72706
316,36642,72706
317,36642,72656
318,36642,72506
319,36579,72356
320,36516,72246
321,36453,72156
322,36390,72106
323,36327,72076
324,56505,72026
325,52830,71976
326,52224,71926
327,52161,71906
328,52098,71081
329,52038,70268
330,52038,70268
331,52038,70268
332,52038,69443
333,52038,69443
334,52038,69443
335,51538,69175
336,51538,69175
337,58881,68094
338,55014,67945
339,50441,67804
340,50391,67655
341,50341,67624
342,50291,67624
343,50241,67604
344,50191,67604
345,50181,67604
346,50181,67584
347,50181,67584
348,50181,67584
349,50181,67564
350,50181,67564
351,50181,67564
352,50181,67484
353,49681,67444
354,49681,67444
355,49681,67424
356,49681,67424
357,49681,67424
358,49681,67404
359,49681,67404
360,57270,67404
361,49790,67384
362,49503,67384
363,49503,67384
364,49503,67364
365,66367,67364
366,58595,67364
367,57925,67344
368,57793,67344
369,57693,67344
370,57593,67324
371,57433,67324
372,57273,67324
373,57103,67304
374,56910,67304
375,56237,67204
376,56064,67084
377,55891,66984
378,55718,66924
379,55545,66814
380,55372,66764
381,55233,66714
382,55060,66120
383,54927,66120
384,54744,66120
385,54621,66100
386,54533,66100
387,54430,66100
388,53817,66080
389,53704,66080
390,53611,64442
391,53548,64422
392,53485,64422
393,53422,64422
394,53359,64402
395,53296,64402
396,53233,64402
397,52670,64382
398,52607,64233
399,52563,64202
400,52414,64202
401,52343,64202
402,52343,64182
403,52343,64182
404,52343,64182
405,52343,64054
406,52343,63946
407,52343,63922
408,52343,63902
409,52343,63902
410,52343,63842
411,52343,63782
412,52343,63782
413,52343,63782
414,52343,63762
415,52198,63762
416,52083,63762
417,52083,63742
418,52083,63742
419,52083,63742
420,52083,63722
421,52083,63722
422,51583,63722
423,51583,63702
424,51583,63702
425,51583,63702
426,51583,63682
427,51583,63682
428,51583,63682
429,51583,63662
430,51583,63662
431,51583,63662
432,51583,63642
433,51583,63642
434,51583,63592
435,51583,63522
436,51583,63472
437,51583,63422
438,51465,63352
439,51433,63302
440,51433,63252
441,51433,63182
442,51433,63172
443,51433,63172
444,51433,63152
445,51433,63152
446,51433,63152
447,51433,63132
448,51433,63132
449,51433,63132
450,51433,63112
451,51433,63112
452,51433,63112
453,51433,63092
454,51433,63092
455,51433,63092
456,63902,63072
457,56202,63072
458,55702,63072
459,55702,63052
460,55702,63052
461,55702,63052
462,55594,63032
463,55436,63032
464,55278,63032
465,55120,63012
466,55062,63012
467,55042,63012
468,55042,62992
469,55042,62992
470,55042,62992
471,55042,62972
472,55042,62972
473,55042,62972
474,54492,62952
475,54442,62952
476,54392,62952
477,54342,62932
478,54292,62932
479,54292,62932
480,54292,62912
481,54292,62912
482,54292,62912
483,54292,62892
484,54292,62892
485,54292,62892
486,54292,62872
487,54292,62872
488,54292,62872
489,54292,62852
490,54292,62852
491,54292,62852
492,54292,62832
493,54292,62832
494,54292,62832
495,54292,62812
496,54292,62812
497,54292,62812
498,54292,62792
499,65843,62792
500,58643,62792
501,58389,62772
502,58389,62772
503,58389,62772
504,58389,62752
505,58389,62752
506,58389,62752
507,58281,62732
508,58173,62732
509,58065,62732
510,57957,62712
511,57731,62712
512,57505,62712
513,57355,62692
514,57349,62692
515,57349,62692
516,57349,62672
517,57349,62672
518,57299,62672
519,57249,62652
520,57199,62652
521,57149,62652
522,57099,62632
523,57089,62632
524,57089,62632
525,56589,62612
526,56589,62612
527,56589,62612
528,56589,62592
529,56589,62592
530,56589,62592
531,56539,62572
532,56489,62572
533,56439,62572
534,56389,62552
535,56339,62552
536,56289,62552
537,56239,62532
538,56189,62532
539,56169,62532
540,56169,62512
541,56169,62512
542,56169,62512
543,56169,62492
544,56169,62492
545,56169,62492
546,56169,62472
547,56169,62472
548,56024,62472
549,55939,62452
550,55939,62452
551,55939,62452
552,55889,62432
553,55839,62432
554,69207,62432
555,54358,62412
556,49590,62412
557,49475,62412
558,49367,62392
559,49315,62392
560,49315,62392
561,49315,62372
562,49315,62372
563,49315,62372
564,48815,62352
565,48815,62352
566,48815,62352
567,48815,62332
568,48815,62332
569,48815,62332
570,48765,62312
571,48715,62312
572,48665,62312
573,48615,62292
574,48565,62292
575,48515,62292
576,48465,62272
577,48415,62272
578,48365,62272
579,48315,62252
580,48285,62252
581,48285,62252
582,48285,62232
583,48285,62232
584,48285,62232
585,48285,62212
586,48285,62212
587,48285,62212
588,48285,62192
589,48285,62192
590,48285,62192
591,48285,62192
592,48285,62172
593,48285,62172
594,48285,62172
595,48285,62152
596,48285,62152
597,48285,62152
598,48285,62152
599,48285,62052
600,48225,61952
601,48165,61802
602,48105,61742
603,48045,61692
604,47985,61672
605,47935,61622
606,47885,61572
607,47835,61522
608,47785,61482
609,47735,61482
610,47685,61482
611,47635,61482
612,47585,61482
613,47535,61482
614,47485,61198
615,47435,61198
616,47385,60664
617,47335,59788
618,46785,59788
619,46735,59788
620,46675,59788
621,46655,59788
622,46655,59639
623,46655,59608
624,46655,59608
625,46655,59608
626,46655,59500
627,46655,59418
628,46655,59418
629,46655,59418
630,46655,59418
631,46655,59418
632,46655,59418
633,46655,59418
634,46655,59358
635,46655,59318
636,46655,59318
637,46655,59318
638,46655,59318
639,46655,59318
640,31362,59318
641,26789,59318
642,26726,59318
643,26663,59268
644,26600,59218
645,26559,59168
646,26559,59168
647,26559,59118
648,26559,59068
649,26559,59018
650,26559,58968
651,26559,58918
652,26559,58868
653,26559,58818
654,26559,58768
655,26559,58718
656,26559,58668
657,26559,58618
658,26559,58568
659,26559,58518
660,26559,58468
661,26559,58418
662,26496,58368
663,26433,58318
664,54349,58268
665,42864,58218
666,42546,58198
667,42256,58198
668,42256,58135
669,42256,58072
670,42256,58009
671,42256,58008
672,42256,58008
673,42256,58008
674,30012,58008
675,30012,58008
676,29512,58008
677,29404,58008
678,29296,58008
679,29262,58008
680,29262,58008
681,29262,58008
682,29262,58008
683,29262,58008
684,29262,58008
685,29262,58008
686,29262,58008
687,29154,58008
688,29046,58008
689,28938,58008
690,28830,58008
691,28722,58008
692,28612,57225
693,28562,57225
694,28512,57225
695,28462,57225
696,28412,57225
697,28362,57225
698,28322,57225
699,28322,57205
700,28272,57205
701,28222,57145
702,28122,57065
703,27522,56955
704,27422,56842
705,45440,56709
706,41866,56665
707,41601,56665
708,41601,56645
709,41452,56645
710,41303,56645
711,41291,56645
712,41291,56625
713,41291,56625
714,41291,56625
715,41291,56605
716,41291,56605
717,41291,56605
718,41291,56585
719,41291,56585
720,41228,56585
721,41165,56565
722,41102,56565
723,41071,56565
724,41008,56545
725,40945,56545
726,40882,56545
727,40319,56417
728,40256,56335
729,40193,56335
730,40012,56315
731,69648,56315
732,68157,56315
733,63129,56295
734,63015,56295
735,63015,56295
736,63015,56275
737,62955,56275
738,62895,56275
739,62875,56255
740,62875,56255
741,62875,56255
742,62815,56235
743,62692,56235
744,62569,56235
745,62535,56215
746,62035,56215
747,62035,56215
748,62035,56195
749,62035,56195
750,62035,56195
751,62035,56175
752,62035,56175
753,61975,56175
754,61975,56155
755,61975,56155
756,61975,56155
757,61975,56135
758,61975,56135
759,61912,56135
760,61849,56115
761,61786,56115
762,61673,56115
763,61560,56095
764,61447,56095
765,61334,56095
766,61261,56075
767,61198,56075
768,61135,56075
769,61072,56055
770,61009,56055
771,82910,56055
772,82379,56035
773,82114,56035
774,73360,56035
775,73360,56015
776,73360,56015
777,73360,56015
778,73300,55995
779,72740,55995
780,72730,55995
781,72730,55975
782,72730,55975
783,72230,55975
784,72230,55955
785,72230,55955
786,72230,55955
787,72230,55935
788,72230,55935
789,72230,55935
790,71730,55915
791,71730,55915
792,71730,55915
793,71730,55895
794,71617,55895
795,71504,55895
796,71440,55875
797,71340,55875
798,71240,55875
799,71140,55855
800,70610,55855
801,70610,55855
802,70610,55835
803,70610,55835
804,70610,55835
805,70610,55815
806,70610,55815
807,70610,55815
808,77691,55795
809,66056,55795
810,82650,55795
811,81648,55775
812,81364,55775
813,81364,55775
814,80864,55755
815,90580,55755
816,83100,55755
817,79512,55735
818,79394,55735
819,79352,55735
820,79352,55715
821,79352,55715
822,79352,55715
823,79352,55695
824,79352,55695
825,79352,55695
826,79352,55675
827,79239,55675
828,79126,55675
829,79043,55655
830,86565,55655
831,86193,55655
832,86075,55635
833,86061,55635
834,86061,55635
835,86011,55615
836,85812,55615
837,85623,55615
838,85474,55615
839,84775,55615
840,84626,55615
841,84477,55615
842,84236,55615
843,83823,55595
844,83700,55595
845,83577,55595
846,83454,55575
847,83331,55575
848,83208,55575
849,82960,55555
850,82752,55555
851,82544,55555
852,82436,55535
853,82323,55535
854,82210,55535
855,82153,55515
856,82133,55515
857,81633,55515
858,81633,55495
859,81633,55495
860,81633,55495
861,81633,55475
862,80814,55475
863,80764,55475
864,80714,55455
865,80664,55455
866,80644,55455
867,80644,55435
868,80644,55435
869,80644,55435
870,80594,55415
871,80544,55415
872,80494,55415
873,80444,55395
874,80394,55395
875,80344,55395
876,80294,55375
877,80244,55375
878,80134,55375
879,79961,55355
880,79288,55355
881,79165,55355
882,79052,55335
883,78939,55335
884,78826,55335
885,78713,55315
886,78610,55315
887,78547,55315
888,77984,55295
889,77921,55295
890,77358,55295
891,77295,55275
892,77232,55275
893,77184,55275
894,77134,55255
895,77084,55255
896,77034,55255
897,76984,55235
898,76934,55235
899,76884,55235
900,76834,55215
901,76794,55215
902,76794,55215
903,76794,55195
904,76794,55195
905,97949,55195
906,97886,55175
907,97727,55175
908,100894,55175
909,100831,55155
910,100787,55155
911,100787,55155
912,100669,55135
913,100551,55135
914,100497,55135
915,100497,55115
916,100447,55115
917,100397,55115
918,100367,55095
919,100367,55095
920,100367,55095
921,100367,55075
922,100367,55075
923,100367,55075
924,100367,55055
925,100367,55055
926,100367,55055
927,100367,55035
928,100367,55035
929,100367,55035
930,100367,55015
931,100367,55015
932,100367,55015
933,100367,54995
934,100367,54995
935,117353,54995
936,117353,54975
937,117353,54975
938,117353,54975
939,117353,54955
940,117353,54955
941,117353,54955
942,117353,54935
943,117353,54935
944,117353,54935
945,117353,54915
946,117353,54915
947,117353,54915
948,117353,54895
949,117353,54895
950,117353,54895
951,117353,54875
952,117353,54875
953,117353,54875
954,117353,54855
955,117353,54855
956,117353,54855
957,117353,54835
958,117353,54835
959,117353,54835
960,117353,54815
961,117353,54815
962,117353,54815
963,117353,54795
964,117353,54795
965,117353,54795
966,117353,54795
967,117353,54775
968,117353,54775
969,117353,54775
970,117353,54755
971,117353,54755
972,117353,54755
973,117353,54735
974,117353,54735
975,117353,54735
976,117353,54715
977,117353,54715
978,117353,54715
979,117353,54695
980,117353,54695
981,117353,54695
982,117353,54675
983,117353,54675
984,117353,54675
985,117353,54655
986,117353,54655
987,117353,54655
988,117353,54635
989,117353,54635
990,117353,54635
991,117353,54615
992,117353,54615
993,117353,54615
994,117353,54595
995,117353,54595
996,117353,54595
997,117353,54575
998,117353,54575
999,117353,54575
1000,117353,54555
