Step,Flisvos-2016,lampe
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,46493,50000
7,46493,50000
8,46493,50000
9,42079,50000
10,42079,50000
11,42079,50000
12,41969,50000
13,15025,50000
14,15025,50000
15,15025,50000
16,15025,50000
17,8536,50000
18,8280,50000
19,8280,50000
20,8280,50000
21,813,50000
22,813,50000
23,813,50000
24,-3531,50000
25,-3531,50000
26,-3531,50000
27,-6259,50000
28,-6351,49722
29,-6351,49722
30,-6351,49722
31,-6351,49612
32,-6470,49612
33,-6531,49612
34,-6725,49612
35,-6919,49612
36,-7009,49612
37,-7156,49386
38,-7253,48919
39,-7344,48900
40,3347,48900
41,2100,48809
42,-1381,48718
43,-1800,48549
44,-1934,48530
45,-8145,48411
46,-8145,48104
47,-8145,48104
48,-12489,48104
49,-12489,48104
50,-12489,48104
51,-12489,48104
52,-12608,48104
53,-12818,47383
54,-13028,47348
55,-13169,47348
56,-13669,47348
57,-13669,47213
58,-13669,47178
59,-13669,46905
60,-13669,46905
61,-13669,46905
62,2843,46905
63,-6720,46831
64,-26378,46718
65,-26378,46635
66,-26378,46489
67,-26583,46375
68,-26656,46375
69,-26821,46301
70,-27132,46275
71,-27398,46275
72,-27769,46275
73,-28048,46275
74,-28273,46275
75,-28406,46275
76,-28644,46275
77,-28882,46275
78,-29105,46275
79,-29108,46275
80,-29108,46275
81,-29108,46275
82,-29108,46275
83,-29108,46275
84,-29108,46275
85,-29108,46275
86,-29167,46275
87,-29226,46275
88,-29285,46275
89,-29844,46275
90,-29903,46275
91,-30108,46201
92,-30313,46127
93,-30948,46053
94,-30948,46045
95,-31067,46045
96,-31305,46045
97,-32043,46045
98,-32184,46045
99,-32303,46045
100,-32422,46045
101,-32438,46045
102,-32438,45938
103,-32438,45831
104,10813,45765
105,4790,45765
106,4033,45765
107,3760,45765
108,3760,45765
109,3760,45765
110,93804,56859
111,82140,56859
112,54316,56859
113,47982,56859
114,47908,56859
115,47866,56621
116,47866,56579
117,47866,56297
118,47866,56297
119,47866,56297
120,47747,56297
121,47471,56223
122,47187,56149
123,47046,56117
124,47046,56117
125,47046,56117
126,47046,56058
127,47046,55999
128,47046,55940
129,47046,55759
130,47046,54857
131,47046,54857
132,46990,54857
133,46934,54857
134,62173,54857
135,62820,54766
136,59084,54584
137,58747,54402
138,58688,54304
139,58629,54297
140,58570,54297
141,58511,54197
142,58232,53545
143,58055,53545
144,57953,53454
145,57733,41181
146,57615,40526
147,57541,40223
148,57467,40223
149,57393,40223
150,57345,40223
151,57345,40223
152,57226,39502
153,57195,39383
154,57089,39291
155,56983,39291
156,56955,39172
157,56955,38934
158,56809,38696
159,56663,38621
160,55875,38621
161,55875,38428
162,55375,38303
163,55375,36953
164,55375,36741
165,55335,36574
166,55335,36477
167,55335,36419
168,55197,36419
169,55059,36419
170,54865,36419
171,54775,36419
172,54775,36419
173,54775,36419
174,54775,36419
175,54775,36419
176,54716,36419
177,54157,36419
178,54098,36419
179,54039,36328
180,53980,36237
181,112513,36146
182,89181,36119
183,82265,36119
184,82102,36119
185,82043,36119
186,81984,36119
187,81925,36119
188,81866,36119
189,81807,36119
190,81793,36119
191,81793,36119
192,81793,36000
193,81793,35881
194,81793,35879
195,81793,35879
196,81793,35879
197,81234,35879
198,81175,35772
199,81116,35665
200,80882,35639
201,80741,35639
202,80685,35639
203,80629,35639
204,80573,35639
205,80517,35639
206,80461,35639
207,80405,35639
208,80230,35639
209,80103,35639
210,79984,35639
211,79809,35639
212,79575,35639
213,79367,35639
214,79289,35639
215,79233,35520
216,79183,35401
217,79127,35319
218,79071,35319
219,126855,35319
220,123447,35319
221,120014,35319
222,118334,35319
223,118300,35319
224,124535,35319
225,120371,35319
226,119811,35319
227,113600,35319
228,113600,35319
229,113600,35319
230,113600,35319
231,113600,35319
232,113600,35319
233,113418,35081
234,113236,34890
235,113127,34869
236,113120,34869
237,113120,34869
238,113120,34869
239,113120,34869
240,113120,34750
241,113120,34679
242,128032,34679
243,123772,34679
244,117840,34679
245,136647,28427
246,110509,28353
247,110509,28279
248,110394,26649
249,110279,26649
250,110164,26262
251,110049,26229
252,109934,26229
253,109825,26138
254,109809,26047
255,109809,25956
256,109690,25949
257,109571,25949
258,109452,25949
259,109333,25949
260,108930,25949
261,108564,25949
262,108354,25767
263,108144,25729
264,108035,25729
265,107908,25729
266,107817,25594
267,107726,25559
268,107135,25559
269,107044,25559
270,106953,25559
271,106862,25559
272,106771,24855
273,106574,24843
274,106407,24843
275,106301,24843
276,106229,24843
277,106123,24843
278,106017,24843
279,105911,24843
280,105839,24843
281,119944,24724
282,107980,24605
283,104356,24603
284,104356,24603
285,104356,24603
286,104356,24603
287,104356,24603
288,104356,24603
289,104356,24603
290,104356,24603
291,104356,24603
292,141344,24603
293,139403,24603
294,120937,24603
295,120937,24603
296,120937,24603
297,120937,24457
298,120937,24323
299,120437,24323
300,120318,24323
301,120199,24323
302,120097,24323
303,120097,24323
304,120097,24323
305,119978,24323
306,119859,24323
307,119740,24323
308,119717,24323
309,119717,24323
310,119717,24323
311,119333,24323
312,118949,24323
313,118700,24323
314,118697,24323
315,130657,24323
316,122196,24323
317,115866,24323
318,115673,24204
319,115431,24133
320,139302,24133
321,114820,24133
322,111389,24133
323,110486,24133
324,110402,24133
325,110402,24133
326,110402,24133
327,110177,24133
328,110012,24133
329,110012,24133
330,110012,24133
331,109953,24133
332,109803,23776
333,109653,23693
334,109559,23693
335,109552,23693
336,128843,23693
337,117195,23693
338,94185,23693
339,93428,23693
340,51659,23693
341,51598,23693
342,51598,23693
343,51598,23619
344,51479,23471
345,51418,23345
346,51272,23229
347,51268,23109
348,50990,22989
349,50990,22943
350,50934,22943
351,50878,22943
352,50715,22943
353,50552,21429
354,50450,21429
355,50265,21322
356,50190,21215
357,50190,21109
358,50083,21009
359,49976,20909
360,49880,20909
361,49774,20809
362,49668,20553
363,49650,19650
364,49531,19615
365,49412,19103
366,49293,19103
367,49174,19103
368,140170,19103
369,130966,19103
370,124490,19013
371,124225,19013
372,124061,18923
373,123945,18923
374,123945,18923
375,123945,18923
376,123945,18788
377,123945,18773
378,123945,18666
379,123945,18549
380,123945,18543
381,123945,18543
382,123945,17997
383,123945,17997
384,123854,17938
385,123763,17805
386,123672,17672
387,123665,17477
388,162958,17477
389,154277,17477
390,154277,17477
391,154131,17403
392,153985,17104
393,153967,17104
394,153967,17104
395,153967,16958
396,153967,16824
397,153967,16678
398,153967,16644
399,153967,16553
400,153911,16534
401,178255,16534
402,177277,16534
403,176427,16534
404,173210,16534
405,173119,16280
406,173113,16244
407,173113,16244
408,173113,16244
409,173113,16170
410,173113,16073
411,173113,14942
412,173113,14942
413,172613,14942
414,172613,14942
415,172613,14804
416,172613,14672
417,172613,14553
418,172613,14482
419,172613,14482
420,172613,14408
421,172494,14346
422,172375,14290
423,172353,14272
424,172294,14272
425,171676,14272
426,171412,14272
427,171230,14272
428,171112,14272
429,170994,14272
430,170900,14272
431,170782,14272
432,170664,14272
433,170583,14272
434,170524,14272
435,170465,14272
436,169906,14126
437,169847,13992
438,169788,13992
439,169783,13992
440,169753,13992
441,169753,13992
442,169753,13992
443,176237,13992
444,135183,13992
445,135183,13992
446,134683,13992
447,134683,13992
448,134683,13933
449,134683,13874
450,134683,13815
451,134577,13802
452,134471,13802
453,134443,13802
454,134443,13802
455,134443,13802
456,134443,13802
457,134443,13802
458,134443,13683
459,134443,13612
460,134352,13612
461,196790,13612
462,193463,13612
463,169749,13553
464,138891,13494
465,138551,13435
466,138551,13376
467,138551,13226
468,138551,13130
469,138551,13039
470,138551,12948
471,138551,12932
472,138551,12932
473,138551,12932
474,138551,12932
475,138460,12932
476,138369,12932
477,138278,12932
478,138187,12932
479,138096,12794
480,137914,12662
481,137754,12662
482,137663,12662
483,137482,12662
484,137421,12662
485,137421,12662
486,137421,12662
487,137275,11550
488,137201,11550
489,137110,11550
490,137019,11550
491,136885,11550
492,136779,11550
493,136173,11550
494,135641,11550
495,135641,11444
496,135641,11338
497,135641,11330
498,205159,11330
499,195888,11330
500,186445,11330
501,186373,11330
502,186373,11330
503,186254,11239
504,186135,11148
505,186016,11057
506,185897,11030
507,185778,11030
508,185659,11030
509,185573,11030
510,185573,11030
511,185573,11030
512,185573,11030
513,230731,11030
514,221116,11030
515,220561,11030
516,218728,11030
517,218706,11030
518,218706,8846
519,218615,8846
520,218524,8846
521,218506,8846
522,218506,8846
523,218506,8846
524,243690,8846
525,237693,8700
526,237437,8586
527,237437,8586
528,237437,8586
529,237437,8586
530,237437,8586
531,237217,8586
532,236997,8586
533,236885,8586
534,236720,8586
535,236577,8586
536,236517,8586
537,236517,8586
538,236320,8586
539,236123,8586
540,236060,8467
541,236001,8348
542,235942,8266
543,235883,8266
544,235818,8266
545,235640,8266
546,235462,8266
547,235284,8147
548,235106,8076
549,234928,8076
550,234750,8076
551,234604,8076
552,234517,8076
553,234517,8076
554,234517,8076
555,234411,8076
556,234387,8076
557,234313,8076
558,234239,8076
559,234165,8076
560,298176,8076
561,282448,8076
562,245461,8076
563,245415,8076
564,245415,8076
565,245415,7957
566,245415,7838
567,245415,7719
568,245415,7656
569,245415,7656
570,245415,7656
571,245415,7656
572,245415,7656
573,245415,7656
574,245415,7656
575,245415,7656
576,245415,7656
577,245415,7656
578,245415,7656
579,245324,7656
580,245233,7656
581,245205,7656
582,244705,7656
583,244705,7656
584,244705,7656
585,244705,7656
586,244705,7656
587,244705,7656
588,244705,7656
589,244646,7656
590,244645,7656
591,244645,7656
592,244645,7656
593,244645,7656
594,244645,7656
595,244645,7656
596,244645,7656
597,244645,7656
598,244645,7656
599,244645,7656
600,244645,7656
601,244645,7656
602,244526,7656
603,244407,7656
604,243788,7656
605,243669,7656
606,243550,7418
607,243445,7376
608,243445,7257
609,243310,7186
610,243175,7186
611,243040,7067
612,242905,6996
613,242770,6996
614,242545,6996
615,242410,6996
616,242385,6996
617,242385,6996
618,251213,6996
619,245765,6714
620,242139,6566
621,242139,6474
622,242139,6400
623,242139,6354
624,242139,6354
625,242139,6354
626,242139,6354
627,242065,6354
628,241491,6354
629,241417,6354
630,241343,6295
631,241210,6236
632,241077,6077
633,257065,5918
634,253173,5759
635,250509,5754
636,250297,5754
637,250185,5242
638,250185,4986
639,250185,4986
640,250185,4986
641,250079,4986
642,249973,4986
643,249729,4986
644,249460,4806
645,249325,4806
646,249325,4716
647,249325,4716
648,249325,4716
649,249325,4716
650,249325,4716
651,248825,4716
652,248687,4716
653,248546,4568
654,248427,4556
655,248415,4556
656,248415,4556
657,247915,4456
658,247678,4456
659,247443,4382
660,247352,4308
661,324165,4234
662,321752,4226
663,312813,4226
664,275900,4226
665,275900,4226
666,275754,4226
667,275700,4226
668,275700,4226
669,275620,4226
670,275620,4226
671,275620,4226
672,275620,4120
673,275620,4086
674,275620,4086
675,275564,4086
676,275508,4086
677,275452,4086
678,275450,4086
679,275450,4086
680,275450,3951
681,275450,3916
682,275450,3916
683,275450,3916
684,274950,3916
685,274859,3916
686,274768,3360
687,274677,3360
688,274620,3360
689,274620,3360
690,274620,3360
691,274620,3360
692,274620,3360
693,274620,3360
694,274620,3360
695,274546,3360
696,274472,3360
697,274398,3360
698,274268,3360
699,274138,3360
700,274008,3360
701,273892,3360
702,273818,3360
703,273744,3360
704,273524,3360
705,272804,3360
706,272652,3360
707,272040,3360
708,272040,3360
709,281613,3360
710,275865,3360
711,272182,3360
712,272123,3360
713,272064,3214
714,272005,3080
715,271981,3080
716,271981,3080
717,271981,3080
718,271981,3080
719,271862,3080
720,271743,3080
721,271505,3080
722,341276,3080
723,329714,3080
724,329623,3080
725,329532,3080
726,329441,3080
727,329414,3080
728,329414,3080
729,329414,3080
730,329414,3080
731,329414,3080
732,329414,3080
733,329414,3080
734,329414,2961
735,329414,2890
736,329414,2890
737,329414,2890
738,329414,2890
739,329414,2890
740,329295,2890
741,329176,2890
742,329057,2890
743,329054,2890
744,329054,2890
745,329054,2890
746,329054,2890
747,329054,2890
748,328908,2890
749,328814,2890
750,328708,2771
751,328602,2730
752,342202,2730
753,317334,2624
754,317334,2610
755,317334,2491
756,317334,2420
757,317334,2420
758,317334,2420
759,317334,2420
760,317334,2420
761,317334,2420
762,317275,2420
763,317216,728
764,317038,728
765,329937,654
766,326256,608
767,322844,608
768,321220,608
769,321220,608
770,321220,608
771,321220,608
772,321220,608
773,321220,608
774,321220,608
775,321220,608
776,321220,549
777,321110,490
778,321036,338
779,320962,338
780,320888,338
781,320814,338
782,320704,-774
783,320648,-774
784,320473,-774
785,320376,-774
786,333568,-774
787,289302,-774
788,289153,-774
789,288859,-774
790,288565,-864
791,287778,-970
792,322009,-984
793,321111,-984
794,320674,-984
795,320603,-984
796,320603,-984
797,320603,-1040
798,320603,-1096
799,320603,-1226
800,320603,-1288
801,320603,-1344
802,320603,-1400
803,320603,-1424
804,320603,-1424
805,320603,-1424
806,320529,-1424
807,320349,-1564
808,315887,-1564
809,315207,-1564
810,315027,-1564
811,314905,-1564
812,314725,-1564
813,314545,-1564
814,314381,-1564
815,314349,-1564
816,314349,-1564
817,314349,-1564
818,314123,-1564
819,314059,-1564
820,314059,-1564
821,313913,-1564
822,313769,-1842
823,313769,-1842
824,313769,-1842
825,313769,-1842
826,313713,-1842
827,313657,-1977
828,313609,-2022
829,313609,-2022
830,313609,-2022
831,313609,-2022
832,313609,-2022
833,313609,-2022
834,313609,-2022
835,313609,-2022
836,313609,-2022
837,313609,-2022
838,329045,-2022
839,324936,-2160
840,315746,-2298
841,311934,-2362
842,311934,-2362
843,311934,-2362
844,311934,-2362
845,311434,-2508
846,311434,-2512
847,311378,-2512
848,311322,-2512
849,311266,-2512
850,311210,-2512
851,311154,-2512
852,311039,-2512
853,311034,-2512
854,310978,-2512
855,310922,-2512
856,310866,-2512
857,310810,-2512
858,310754,-2512
859,318169,-2512
860,290208,-2512
861,253295,-2618
862,253295,-2652
863,253295,-2652
864,253149,-2652
865,253003,-2652
866,252885,-2652
867,252885,-2652
868,252885,-2652
869,252885,-2652
870,252885,-2652
871,322725,-2652
872,314608,-2652
873,260474,-2652
874,260474,-2652
875,260474,-2652
876,260474,-2652
877,260336,-2652
878,260198,-2652
879,260064,-2652
880,260064,-2708
881,260064,-2764
882,260064,-2820
883,260064,-2876
884,260005,-2932
885,259946,-2988
886,259887,-3022
887,259772,-3022
888,259657,-3022
889,259542,-3022
890,259480,-3022
891,259424,-3022
892,259368,-3022
893,259312,-3022
894,259256,-3022
895,259244,-3022
896,258744,-3022
897,258550,-3022
898,258356,-3022
899,258276,-3022
900,258114,-3022
901,257952,-3022
902,257808,-3022
903,257752,-3022
904,257696,-3022
905,257640,-3022
906,257494,-3022
907,257438,-3022
908,257382,-3022
909,257344,-3022
910,257344,-3022
911,257344,-3022
912,257344,-3022
913,257344,-3022
914,257344,-3022
915,257344,-3022
916,353354,-3022
917,353354,-3022
918,353354,-3022
919,353354,-3022
920,353216,-3022
921,353194,-3022
922,353135,-3022
923,353076,-3022
924,378735,-3022
925,378676,-3022
926,378672,-3022
927,486354,-3022
928,486354,-3022
929,486354,-3022
930,486354,-3022
931,486354,-3022
932,486354,-3022
933,486354,-3022
934,486354,-3022
935,486354,-3022
936,486354,-3022
937,486354,-3022
938,486354,-3022
939,486354,-3022
940,486354,-3022
941,486354,-3022
942,486354,-3022
943,486354,-3022
944,486354,-3022
945,486354,-3022
946,486354,-3022
947,486354,-3022
948,486295,-3022
949,486236,-3022
950,486177,-3022
951,486118,-3022
952,486059,-3022
953,486000,-3022
954,485984,-3022
955,485984,-3022
956,485984,-3022
957,485984,-3022
958,485984,-3022
959,485984,-3022
960,485984,-3022
961,485984,-3022
962,485984,-3022
963,485984,-3022
964,485984,-3022
965,485984,-3022
966,485984,-3022
967,485984,-3022
968,485984,-3022
969,485984,-3022
970,485984,-3022
971,485984,-3022
972,485984,-3022
973,485984,-3022
974,485984,-3022
975,485984,-3022
976,485984,-3022
977,485984,-3022
978,485984,-3022
