Step,lampe,PUCRS
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,50000
9,50000,50000
10,50000,50000
11,50000,50000
12,50000,50000
13,50000,50000
14,50000,50000
15,50000,50000
16,50000,50000
17,50000,50000
18,50000,50000
19,50000,50000
20,50000,50000
21,50000,50000
22,50000,44962
23,50000,44962
24,50000,44689
25,50000,44689
26,50000,44689
27,50000,44689
28,50000,44689
29,50000,44689
30,50000,44689
31,50000,44689
32,50000,41393
33,50000,41393
34,50000,32184
35,50000,32184
36,50000,32184
37,50000,32184
38,50000,32184
39,50000,32184
40,50000,32184
41,50000,32184
42,50000,32184
43,50000,40468
44,50000,40468
45,50000,40468
46,50000,40468
47,50000,40359
48,50000,40278
49,50000,40278
50,50000,40278
51,50000,40278
52,50000,40278
53,50000,40014
54,50000,40014
55,50000,39151
56,50000,39151
57,50000,30232
58,50000,30232
59,50000,30232
60,50000,30232
61,50000,48055
62,50000,48055
63,50000,48055
64,50000,48055
65,50000,48055
66,50000,47966
67,50000,47839
68,50000,47773
69,50000,47707
70,50000,47655
71,50000,47655
72,50000,47379
73,50000,47379
74,50000,45643
75,50000,45643
76,50000,64900
77,50000,64627
78,50000,63805
79,50000,59147
80,50000,59147
81,50000,59147
82,50000,59147
83,50000,59070
84,50000,58993
85,50000,58917
86,50000,55183
87,50000,55183
88,50000,54909
89,50000,54909
90,50000,54909
91,50000,54909
92,50000,54620
93,50000,54620
94,50000,54620
95,50000,54620
96,50000,54620
97,50000,54620
98,50000,54620
99,50000,54554
100,50000,54488
101,50000,54422
102,50000,54410
103,50000,54410
104,50000,54410
105,50000,54410
106,50000,54410
107,50000,54410
108,50000,54410
109,50000,54410
110,50000,54410
111,50000,54410
112,50000,54410
113,50000,49752
114,50000,49752
115,50000,49752
116,50000,49752
117,50000,48125
118,50000,48125
119,50000,47851
120,50000,47774
121,50000,47407
122,50000,47330
123,50000,47253
124,50000,57188
125,50000,57188
126,50000,57188
127,50000,57188
128,50000,57188
129,50000,57099
130,50000,57010
131,50000,56958
132,50000,56958
133,50000,56958
134,50000,56958
135,50000,56958
136,50000,56958
137,50000,56958
138,50000,56958
139,50000,56958
140,50000,56614
141,50000,56537
142,50000,56481
143,50000,56481
144,50000,56481
145,50000,56481
146,50000,56481
147,50000,56481
148,50000,56481
149,50000,53878
150,50000,53878
151,50000,53602
152,50000,53602
153,50000,53602
154,50000,53602
155,50000,53602
156,50000,53102
157,50000,53102
158,50000,53102
159,50000,53102
160,50000,53102
161,50000,58379
162,50000,58379
163,50000,58379
164,50000,58379
165,50000,58379
166,50000,58379
167,50000,58379
168,50000,58087
169,50000,58087
170,50000,58087
171,50000,52974
172,50000,52974
173,50000,52974
174,50000,52974
175,50000,52974
176,50000,52678
177,50000,52678
178,50000,52678
179,50000,52678
180,50000,52678
181,50000,52678
182,50000,52589
183,50000,65672
184,50000,65650
185,50000,65650
186,50000,65650
187,50000,65650
188,50000,65550
189,50000,65450
190,50000,61591
191,50000,61591
192,50000,61591
193,50000,61591
194,50000,61591
195,50000,61320
196,50000,61320
197,50000,61011
198,50000,61011
199,50000,61011
200,50000,61011
201,50000,61011
202,50000,61011
203,50000,61011
204,50000,61011
205,50000,70936
206,50000,68627
207,50000,68627
208,50000,68627
209,50000,68627
210,50000,68627
211,50000,68627
212,50000,68557
213,50000,68487
214,50000,68417
215,50000,68397
216,50000,68397
217,50000,68397
218,50000,68397
219,50000,68397
220,50000,68397
221,50000,68397
222,50000,68397
223,50000,68397
224,50000,68397
225,50000,68397
226,50000,67897
227,50000,67897
228,50000,67897
229,50000,67897
230,50000,67397
231,50000,62284
232,50000,62284
233,50000,62284
234,50000,62284
235,50000,62284
236,50000,62011
237,50000,61702
238,50000,61702
239,50000,61095
240,50000,61095
241,50000,61095
242,50000,61095
243,50000,61095
244,50000,61095
245,50000,58786
246,50000,56477
247,50000,56477
248,50000,56477
249,50000,56477
250,50000,56477
251,50000,56377
252,50000,56277
253,50000,56237
254,50000,56160
255,50000,56083
256,50000,56007
257,50000,56007
258,50000,56007
259,50000,56007
260,50000,56007
261,50000,56007
262,50000,56007
263,50000,56007
264,50000,56007
265,50000,56007
266,50000,56007
267,50000,56007
268,50000,56007
269,50000,56007
270,50000,56007
271,50000,56007
272,50000,56007
273,50000,56007
274,50000,56007
275,50000,56007
276,50000,56007
277,50000,56007
278,50000,56007
279,50000,56007
280,50000,56007
281,50000,56007
282,50000,56007
283,50000,56007
284,50000,56007
285,50000,56007
286,50000,56007
287,50000,56007
288,50000,56007
289,50000,56007
290,50000,56007
291,50000,56007
292,50000,56007
293,50000,56007
294,50000,56007
295,50000,56007
296,50000,56007
297,50000,56007
298,50000,56007
299,50000,56007
300,50000,56007
301,50000,56007
302,50000,56007
303,50000,56007
304,50000,56007
305,50000,56007
306,50000,56007
307,50000,56007
308,50000,56007
309,50000,56007
310,50000,56007
311,50000,56007
312,50000,56007
313,50000,56007
314,50000,56007
315,50000,56007
316,50000,56007
317,50000,56007
318,50000,56007
319,50000,56007
320,50000,56007
321,50000,56007
322,50000,56007
323,50000,56007
324,50000,56007
325,50000,56007
326,50000,56007
327,50000,56007
328,50000,56007
329,50000,56007
330,50000,56007
331,50000,56007
332,50000,56007
333,50000,56007
334,50000,56007
335,50000,56007
336,50000,56007
337,50000,56007
338,50000,56007
339,50000,56007
340,50000,56007
341,50000,56007
342,50000,56007
343,50000,56007
344,50000,56007
345,50000,56007
346,50000,56007
347,50000,56007
348,50000,56007
349,50000,56007
350,50000,56007
351,50000,56007
352,50000,56007
353,50000,56007
354,50000,56007
355,50000,56007
356,50000,56007
357,50000,56007
358,50000,56007
359,50000,56007
360,50000,56007
361,50000,56007
362,50000,56007
363,50000,56007
364,50000,56007
365,50000,56007
366,50000,56007
367,50000,56007
368,50000,56007
369,50000,56007
370,50000,56007
371,50000,56007
372,50000,56007
373,50000,56007
374,50000,56007
375,50000,56007
376,50000,56007
377,50000,56007
378,50000,56007
379,50000,56007
380,50000,56007
381,50000,56007
382,50000,56007
383,50000,56007
384,50000,56007
385,50000,56007
386,50000,56007
387,50000,56007
388,50000,56007
389,50000,56007
390,50000,56007
391,50000,56007
392,50000,56007
393,50000,56007
394,50000,56007
395,50000,56007
396,50000,56007
397,50000,56007
398,50000,56007
399,50000,56007
400,50000,56007
401,50000,56007
402,50000,56007
403,50000,56007
404,50000,56007
405,50000,56007
406,50000,56007
407,50000,56007
408,50000,56007
409,50000,56007
410,50000,56007
411,50000,56007
412,50000,56007
413,50000,56007
414,50000,56007
415,50000,56007
416,50000,56007
417,50000,56007
418,50000,56007
419,50000,56007
420,50000,56007
421,50000,56007
422,50000,56007
423,50000,56007
424,50000,56007
425,50000,56007
426,50000,56007
427,50000,56007
428,50000,56007
429,50000,56007
430,50000,56007
431,50000,56007
432,50000,56007
433,50000,56007
434,50000,56007
435,50000,56007
436,50000,56007
437,50000,56007
438,50000,56007
439,50000,56007
440,50000,56007
441,50000,56007
442,50000,56007
443,50000,56007
444,50000,56007
445,50000,56007
446,50000,56007
447,50000,56007
448,50000,56007
449,50000,56007
450,50000,56007
451,50000,56007
452,50000,56007
453,50000,56007
454,50000,56007
455,50000,56007
456,50000,56007
457,50000,55808
458,50000,55621
459,50000,55488
460,50000,55487
461,50000,55487
462,50000,55487
463,50000,55487
464,50000,55487
465,50000,55487
466,50000,55487
467,50000,55487
468,50000,55487
469,50000,55487
470,50000,55487
471,50000,55487
472,50000,55487
473,50000,55487
474,50000,55487
475,50000,55487
476,50000,55487
477,50000,55487
478,50000,55487
479,50000,55487
480,50000,55487
481,50000,55487
482,50000,52811
483,50000,52811
484,50000,51075
485,50000,51075
486,50000,50784
487,50000,50784
488,50000,50784
489,50000,50784
490,50000,50784
491,50000,50784
492,50000,50210
493,50000,50210
494,50000,47901
495,50000,47818
496,50000,47735
497,50000,47681
498,50000,47681
499,50000,47681
500,50000,47681
501,50000,47681
502,50000,47681
503,50000,47681
504,50000,47405
505,50000,47405
506,50000,45669
507,50000,45669
508,50000,45669
509,50000,45669
510,50000,45669
511,50000,45669
512,50000,45669
513,50000,45669
514,50000,45669
515,50000,45669
516,50000,45669
517,50000,45669
518,50000,45669
519,50000,45669
520,50000,45669
521,50000,45669
522,50000,45669
523,50000,45669
524,50000,45669
525,50000,45669
526,50000,45669
527,50000,45669
528,50000,45669
529,50000,45669
530,50000,45669
531,50000,45669
532,50000,45669
533,50000,45669
534,50000,45669
535,50000,45669
536,50000,45669
537,50000,45669
538,50000,45669
539,50000,45669
540,50000,45669
541,50000,45669
542,50000,45669
543,50000,45669
544,50000,45669
545,50000,45669
546,50000,45669
547,50000,45669
548,50000,45669
549,50000,45669
550,50000,45669
551,50000,45669
552,50000,45669
553,50000,45669
554,50000,45669
555,50000,45669
556,50000,45669
557,50000,45669
558,50000,45669
559,50000,45669
560,50000,45669
561,50000,45669
562,50000,45669
563,50000,45669
564,50000,45669
565,50000,45669
566,50000,45669
567,50000,45669
568,50000,45669
569,50000,45669
570,50000,45669
571,50000,45669
572,50000,45669
573,50000,45669
574,50000,45669
575,50000,45669
576,50000,45669
577,50000,45669
578,50000,45669
579,50000,45669
580,50000,45669
581,50000,45669
582,50000,45669
583,50000,45669
584,50000,45669
585,50000,45669
586,50000,45669
587,50000,45669
588,50000,45669
589,50000,45669
590,50000,45669
591,50000,45669
592,50000,45669
593,50000,45669
594,50000,45669
595,50000,45669
596,50000,45669
597,50000,45669
598,50000,45669
599,50000,45669
600,50000,45669
601,50000,45669
602,50000,45669
603,50000,45669
604,50000,45669
605,50000,45669
606,50000,45669
607,50000,45669
608,50000,45669
609,50000,45669
610,50000,45669
611,50000,45669
612,50000,45669
613,50000,45669
614,50000,45669
615,50000,45669
616,50000,45669
617,50000,45669
618,50000,45669
619,50000,45669
620,50000,45669
621,50000,45669
622,50000,45669
623,50000,45669
624,50000,45669
625,50000,45669
626,50000,45669
627,50000,45669
628,50000,45669
629,50000,45669
630,50000,45669
631,50000,45669
632,50000,45669
633,50000,45669
634,50000,45669
635,50000,45669
636,50000,45669
637,50000,45669
638,50000,45669
639,50000,45669
640,50000,45669
641,50000,45669
642,50000,45669
643,50000,45669
644,50000,45669
645,50000,45669
646,50000,45669
647,50000,45669
648,50000,45669
649,50000,45669
650,50000,45669
651,50000,45669
652,50000,45669
653,50000,45669
654,50000,45669
655,50000,45669
656,50000,45669
657,50000,45669
658,50000,45669
659,50000,45669
660,50000,45669
661,50000,45669
662,50000,45669
663,50000,45669
664,50000,45669
665,50000,45669
666,50000,45669
667,50000,45669
668,50000,45669
669,50000,45669
670,50000,45669
671,50000,45669
672,50000,45669
673,50000,45669
674,50000,45669
675,50000,45669
676,50000,45669
677,50000,45669
678,50000,45669
679,50000,45669
680,50000,45669
681,50000,45669
682,50000,45669
683,50000,45669
684,50000,45669
685,50000,45669
686,50000,45669
687,50000,45669
688,50000,45669
689,50000,45669
690,50000,45669
691,50000,45669
692,50000,45669
693,50000,45669
694,50000,45669
695,50000,45669
696,50000,45669
697,50000,45669
698,50000,45669
699,50000,45669
700,50000,45669
701,50000,45669
702,50000,45669
703,50000,45669
704,50000,45669
705,50000,45669
706,50000,45669
707,50000,45669
708,50000,45669
709,50000,45669
710,50000,45669
711,50000,45669
712,50000,45669
713,50000,45669
714,50000,45669
715,50000,45669
716,50000,45669
717,50000,45669
718,50000,45669
719,50000,45669
720,50000,45669
721,50000,45669
722,50000,45669
723,50000,45669
724,50000,45669
725,50000,45669
726,50000,45669
727,50000,45669
728,50000,45669
729,50000,45669
730,50000,45669
731,50000,45669
732,50000,45669
733,50000,45669
734,50000,45669
735,50000,45669
736,50000,45669
737,50000,45669
738,50000,45669
739,50000,45669
740,50000,45669
741,50000,45669
742,50000,45669
743,50000,45669
744,50000,45669
745,50000,45669
746,50000,45669
747,50000,45669
748,50000,45669
749,50000,45669
750,50000,45669
751,50000,45669
752,50000,45669
753,50000,45669
754,50000,45669
755,50000,45669
756,50000,45669
757,50000,45669
758,50000,45669
759,50000,45669
760,50000,45669
761,50000,45669
762,50000,45669
763,50000,45669
764,50000,45669
765,50000,45669
766,50000,45669
767,50000,45669
768,50000,45669
769,50000,45669
770,50000,45647
771,50000,45507
772,50000,45467
773,50000,45378
774,50000,45266
775,50000,45266
776,50000,45266
777,50000,45266
778,50000,45266
779,50000,45266
780,50000,45266
781,50000,45266
782,50000,45266
783,50000,45266
784,50000,45266
785,50000,45266
786,50000,45266
787,50000,45266
788,50000,45266
789,50000,45266
790,50000,45266
791,50000,45266
792,50000,45266
793,50000,45266
794,50000,45266
795,50000,45100
796,50000,44934
797,50000,44835
798,50000,44758
799,50000,44681
800,50000,44604
801,50000,44596
802,50000,44596
803,50000,44596
804,50000,44596
805,50000,44596
806,50000,44596
807,50000,44596
808,50000,44596
809,50000,44596
810,50000,44596
811,50000,44596
812,50000,44596
813,50000,44596
814,50000,44596
815,50000,44596
816,50000,44596
817,50000,44596
818,50000,44596
819,50000,44596
820,50000,44596
821,50000,44596
822,50000,44596
823,50000,44596
824,50000,44596
825,50000,44596
826,50000,44596
827,50000,44596
828,50000,44596
829,50000,44596
830,50000,44596
831,50000,44596
832,50000,44596
833,50000,44596
834,50000,44596
835,50000,44596
836,50000,44596
837,50000,44596
838,50000,44596
839,50000,44596
840,50000,44596
841,50000,44596
842,50000,44596
843,50000,44596
844,50000,44596
845,50000,44596
846,50000,44596
847,50000,44596
848,50000,44596
849,50000,44596
850,50000,44596
851,50000,44596
852,50000,44596
853,50000,44596
854,50000,44596
855,50000,44596
856,50000,44596
857,50000,44596
858,50000,44596
859,50000,44596
860,50000,44596
861,50000,44596
862,50000,44596
863,50000,44596
864,50000,44596
865,50000,44596
866,50000,44596
867,50000,44596
868,50000,44596
869,50000,44596
870,50000,44596
871,50000,44596
872,50000,44596
873,50000,41993
874,50000,41421
875,50000,36515
876,50000,36515
877,50000,36515
878,50000,36515
879,50000,36515
880,50000,31561
881,50000,31561
882,50000,31271
883,50000,31201
884,50000,31131
885,50000,30961
886,50000,30841
887,50000,30831
888,50000,30831
889,50000,30831
890,50000,30698
891,50000,30601
892,50000,30601
893,50000,30601
894,50000,30601
895,50000,30601
896,50000,30601
897,50000,30601
898,50000,30601
899,50000,43052
900,50000,43052
901,50000,43052
902,50000,43052
903,50000,43052
904,50000,43052
905,50000,43052
906,50000,43052
907,50000,51518
908,50000,51343
909,50000,50896
910,50000,50830
911,50000,50774
912,50000,50774
913,50000,50774
914,50000,50774
915,50000,50774
916,50000,50774
917,50000,48465
918,50000,48465
919,50000,48465
920,50000,48465
921,50000,48465
922,50000,48173
923,50000,48173
924,50000,45603
925,50000,45123
926,50000,45001
927,50000,43163
928,50000,43063
929,50000,42695
930,50000,42685
931,50000,42685
932,50000,42685
933,50000,42685
934,50000,40234
935,50000,40234
936,50000,40234
937,50000,40234
938,50000,40234
939,50000,40134
940,50000,40034
941,50000,39994
942,50000,39994
943,50000,39994
944,50000,39994
945,50000,39994
946,50000,50026
947,50000,50026
948,50000,50026
949,50000,50026
950,50000,50026
951,50000,50026
952,50000,58684
953,50000,58684
954,50000,58684
955,50000,58684
956,50000,58575
957,50000,58494
958,50000,54675
959,50000,54675
960,50000,54675
961,50000,54675
962,50000,54675
963,50000,54675
964,50000,54675
965,50000,54675
966,50000,54675
967,50000,54566
968,50000,54457
969,50000,54348
970,50000,53965
971,50000,53961
972,50000,53852
973,50000,53743
974,50000,53741
975,50000,53741
976,50000,53741
977,50000,53741
978,50000,53741
979,50000,53741
980,50000,53741
981,50000,53741
982,50000,53741
983,50000,53741
984,50000,52919
985,50000,52919
986,50000,52919
987,50000,52919
988,50000,52919
989,50000,52919
990,50000,52919
991,50000,52919
992,50000,61728
993,50000,61728
994,50000,61728
995,50000,61728
996,50000,61728
997,50000,61728
998,50000,61728
999,50000,61728
1000,50000,61728
