Step,lampe,Python-DTU
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,50000
9,50000,50000
10,50000,50000
11,50000,50000
12,50000,50000
13,50000,50000
14,50000,50000
15,50000,50000
16,50000,50000
17,49906,50000
18,49840,50000
19,49840,50000
20,49840,50000
21,49757,50000
22,49674,50000
23,49650,50000
24,49650,50000
25,49650,50000
26,49650,50000
27,49650,50000
28,49650,50000
29,48798,50000
30,48798,50000
31,48798,50000
32,48798,50000
33,48704,50000
34,48610,50000
35,48437,50000
36,48284,50000
37,48248,50000
38,48165,50000
39,48082,50000
40,48068,50000
41,48068,50000
42,47484,50000
43,46611,50000
44,46611,50000
45,46611,50000
46,46611,50000
47,46611,50000
48,46611,50000
49,46501,50000
50,46501,50000
51,46501,50000
52,46501,50000
53,46390,50000
54,46351,50000
55,46351,50000
56,46351,50000
57,46351,50000
58,46351,50000
59,46351,50000
60,45767,50000
61,45767,50000
62,45767,50000
63,45767,50000
64,45767,50000
65,45767,50000
66,45767,50000
67,45657,50000
68,45657,50000
69,45574,50000
70,45491,50000
71,45467,50000
72,45467,50000
73,45467,50000
74,45467,50000
75,45467,50000
76,45467,50000
77,45467,50000
78,45467,50000
79,45467,50000
80,45467,50000
81,45467,50000
82,45467,50000
83,45467,50000
84,44899,50000
85,44678,50000
86,44425,50000
87,44260,50000
88,44173,50000
89,44149,50000
90,44149,50000
91,44149,50000
92,44149,50000
93,44149,50000
94,44149,50000
95,44149,50000
96,44149,50000
97,44149,50000
98,44149,50000
99,44149,50000
100,42824,50000
101,42713,50000
102,42602,50000
103,42491,50000
104,42316,50000
105,42099,50000
106,41944,50000
107,41904,50000
108,41836,50000
109,41768,50000
110,41645,50000
111,41524,50000
112,41182,50000
113,41127,50000
114,34441,50000
115,34416,50000
116,31778,50000
117,31778,50000
118,31278,50000
119,31184,50000
120,31057,50000
121,30946,50000
122,30835,50000
123,30768,50000
124,30768,50000
125,30768,50000
126,30768,50000
127,30688,50000
128,30688,50000
129,30688,50000
130,30688,50000
131,30688,50000
132,30688,50000
133,30688,48248
134,30688,47680
135,30688,47680
136,30688,47680
137,30688,47680
138,30688,47680
139,30688,47680
140,30688,47680
141,30633,47680
142,30578,47597
143,30523,47514
144,29612,47431
145,29612,47410
146,29612,47410
147,29612,47410
148,29612,47410
149,28444,47410
150,28444,47410
151,28444,47410
152,28444,47410
153,28444,47410
154,28444,47410
155,28444,47410
156,28444,47410
157,28444,47410
158,28444,47410
159,28444,47410
160,28444,47410
161,28444,47410
162,28444,47410
163,28444,47410
164,28444,47410
165,28444,47410
166,28333,47410
167,28222,47410
168,28111,47410
169,28034,47410
170,28034,47410
171,28034,47410
172,28034,47410
173,28034,47410
174,28034,47410
175,28034,47410
176,28034,47410
177,28034,47410
178,28034,47410
179,28034,47410
180,28034,47410
181,28034,47410
182,28034,47410
183,28034,47410
184,28034,47410
185,28034,47410
186,28034,47410
187,28034,47410
188,28034,47410
189,27534,47410
190,27534,47410
191,27534,47410
192,27534,47410
193,27534,47410
194,27534,47410
195,27534,47410
196,27534,47410
197,27534,47410
198,27454,47410
199,27454,47410
200,27454,47410
201,27454,47410
202,26954,47410
203,26954,47410
204,26954,47410
205,26934,47410
206,26934,47410
207,26934,47410
208,26934,47410
209,26934,47410
210,26934,47410
211,26934,47410
212,26934,47410
213,20303,47410
214,20303,47410
215,20303,47410
216,20303,47410
217,20303,47410
218,20303,47410
219,20303,47410
220,20220,47410
221,20137,47410
222,20054,47410
223,17333,47410
224,17250,47410
225,17245,47410
226,17245,47410
227,17245,47410
228,17245,47410
229,17245,47410
230,17190,47410
231,17135,47410
232,17080,47410
233,17025,47410
234,16995,47410
235,16995,47410
236,16995,47410
237,16995,47410
238,16995,47410
239,16995,47410
240,16995,47410
241,16995,47410
242,16995,47410
243,16995,47410
244,16995,47410
245,16995,47410
246,16995,47410
247,16995,47410
248,16995,47410
249,16995,47410
250,16995,47410
251,16940,47410
252,16885,47410
253,16830,47410
254,16775,47410
255,16745,47410
256,16745,47410
257,16745,47410
258,16745,47410
259,16745,47410
260,16745,47410
261,16745,47410
262,16745,47410
263,16745,47410
264,16745,47410
265,16745,47410
266,16745,47410
267,16745,47410
268,16745,47410
269,16690,47410
270,16635,47410
271,16615,47410
272,16615,47410
273,16615,47410
274,16615,47410
275,16615,47410
276,16615,47410
277,16615,47410
278,16615,47410
279,16615,47410
280,16615,47410
281,16615,47410
282,16615,47410
283,16615,47410
284,48471,47410
285,48471,47410
286,48471,47410
287,48471,47410
288,48471,47410
289,48471,47410
290,48388,47410
291,48305,47410
292,48236,47410
293,48181,47410
294,48151,47410
295,48096,47410
296,47473,47410
297,47418,47410
298,47413,47410
299,47413,47410
300,47148,47410
301,47148,47410
302,47054,47410
303,46960,47410
304,46017,47410
305,45934,47410
306,45740,47410
307,45710,47410
308,45710,47410
309,45710,47410
310,45710,47410
311,45642,47410
312,45600,47410
313,45021,47410
314,45021,47410
315,45021,47410
316,45021,47410
317,45021,47410
318,45021,47410
319,45021,47410
320,44911,47410
321,44817,47410
322,44723,47410
323,44629,47410
324,44591,47410
325,44591,47410
326,44591,47410
327,44591,47410
328,44591,47410
329,44523,47410
330,44455,47410
331,44421,47410
332,44421,47410
333,44421,47410
334,44421,47410
335,43921,47410
336,43921,47410
337,43911,47410
338,43911,47410
339,43911,47410
340,43828,47410
341,43745,47410
342,43721,47410
343,43721,47410
344,43721,47410
345,43721,47410
346,43721,47410
347,43721,47410
348,43721,47410
349,43721,47410
350,43721,47410
351,43721,47410
352,43721,47410
353,43721,47410
354,43721,47410
355,41237,47410
356,41237,47410
357,41169,47410
358,41101,47410
359,41067,47410
360,41067,47410
361,41067,47410
362,41067,47410
363,41067,47410
364,41067,47410
365,41067,47410
366,41067,47410
367,40999,47410
368,40931,47410
369,40863,47410
370,40795,47410
371,40787,47410
372,40787,47410
373,40787,47410
374,40787,47410
375,40787,47410
376,40787,47410
377,40787,47410
378,40787,47410
379,40787,47410
380,40787,47410
381,40787,47410
382,40787,47410
383,40787,47410
384,40787,47410
385,40787,47410
386,40787,47410
387,40787,47410
388,40787,47410
389,40787,47410
390,40787,47410
391,40787,47410
392,40787,47410
393,40787,47410
394,40787,47410
395,40787,47410
396,40787,47410
397,40787,47410
398,40787,47410
399,40787,47410
400,40787,47410
401,40704,47410
402,40621,47410
403,40538,47410
404,40455,47410
405,40372,47410
406,40367,47410
407,40367,47410
408,40367,47410
409,40367,47410
410,40367,47410
411,40367,47410
412,40367,47410
413,40367,47410
414,40367,47410
415,40367,47410
416,40367,47410
417,40367,47410
418,40367,47410
419,40367,47410
420,40367,47410
421,40367,47410
422,40367,47410
423,40367,47410
424,40367,47410
425,40367,47410
426,40367,47410
427,40367,47410
428,40367,47410
429,40367,47410
430,40367,47410
431,40367,47410
432,40367,47410
433,70527,47410
434,70527,47410
435,70527,47410
436,70527,47410
437,70527,47410
438,70527,47410
439,70433,47410
440,70273,47410
441,70083,47410
442,69899,47410
443,69789,47410
444,69153,47410
445,69129,47410
446,69035,47410
447,68941,47410
448,68847,47410
449,68779,47410
450,68506,47410
451,68506,47410
452,66038,47410
453,65955,47410
454,65881,47410
455,65881,47410
456,65881,47410
457,65881,47410
458,65798,47410
459,65622,47410
460,65407,47410
461,65286,47410
462,65231,47410
463,65176,47410
464,65121,47410
465,65081,47410
466,65081,47410
467,64794,47410
468,64794,47410
469,64794,47410
470,64794,47410
471,64794,47410
472,64683,47410
473,64674,47410
474,64674,47410
475,64674,47410
476,64674,47410
477,64674,47410
478,64674,47410
479,64550,47410
480,64098,47410
481,64032,47410
482,64032,47410
483,64032,47410
484,64032,47410
485,64032,47410
486,64032,47410
487,63922,47410
488,63922,47410
489,63922,47410
490,63922,47410
491,63922,47410
492,63922,47410
493,63922,47410
494,63922,47410
495,63922,47410
496,63922,47410
497,63922,47410
498,63922,47410
499,63922,47410
500,63922,47410
501,63922,47410
502,63922,47410
503,63922,47410
504,63922,47410
505,63922,47410
506,63922,47410
507,63839,47410
508,63756,47410
509,63732,47410
510,63732,47410
511,63732,47410
512,63664,47410
513,63596,47410
514,63528,47410
515,63460,47410
516,63392,47410
517,63382,47410
518,63382,47410
519,63299,47410
520,63252,47410
521,63252,47410
522,63252,47410
523,63252,47410
524,63252,47410
525,63252,47410
526,63252,47410
527,63252,47410
528,63252,47410
529,63252,47410
530,63252,47410
531,63252,47410
532,63252,47410
533,63141,47410
534,63132,47410
535,63132,47410
536,63132,47410
537,63132,47410
538,63132,47410
539,63132,47410
540,63132,47410
541,63132,47410
542,63132,47410
543,63132,47410
544,63132,47410
545,63132,47410
546,63008,47410
547,62884,47410
548,62852,47410
549,62852,47410
550,62852,47410
551,62852,47410
552,62852,47410
553,62852,47410
554,62852,47410
555,62852,47410
556,62852,47410
557,62852,47410
558,62852,47410
559,62852,47410
560,62852,47410
561,62852,47410
562,62852,47410
563,62852,47410
564,98312,47410
565,98312,47410
566,98312,47410
567,98312,47410
568,98312,47410
569,98312,47410
570,98312,47410
571,98312,47410
572,98312,47410
573,98188,47410
574,97970,47410
575,97872,47410
576,97872,47410
577,97665,47410
578,97516,47410
579,94958,47410
580,94875,47410
581,94108,47410
582,93979,47410
583,93947,47410
584,93857,47410
585,93733,47410
586,93609,47410
587,93484,47410
588,93457,47410
589,93367,47410
590,93367,47410
591,93367,47410
592,93367,47410
593,93076,47410
594,93076,47410
595,93076,47410
596,92982,47410
597,92888,47410
598,92886,47410
599,92886,47410
600,92886,47410
601,92775,47410
602,92766,47410
603,92766,47410
604,92766,47410
605,92766,47410
606,92766,47410
607,92493,47410
608,92201,47410
609,92201,47410
610,92201,47410
611,92118,47410
612,92035,47410
613,91971,47410
614,91888,47410
615,91695,47410
616,91518,47410
617,91401,47410
618,91401,47410
619,91401,47410
620,91401,47410
621,91401,47410
622,91401,47410
623,91401,47410
624,91401,47410
625,91401,47410
626,91401,47410
627,91401,47410
628,91401,47410
629,91401,47410
630,91401,47410
631,91401,47410
632,91401,47410
633,91401,47410
634,91401,47410
635,91318,47410
636,91235,47410
637,91211,47410
638,91211,47410
639,91211,47410
640,91211,47410
641,91211,47410
642,91211,47410
643,91211,47410
644,91211,47410
645,91128,47410
646,91045,47410
647,90962,47410
648,90879,47410
649,90796,47410
650,90761,47410
651,90761,47410
652,90761,47410
653,90761,47410
654,90761,47410
655,90761,47410
656,90761,47410
657,90761,47410
658,90761,47410
659,90761,47410
660,117157,47410
661,117157,47410
662,117157,47410
663,117157,47410
664,117157,47410
665,117157,47410
666,116589,47410
667,116589,47410
668,114204,47410
669,114204,47410
670,114121,47410
671,113902,47410
672,113702,47410
673,113526,47410
674,113458,47410
675,112822,47410
676,112822,47410
677,112822,47410
678,112822,47410
679,112822,47410
680,112822,47410
681,112822,47410
682,112822,47410
683,112822,47410
684,112822,47410
685,112739,47410
686,112656,47410
687,112573,47410
688,112490,47410
689,112407,47410
690,112382,47410
691,112299,47410
692,112216,47410
693,112133,47410
694,112050,47410
695,112042,47410
696,111931,47410
697,111698,47410
698,111544,47410
699,111476,47410
700,111422,47410
701,111422,47410
702,111422,47410
703,111422,47410
704,111422,47410
705,111422,47410
706,111422,47410
707,111422,47410
708,111422,47410
709,111422,47410
710,111422,47410
711,111422,47410
712,111422,47410
713,111130,47410
714,111130,47410
715,110838,47410
716,110838,47410
717,110838,47410
718,110838,47410
719,110838,47410
720,110838,47410
721,110838,47410
722,110838,47410
723,110838,47410
724,110838,47410
725,110838,47410
726,110838,47410
727,110838,47410
728,110838,47410
729,110838,47410
730,110727,47410
731,110616,47410
732,110528,47410
733,110417,47410
734,110306,47410
735,110208,47410
736,110208,47410
737,110208,47410
738,110208,47410
739,110208,47410
740,110208,47410
741,110208,47410
742,110208,47410
743,110208,47410
744,110208,47410
745,110208,47410
746,110208,47410
747,110208,47410
748,110208,47410
749,110208,47410
750,110208,47410
751,110208,47410
752,110208,47410
753,110208,47410
754,110208,47410
755,110208,47410
756,110125,47410
757,110042,47410
758,109905,47410
759,109822,47410
760,109768,47410
761,109768,47410
762,109768,47410
763,109768,47410
764,109768,47410
765,109768,47410
766,109768,47410
767,109768,47410
768,109768,47410
769,109768,47410
770,109768,47410
771,109768,47410
772,109768,47410
773,109768,47410
774,109768,47410
775,109768,47410
776,109768,47410
777,109768,47410
778,109768,47410
779,109768,47410
780,109768,47410
781,109768,47410
782,109768,47410
783,109700,47410
784,109632,47410
785,109578,47410
786,109578,47410
787,109578,47410
788,109578,47410
789,109578,47410
790,109578,47410
791,109578,47410
792,109578,47410
793,109578,47410
794,109578,47410
795,109484,47410
796,109390,47410
797,109296,47410
798,109248,47410
799,109248,47410
800,109248,47410
801,109248,47410
802,109248,47410
803,109248,47410
804,109248,47410
805,109248,47410
806,109248,47410
807,109248,47410
808,109248,47410
809,109248,47410
810,109248,47410
811,109248,47410
812,141771,47410
813,141771,47410
814,141771,47410
815,141771,47410
816,141771,47410
817,141688,47410
818,141037,47410
819,141023,47410
820,139630,47410
821,139479,47410
822,139101,47410
823,138856,47410
824,138653,47410
825,138453,47410
826,138276,47410
827,138111,47410
828,138087,47410
829,138087,47410
830,138087,47410
831,138087,47410
832,138087,47410
833,138087,47410
834,138087,47410
835,137976,47410
836,137947,47410
837,137947,47410
838,137947,47410
839,137947,47410
840,137853,47410
841,137787,47410
842,137787,47410
843,137787,47410
844,137787,47410
845,137787,47410
846,136727,47410
847,136440,47410
848,136440,47410
849,136440,47410
850,136440,47410
851,136440,47410
852,136385,47410
853,136330,47410
854,136275,47410
855,136220,47410
856,136056,47410
857,135932,47410
858,135880,47410
859,135756,47410
860,135720,47410
861,135720,47410
862,135720,47410
863,135720,47410
864,135720,47410
865,135720,47410
866,135720,47410
867,135720,47410
868,135720,47410
869,135720,47410
870,135720,47410
871,135720,47410
872,135720,47410
873,135720,47410
874,135720,47410
875,135720,47410
876,135720,47410
877,135720,47410
878,135720,47410
879,135720,47410
880,135720,47410
881,135720,47410
882,135720,47410
883,135720,47410
884,135720,47410
885,135720,47410
886,135720,47410
887,135720,47410
888,135720,47410
889,135720,47410
890,135637,47410
891,135554,47410
892,135471,47410
893,135430,47410
894,135430,47410
895,135430,47410
896,135362,47410
897,135294,47410
898,135226,47410
899,135158,47410
900,135120,47410
901,135120,47410
902,135120,47410
903,135120,47410
904,135120,47410
905,135120,47410
906,135120,47410
907,135120,47410
908,135120,47410
909,135120,47410
910,135120,47410
911,135120,47410
912,135120,47410
913,135120,47410
914,135120,47410
915,135120,47410
916,135009,47410
917,134900,47410
918,134900,47410
919,134900,47410
920,134900,47410
921,134900,47410
922,134900,47410
923,134900,47410
924,134900,47410
925,134900,47410
926,134900,47410
927,134900,47410
928,134900,47410
929,134776,47410
930,134652,47410
931,134620,47410
932,134620,47410
933,134620,47410
934,134620,47410
935,134620,47410
936,134620,47410
937,134620,47410
938,134620,47410
939,134620,47410
940,134620,47410
941,134620,47410
942,134620,47410
943,134620,47410
944,134620,47410
945,134620,47410
946,172963,47410
947,172963,47410
948,172963,47410
949,172963,47410
950,172963,47410
951,172963,47410
952,172963,47410
953,172963,47410
954,172963,47410
955,172963,47410
956,172963,47410
957,172963,47410
958,172963,47410
959,172963,47410
960,172963,47410
961,172963,47410
962,172963,47410
963,172963,47410
964,172963,47410
965,172963,47410
966,172963,47410
967,172963,47410
968,172963,47410
969,172963,47410
970,172963,47410
971,172963,47410
972,172963,47410
973,172963,47410
974,172963,47410
975,172963,47410
976,172963,47410
977,172963,47410
978,172963,47410
979,172963,47410
980,172963,47410
981,172963,47410
982,172963,47410
983,172963,47410
984,172963,47410
985,172963,47410
986,172963,47410
987,172963,47410
988,172963,47410
989,172963,47410
990,172963,47410
991,172963,47410
992,172963,47410
993,172963,47410
994,172963,47410
995,172963,47410
996,172963,47410
997,172963,47410
998,172963,47410
999,172963,47410
1000,172963,47410
